node_id,dn_name,dn_fsname,dn_region,dn_hemisphere
1,rh.lateralorbitofrontal_9,lateralorbitofrontal_9,cortical,right
2,rh.lateralorbitofrontal_11,lateralorbitofrontal_11,cortical,right
3,rh.lateralorbitofrontal_5,lateralorbitofrontal_5,cortical,right
4,rh.lateralorbitofrontal_6,lateralorbitofrontal_6,cortical,right
5,rh.lateralorbitofrontal_7,lateralorbitofrontal_7,cortical,right
6,rh.lateralorbitofrontal_10,lateralorbitofrontal_10,cortical,right
7,rh.lateralorbitofrontal_4,lateralorbitofrontal_4,cortical,right
8,rh.lateralorbitofrontal_17,lateralorbitofrontal_17,cortical,right
9,rh.lateralorbitofrontal_8,lateralorbitofrontal_8,cortical,right
10,rh.lateralorbitofrontal_15,lateralorbitofrontal_15,cortical,right
11,rh.lateralorbitofrontal_13,lateralorbitofrontal_13,cortical,right
12,rh.lateralorbitofrontal_12,lateralorbitofrontal_12,cortical,right
13,rh.lateralorbitofrontal_1,lateralorbitofrontal_1,cortical,right
14,rh.lateralorbitofrontal_3,lateralorbitofrontal_3,cortical,right
15,rh.lateralorbitofrontal_16,lateralorbitofrontal_16,cortical,right
16,rh.lateralorbitofrontal_14,lateralorbitofrontal_14,cortical,right
17,rh.lateralorbitofrontal_2,lateralorbitofrontal_2,cortical,right
18,rh.parsorbitalis_4,parsorbitalis_4,cortical,right
19,rh.parsorbitalis_1,parsorbitalis_1,cortical,right
20,rh.parsorbitalis_2,parsorbitalis_2,cortical,right
21,rh.parsorbitalis_3,parsorbitalis_3,cortical,right
22,rh.frontalpole_2,frontalpole_2,cortical,right
23,rh.frontalpole_1,frontalpole_1,cortical,right
24,rh.medialorbitofrontal_1,medialorbitofrontal_1,cortical,right
25,rh.medialorbitofrontal_9,medialorbitofrontal_9,cortical,right
26,rh.medialorbitofrontal_7,medialorbitofrontal_7,cortical,right
27,rh.medialorbitofrontal_3,medialorbitofrontal_3,cortical,right
28,rh.medialorbitofrontal_10,medialorbitofrontal_10,cortical,right
29,rh.medialorbitofrontal_8,medialorbitofrontal_8,cortical,right
30,rh.medialorbitofrontal_5,medialorbitofrontal_5,cortical,right
31,rh.medialorbitofrontal_4,medialorbitofrontal_4,cortical,right
32,rh.medialorbitofrontal_2,medialorbitofrontal_2,cortical,right
33,rh.medialorbitofrontal_6,medialorbitofrontal_6,cortical,right
34,rh.medialorbitofrontal_11,medialorbitofrontal_11,cortical,right
35,rh.parstriangularis_8,parstriangularis_8,cortical,right
36,rh.parstriangularis_5,parstriangularis_5,cortical,right
37,rh.parstriangularis_3,parstriangularis_3,cortical,right
38,rh.parstriangularis_4,parstriangularis_4,cortical,right
39,rh.parstriangularis_1,parstriangularis_1,cortical,right
40,rh.parstriangularis_2,parstriangularis_2,cortical,right
41,rh.parstriangularis_7,parstriangularis_7,cortical,right
42,rh.parstriangularis_6,parstriangularis_6,cortical,right
43,rh.parsopercularis_8,parsopercularis_8,cortical,right
44,rh.parsopercularis_4,parsopercularis_4,cortical,right
45,rh.parsopercularis_5,parsopercularis_5,cortical,right
46,rh.parsopercularis_9,parsopercularis_9,cortical,right
47,rh.parsopercularis_3,parsopercularis_3,cortical,right
48,rh.parsopercularis_1,parsopercularis_1,cortical,right
49,rh.parsopercularis_7,parsopercularis_7,cortical,right
50,rh.parsopercularis_6,parsopercularis_6,cortical,right
51,rh.parsopercularis_2,parsopercularis_2,cortical,right
52,rh.rostralmiddlefrontal_19,rostralmiddlefrontal_19,cortical,right
53,rh.rostralmiddlefrontal_21,rostralmiddlefrontal_21,cortical,right
54,rh.rostralmiddlefrontal_16,rostralmiddlefrontal_16,cortical,right
55,rh.rostralmiddlefrontal_22,rostralmiddlefrontal_22,cortical,right
56,rh.rostralmiddlefrontal_24,rostralmiddlefrontal_24,cortical,right
57,rh.rostralmiddlefrontal_10,rostralmiddlefrontal_10,cortical,right
58,rh.rostralmiddlefrontal_20,rostralmiddlefrontal_20,cortical,right
59,rh.rostralmiddlefrontal_15,rostralmiddlefrontal_15,cortical,right
60,rh.rostralmiddlefrontal_18,rostralmiddlefrontal_18,cortical,right
61,rh.rostralmiddlefrontal_7,rostralmiddlefrontal_7,cortical,right
62,rh.rostralmiddlefrontal_25,rostralmiddlefrontal_25,cortical,right
63,rh.rostralmiddlefrontal_23,rostralmiddlefrontal_23,cortical,right
64,rh.rostralmiddlefrontal_4,rostralmiddlefrontal_4,cortical,right
65,rh.rostralmiddlefrontal_27,rostralmiddlefrontal_27,cortical,right
66,rh.rostralmiddlefrontal_14,rostralmiddlefrontal_14,cortical,right
67,rh.rostralmiddlefrontal_17,rostralmiddlefrontal_17,cortical,right
68,rh.rostralmiddlefrontal_9,rostralmiddlefrontal_9,cortical,right
69,rh.rostralmiddlefrontal_12,rostralmiddlefrontal_12,cortical,right
70,rh.rostralmiddlefrontal_2,rostralmiddlefrontal_2,cortical,right
71,rh.rostralmiddlefrontal_13,rostralmiddlefrontal_13,cortical,right
72,rh.rostralmiddlefrontal_11,rostralmiddlefrontal_11,cortical,right
73,rh.rostralmiddlefrontal_3,rostralmiddlefrontal_3,cortical,right
74,rh.rostralmiddlefrontal_5,rostralmiddlefrontal_5,cortical,right
75,rh.rostralmiddlefrontal_8,rostralmiddlefrontal_8,cortical,right
76,rh.rostralmiddlefrontal_26,rostralmiddlefrontal_26,cortical,right
77,rh.rostralmiddlefrontal_1,rostralmiddlefrontal_1,cortical,right
78,rh.rostralmiddlefrontal_6,rostralmiddlefrontal_6,cortical,right
79,rh.superiorfrontal_40,superiorfrontal_40,cortical,right
80,rh.superiorfrontal_4,superiorfrontal_4,cortical,right
81,rh.superiorfrontal_3,superiorfrontal_3,cortical,right
82,rh.superiorfrontal_14,superiorfrontal_14,cortical,right
83,rh.superiorfrontal_7,superiorfrontal_7,cortical,right
84,rh.superiorfrontal_23,superiorfrontal_23,cortical,right
85,rh.superiorfrontal_10,superiorfrontal_10,cortical,right
86,rh.superiorfrontal_39,superiorfrontal_39,cortical,right
87,rh.superiorfrontal_19,superiorfrontal_19,cortical,right
88,rh.superiorfrontal_29,superiorfrontal_29,cortical,right
89,rh.superiorfrontal_1,superiorfrontal_1,cortical,right
90,rh.superiorfrontal_27,superiorfrontal_27,cortical,right
91,rh.superiorfrontal_30,superiorfrontal_30,cortical,right
92,rh.superiorfrontal_15,superiorfrontal_15,cortical,right
93,rh.superiorfrontal_2,superiorfrontal_2,cortical,right
94,rh.superiorfrontal_11,superiorfrontal_11,cortical,right
95,rh.superiorfrontal_37,superiorfrontal_37,cortical,right
96,rh.superiorfrontal_8,superiorfrontal_8,cortical,right
97,rh.superiorfrontal_36,superiorfrontal_36,cortical,right
98,rh.superiorfrontal_25,superiorfrontal_25,cortical,right
99,rh.superiorfrontal_24,superiorfrontal_24,cortical,right
100,rh.superiorfrontal_38,superiorfrontal_38,cortical,right
101,rh.superiorfrontal_20,superiorfrontal_20,cortical,right
102,rh.superiorfrontal_5,superiorfrontal_5,cortical,right
103,rh.superiorfrontal_22,superiorfrontal_22,cortical,right
104,rh.superiorfrontal_21,superiorfrontal_21,cortical,right
105,rh.superiorfrontal_12,superiorfrontal_12,cortical,right
106,rh.superiorfrontal_18,superiorfrontal_18,cortical,right
107,rh.superiorfrontal_42,superiorfrontal_42,cortical,right
108,rh.superiorfrontal_13,superiorfrontal_13,cortical,right
109,rh.superiorfrontal_32,superiorfrontal_32,cortical,right
110,rh.superiorfrontal_33,superiorfrontal_33,cortical,right
111,rh.superiorfrontal_28,superiorfrontal_28,cortical,right
112,rh.superiorfrontal_41,superiorfrontal_41,cortical,right
113,rh.superiorfrontal_16,superiorfrontal_16,cortical,right
114,rh.superiorfrontal_6,superiorfrontal_6,cortical,right
115,rh.superiorfrontal_9,superiorfrontal_9,cortical,right
116,rh.superiorfrontal_17,superiorfrontal_17,cortical,right
117,rh.superiorfrontal_31,superiorfrontal_31,cortical,right
118,rh.superiorfrontal_35,superiorfrontal_35,cortical,right
119,rh.superiorfrontal_34,superiorfrontal_34,cortical,right
120,rh.superiorfrontal_26,superiorfrontal_26,cortical,right
121,rh.caudalmiddlefrontal_8,caudalmiddlefrontal_8,cortical,right
122,rh.caudalmiddlefrontal_4,caudalmiddlefrontal_4,cortical,right
123,rh.caudalmiddlefrontal_2,caudalmiddlefrontal_2,cortical,right
124,rh.caudalmiddlefrontal_3,caudalmiddlefrontal_3,cortical,right
125,rh.caudalmiddlefrontal_7,caudalmiddlefrontal_7,cortical,right
126,rh.caudalmiddlefrontal_5,caudalmiddlefrontal_5,cortical,right
127,rh.caudalmiddlefrontal_11,caudalmiddlefrontal_11,cortical,right
128,rh.caudalmiddlefrontal_10,caudalmiddlefrontal_10,cortical,right
129,rh.caudalmiddlefrontal_1,caudalmiddlefrontal_1,cortical,right
130,rh.caudalmiddlefrontal_9,caudalmiddlefrontal_9,cortical,right
131,rh.caudalmiddlefrontal_6,caudalmiddlefrontal_6,cortical,right
132,rh.precentral_12,precentral_12,cortical,right
133,rh.precentral_35,precentral_35,cortical,right
134,rh.precentral_28,precentral_28,cortical,right
135,rh.precentral_36,precentral_36,cortical,right
136,rh.precentral_31,precentral_31,cortical,right
137,rh.precentral_5,precentral_5,cortical,right
138,rh.precentral_21,precentral_21,cortical,right
139,rh.precentral_1,precentral_1,cortical,right
140,rh.precentral_8,precentral_8,cortical,right
141,rh.precentral_20,precentral_20,cortical,right
142,rh.precentral_34,precentral_34,cortical,right
143,rh.precentral_2,precentral_2,cortical,right
144,rh.precentral_23,precentral_23,cortical,right
145,rh.precentral_19,precentral_19,cortical,right
146,rh.precentral_22,precentral_22,cortical,right
147,rh.precentral_26,precentral_26,cortical,right
148,rh.precentral_6,precentral_6,cortical,right
149,rh.precentral_10,precentral_10,cortical,right
150,rh.precentral_3,precentral_3,cortical,right
151,rh.precentral_9,precentral_9,cortical,right
152,rh.precentral_4,precentral_4,cortical,right
153,rh.precentral_32,precentral_32,cortical,right
154,rh.precentral_16,precentral_16,cortical,right
155,rh.precentral_15,precentral_15,cortical,right
156,rh.precentral_30,precentral_30,cortical,right
157,rh.precentral_18,precentral_18,cortical,right
158,rh.precentral_27,precentral_27,cortical,right
159,rh.precentral_7,precentral_7,cortical,right
160,rh.precentral_11,precentral_11,cortical,right
161,rh.precentral_14,precentral_14,cortical,right
162,rh.precentral_33,precentral_33,cortical,right
163,rh.precentral_24,precentral_24,cortical,right
164,rh.precentral_13,precentral_13,cortical,right
165,rh.precentral_29,precentral_29,cortical,right
166,rh.precentral_25,precentral_25,cortical,right
167,rh.precentral_17,precentral_17,cortical,right
168,rh.paracentral_1,paracentral_1,cortical,right
169,rh.paracentral_9,paracentral_9,cortical,right
170,rh.paracentral_4,paracentral_4,cortical,right
171,rh.paracentral_2,paracentral_2,cortical,right
172,rh.paracentral_3,paracentral_3,cortical,right
173,rh.paracentral_5,paracentral_5,cortical,right
174,rh.paracentral_12,paracentral_12,cortical,right
175,rh.paracentral_6,paracentral_6,cortical,right
176,rh.paracentral_10,paracentral_10,cortical,right
177,rh.paracentral_11,paracentral_11,cortical,right
178,rh.paracentral_7,paracentral_7,cortical,right
179,rh.paracentral_8,paracentral_8,cortical,right
180,rh.rostralanteriorcingulate_2,rostralanteriorcingulate_2,cortical,right
181,rh.rostralanteriorcingulate_1,rostralanteriorcingulate_1,cortical,right
182,rh.rostralanteriorcingulate_4,rostralanteriorcingulate_4,cortical,right
183,rh.rostralanteriorcingulate_3,rostralanteriorcingulate_3,cortical,right
184,rh.caudalanteriorcingulate_1,caudalanteriorcingulate_1,cortical,right
185,rh.caudalanteriorcingulate_6,caudalanteriorcingulate_6,cortical,right
186,rh.caudalanteriorcingulate_4,caudalanteriorcingulate_4,cortical,right
187,rh.caudalanteriorcingulate_2,caudalanteriorcingulate_2,cortical,right
188,rh.caudalanteriorcingulate_3,caudalanteriorcingulate_3,cortical,right
189,rh.caudalanteriorcingulate_5,caudalanteriorcingulate_5,cortical,right
190,rh.posteriorcingulate_8,posteriorcingulate_8,cortical,right
191,rh.posteriorcingulate_1,posteriorcingulate_1,cortical,right
192,rh.posteriorcingulate_7,posteriorcingulate_7,cortical,right
193,rh.posteriorcingulate_2,posteriorcingulate_2,cortical,right
194,rh.posteriorcingulate_5,posteriorcingulate_5,cortical,right
195,rh.posteriorcingulate_3,posteriorcingulate_3,cortical,right
196,rh.posteriorcingulate_9,posteriorcingulate_9,cortical,right
197,rh.posteriorcingulate_4,posteriorcingulate_4,cortical,right
198,rh.posteriorcingulate_6,posteriorcingulate_6,cortical,right
199,rh.isthmuscingulate_3,isthmuscingulate_3,cortical,right
200,rh.isthmuscingulate_1,isthmuscingulate_1,cortical,right
201,rh.isthmuscingulate_2,isthmuscingulate_2,cortical,right
202,rh.isthmuscingulate_4,isthmuscingulate_4,cortical,right
203,rh.isthmuscingulate_5,isthmuscingulate_5,cortical,right
204,rh.isthmuscingulate_6,isthmuscingulate_6,cortical,right
205,rh.postcentral_24,postcentral_24,cortical,right
206,rh.postcentral_26,postcentral_26,cortical,right
207,rh.postcentral_6,postcentral_6,cortical,right
208,rh.postcentral_20,postcentral_20,cortical,right
209,rh.postcentral_25,postcentral_25,cortical,right
210,rh.postcentral_11,postcentral_11,cortical,right
211,rh.postcentral_3,postcentral_3,cortical,right
212,rh.postcentral_18,postcentral_18,cortical,right
213,rh.postcentral_27,postcentral_27,cortical,right
214,rh.postcentral_13,postcentral_13,cortical,right
215,rh.postcentral_23,postcentral_23,cortical,right
216,rh.postcentral_9,postcentral_9,cortical,right
217,rh.postcentral_17,postcentral_17,cortical,right
218,rh.postcentral_30,postcentral_30,cortical,right
219,rh.postcentral_22,postcentral_22,cortical,right
220,rh.postcentral_7,postcentral_7,cortical,right
221,rh.postcentral_4,postcentral_4,cortical,right
222,rh.postcentral_5,postcentral_5,cortical,right
223,rh.postcentral_29,postcentral_29,cortical,right
224,rh.postcentral_1,postcentral_1,cortical,right
225,rh.postcentral_16,postcentral_16,cortical,right
226,rh.postcentral_14,postcentral_14,cortical,right
227,rh.postcentral_12,postcentral_12,cortical,right
228,rh.postcentral_21,postcentral_21,cortical,right
229,rh.postcentral_8,postcentral_8,cortical,right
230,rh.postcentral_10,postcentral_10,cortical,right
231,rh.postcentral_2,postcentral_2,cortical,right
232,rh.postcentral_19,postcentral_19,cortical,right
233,rh.postcentral_15,postcentral_15,cortical,right
234,rh.postcentral_28,postcentral_28,cortical,right
235,rh.supramarginal_19,supramarginal_19,cortical,right
236,rh.supramarginal_10,supramarginal_10,cortical,right
237,rh.supramarginal_11,supramarginal_11,cortical,right
238,rh.supramarginal_13,supramarginal_13,cortical,right
239,rh.supramarginal_18,supramarginal_18,cortical,right
240,rh.supramarginal_20,supramarginal_20,cortical,right
241,rh.supramarginal_8,supramarginal_8,cortical,right
242,rh.supramarginal_4,supramarginal_4,cortical,right
243,rh.supramarginal_15,supramarginal_15,cortical,right
244,rh.supramarginal_9,supramarginal_9,cortical,right
245,rh.supramarginal_3,supramarginal_3,cortical,right
246,rh.supramarginal_14,supramarginal_14,cortical,right
247,rh.supramarginal_16,supramarginal_16,cortical,right
248,rh.supramarginal_2,supramarginal_2,cortical,right
249,rh.supramarginal_6,supramarginal_6,cortical,right
250,rh.supramarginal_12,supramarginal_12,cortical,right
251,rh.supramarginal_1,supramarginal_1,cortical,right
252,rh.supramarginal_7,supramarginal_7,cortical,right
253,rh.supramarginal_5,supramarginal_5,cortical,right
254,rh.supramarginal_17,supramarginal_17,cortical,right
255,rh.superiorparietal_13,superiorparietal_13,cortical,right
256,rh.superiorparietal_24,superiorparietal_24,cortical,right
257,rh.superiorparietal_18,superiorparietal_18,cortical,right
258,rh.superiorparietal_10,superiorparietal_10,cortical,right
259,rh.superiorparietal_29,superiorparietal_29,cortical,right
260,rh.superiorparietal_4,superiorparietal_4,cortical,right
261,rh.superiorparietal_12,superiorparietal_12,cortical,right
262,rh.superiorparietal_15,superiorparietal_15,cortical,right
263,rh.superiorparietal_28,superiorparietal_28,cortical,right
264,rh.superiorparietal_16,superiorparietal_16,cortical,right
265,rh.superiorparietal_17,superiorparietal_17,cortical,right
266,rh.superiorparietal_7,superiorparietal_7,cortical,right
267,rh.superiorparietal_20,superiorparietal_20,cortical,right
268,rh.superiorparietal_25,superiorparietal_25,cortical,right
269,rh.superiorparietal_22,superiorparietal_22,cortical,right
270,rh.superiorparietal_9,superiorparietal_9,cortical,right
271,rh.superiorparietal_5,superiorparietal_5,cortical,right
272,rh.superiorparietal_26,superiorparietal_26,cortical,right
273,rh.superiorparietal_23,superiorparietal_23,cortical,right
274,rh.superiorparietal_2,superiorparietal_2,cortical,right
275,rh.superiorparietal_14,superiorparietal_14,cortical,right
276,rh.superiorparietal_11,superiorparietal_11,cortical,right
277,rh.superiorparietal_21,superiorparietal_21,cortical,right
278,rh.superiorparietal_19,superiorparietal_19,cortical,right
279,rh.superiorparietal_6,superiorparietal_6,cortical,right
280,rh.superiorparietal_27,superiorparietal_27,cortical,right
281,rh.superiorparietal_1,superiorparietal_1,cortical,right
282,rh.superiorparietal_3,superiorparietal_3,cortical,right
283,rh.superiorparietal_8,superiorparietal_8,cortical,right
284,rh.inferiorparietal_13,inferiorparietal_13,cortical,right
285,rh.inferiorparietal_21,inferiorparietal_21,cortical,right
286,rh.inferiorparietal_11,inferiorparietal_11,cortical,right
287,rh.inferiorparietal_3,inferiorparietal_3,cortical,right
288,rh.inferiorparietal_4,inferiorparietal_4,cortical,right
289,rh.inferiorparietal_25,inferiorparietal_25,cortical,right
