band,direction,model,n_train,n_test,auc,balanced_accuracy,n,log_loss
alpha,Chennu_to_DS005620,spectral_all,40,61,0.775,0.775,61,0.929556804333467
alpha,Chennu_to_DS005620,gcc_triad_plus_pi,40,61,0.6,0.775,61,1.1082899875566163
alpha,Chennu_to_DS005620,spectral_all_plus_gcc,40,61,0.625,0.725,61,1.8480261717779658
alpha,Chennu_to_DS005620,residual_gcc_after_spectral_all,40,61,0.3,0.65,61,3.2925244403100584
alpha,Chennu_to_DS005620,residual_pi_after_spectral_all,40,61,0.35,0.65,61,1.5977249408777916
alpha,DS005620_to_Chennu,spectral_all,61,40,0.75,0.675,40,1.0508176369688376
alpha,DS005620_to_Chennu,gcc_triad_plus_pi,61,40,0.8,0.875,40,0.4171599977800936
alpha,DS005620_to_Chennu,spectral_all_plus_gcc,61,40,0.7,0.7,40,0.9960611575039927
alpha,DS005620_to_Chennu,residual_gcc_after_spectral_all,61,40,0.8,0.875,40,0.5908860863701804
alpha,DS005620_to_Chennu,residual_pi_after_spectral_all,61,40,0.8,0.9,40,0.6323351879689902
gamma,Chennu_to_DS005620,spectral_all,40,61,0.775,0.775,61,0.929556804333467
gamma,Chennu_to_DS005620,gcc_triad_plus_pi,40,61,0.825,0.9,61,0.6337538923280751
gamma,Chennu_to_DS005620,spectral_all_plus_gcc,40,61,0.8,0.85,61,0.9732022475173111
gamma,Chennu_to_DS005620,residual_gcc_after_spectral_all,40,61,0.55,0.7625,61,1.2313164944249575
gamma,Chennu_to_DS005620,residual_pi_after_spectral_all,40,61,0.475,0.725,61,1.4906237938163394
gamma,DS005620_to_Chennu,spectral_all,61,40,0.75,0.675,40,1.0508176369688376
gamma,DS005620_to_Chennu,gcc_triad_plus_pi,61,40,0.95,0.975,40,0.16483309044492697
gamma,DS005620_to_Chennu,spectral_all_plus_gcc,61,40,0.95,0.725,40,0.5621644627975678
gamma,DS005620_to_Chennu,residual_gcc_after_spectral_all,61,40,0.95,0.95,40,0.5130486402633273
gamma,DS005620_to_Chennu,residual_pi_after_spectral_all,61,40,0.9,0.925,40,0.5488209841706698
