dataset,band,scope,model,auc,balanced_accuracy,n,log_loss
Chennu,alpha,within_dataset_LOSO,gcc_pi,0.8,0.875,40,0.4643401306473696
Chennu,alpha,within_dataset_LOSO,gcc_triad_plus_pi,0.8200000000000001,0.875,40,0.4540838049690782
Chennu,alpha,within_dataset_LOSO,residual_gcc_after_spectral_all,0.7,0.85,40,0.9270958943395924
Chennu,alpha,within_dataset_LOSO,residual_pi_after_spectral_all,0.7,0.85,40,0.7929761465681671
Chennu,alpha,within_dataset_LOSO,spectral_all,0.95,0.875,40,0.4190460587191289
Chennu,alpha,within_dataset_LOSO,spectral_all_plus_gcc,0.9525,0.95,40,0.18588886343043903
Chennu,alpha,within_dataset_LOSO,spectral_bandpower,0.915,0.9,40,0.41974729723845555
DS005620,alpha,within_dataset_LOSO,gcc_pi,0.875,0.9,61,0.4802337900931656
DS005620,alpha,within_dataset_LOSO,gcc_triad_plus_pi,0.7511904761904762,0.8625,61,0.5908934519677134
DS005620,alpha,within_dataset_LOSO,residual_gcc_after_spectral_all,0.5345238095238095,0.7625,61,0.7405235226847826
DS005620,alpha,within_dataset_LOSO,residual_pi_after_spectral_all,0.5773809523809523,0.7875,61,0.7015856162351167
DS005620,alpha,within_dataset_LOSO,spectral_all,0.9773809523809524,0.975,61,0.1362133857331869
DS005620,alpha,within_dataset_LOSO,spectral_all_plus_gcc,0.975,0.9625,61,0.18699306546190342
DS005620,alpha,within_dataset_LOSO,spectral_bandpower,0.975,0.8875,61,0.3115848293775288
Chennu,gamma,within_dataset_LOSO,gcc_pi,0.95,0.95,40,0.21387098353857267
Chennu,gamma,within_dataset_LOSO,gcc_triad_plus_pi,0.95,0.95,40,0.22809298494048802
Chennu,gamma,within_dataset_LOSO,residual_gcc_after_spectral_all,0.7,0.85,40,0.8879796103104711
Chennu,gamma,within_dataset_LOSO,residual_pi_after_spectral_all,0.7,0.85,40,0.7967852628607652
Chennu,gamma,within_dataset_LOSO,spectral_all,0.95,0.875,40,0.4190460587191289
Chennu,gamma,within_dataset_LOSO,spectral_all_plus_gcc,0.9025000000000001,0.9,40,0.28777014103423715
Chennu,gamma,within_dataset_LOSO,spectral_bandpower,0.915,0.9,40,0.41974729723845555
DS005620,gamma,within_dataset_LOSO,gcc_pi,0.9559523809523809,0.95,61,0.2235880598949401
DS005620,gamma,within_dataset_LOSO,gcc_triad_plus_pi,0.975,0.9375,61,0.23826894642332547
DS005620,gamma,within_dataset_LOSO,residual_gcc_after_spectral_all,0.5369047619047619,0.75,61,0.7807096030182415
DS005620,gamma,within_dataset_LOSO,residual_pi_after_spectral_all,0.6071428571428572,0.7875,61,0.705030967613618
DS005620,gamma,within_dataset_LOSO,spectral_all,0.9773809523809524,0.975,61,0.1362133857331869
DS005620,gamma,within_dataset_LOSO,spectral_all_plus_gcc,1.0,0.9625,61,0.11094716784100646
DS005620,gamma,within_dataset_LOSO,spectral_bandpower,0.975,0.8875,61,0.3115848293775288
