dataset,band,caliper_quantile,n_pairs,n_subjects,spectral_norm_cutoff,mean_abs_spectral_delta,model,auc,balanced_accuracy,n,log_loss
Chennu,alpha,0.25,5,5,1.0430397830584783,0.5517389995735943,pi_sign_rule_no_fit,0.6,0.6,10,3.342684851201964
Chennu,alpha,0.25,5,5,1.0430397830584783,0.5517389995735943,gcc_triad_plus_pi,0.44000000000000006,0.7,10,0.7105761766655804
Chennu,alpha,0.25,5,5,1.0430397830584783,0.5517389995735943,residual_gcc_after_spectral_all,0.6,0.8,10,2.8920761835486695
Chennu,alpha,0.25,5,5,1.0430397830584783,0.5517389995735943,spectral_all,1.0,0.9,10,0.214833255754561
Chennu,alpha,0.5,10,10,2.0044954578226504,1.6517010453315892,pi_sign_rule_no_fit,0.7,0.55,20,2.6402817631798148
Chennu,alpha,0.5,10,10,2.0044954578226504,1.6517010453315892,gcc_triad_plus_pi,0.73,0.8,20,0.5865546787901657
Chennu,alpha,0.5,10,10,2.0044954578226504,1.6517010453315892,residual_gcc_after_spectral_all,0.52,0.7,20,1.1043776183415397
Chennu,alpha,0.5,10,10,2.0044954578226504,1.6517010453315892,spectral_all,1.0,0.9,20,0.2845789232738041
Chennu,alpha,0.75,15,15,3.0480223590275477,3.2815034034479638,pi_sign_rule_no_fit,0.8,0.5666666666666667,30,1.9381651093175398
Chennu,alpha,0.75,15,15,3.0480223590275477,3.2815034034479638,gcc_triad_plus_pi,0.8666666666666667,0.8666666666666667,30,0.44386770495773303
Chennu,alpha,0.75,15,15,3.0480223590275477,3.2815034034479638,residual_gcc_after_spectral_all,0.6,0.7333333333333334,30,0.865972881215376
Chennu,alpha,0.75,15,15,3.0480223590275477,3.2815034034479638,spectral_all,1.0,0.9,30,0.2736445693055882
DS005620,alpha,0.25,10,6,1.5109303751797296,3.576143484539933,pi_sign_rule_no_fit,0.9,0.5,20,1.5010471221485338
DS005620,alpha,0.25,10,6,1.5109303751797296,3.576143484539933,gcc_triad_plus_pi,0.9,0.95,20,0.415925062137483
DS005620,alpha,0.25,10,6,1.5109303751797296,3.576143484539933,residual_gcc_after_spectral_all,0.4,0.7,20,1.3810218091186406
DS005620,alpha,0.25,10,6,1.5109303751797296,3.576143484539933,spectral_all,1.0,1.0,20,0.06061760444455912
DS005620,alpha,0.5,20,14,2.248612005849766,4.87767986004818,pi_sign_rule_no_fit,0.85,0.55,40,1.7132205168784551
