band,direction,model,n_train,n_test,auc,balanced_accuracy,n,log_loss
alpha,Chennu_to_DS005620,spectral_all,40,61,0.775,0.775,61,0.929556804333467
alpha,Chennu_to_DS005620,gcc_triad_plus_pi,40,61,0.875,0.925,61,0.3550626469390509
alpha,Chennu_to_DS005620,spectral_all_plus_gcc,40,61,0.95,0.95,61,0.26948179552525625
alpha,Chennu_to_DS005620,residual_gcc_after_spectral_all,40,61,0.8,0.9,61,0.5404670104315942
alpha,Chennu_to_DS005620,residual_pi_after_spectral_all,40,61,0.975,0.95,61,0.35464904100461164
alpha,DS005620_to_Chennu,spectral_all,61,40,0.75,0.675,40,1.0508176369688376
alpha,DS005620_to_Chennu,gcc_triad_plus_pi,61,40,0.7,0.7,40,0.6274218922128503
alpha,DS005620_to_Chennu,spectral_all_plus_gcc,61,40,0.5,0.625,40,1.4083159888716863
alpha,DS005620_to_Chennu,residual_gcc_after_spectral_all,61,40,0.15,0.575,40,1.0683416111714272
alpha,DS005620_to_Chennu,residual_pi_after_spectral_all,61,40,0.2,0.575,40,1.0787244626176478
gamma,Chennu_to_DS005620,spectral_all,40,61,0.775,0.775,61,0.929556804333467
gamma,Chennu_to_DS005620,gcc_triad_plus_pi,40,61,0.65,0.75,61,1.1851586460964938
gamma,Chennu_to_DS005620,spectral_all_plus_gcc,40,61,0.7,0.775,61,1.1762785155355968
gamma,Chennu_to_DS005620,residual_gcc_after_spectral_all,40,61,0.25,0.5875,61,3.7899215505969206
gamma,Chennu_to_DS005620,residual_pi_after_spectral_all,40,61,0.725,0.8125,61,0.777265896542172
gamma,DS005620_to_Chennu,spectral_all,61,40,0.75,0.675,40,1.0508176369688376
gamma,DS005620_to_Chennu,gcc_triad_plus_pi,61,40,0.8,0.8,40,0.4939751544485894
gamma,DS005620_to_Chennu,spectral_all_plus_gcc,61,40,0.65,0.6,40,1.441155313345937
gamma,DS005620_to_Chennu,residual_gcc_after_spectral_all,61,40,0.25,0.6,40,1.016448606213098
gamma,DS005620_to_Chennu,residual_pi_after_spectral_all,61,40,0.45,0.675,40,0.8632883732926218
