dataset,band,scope,model,auc,balanced_accuracy,n,log_loss
Chennu,alpha,within_dataset_LOSO,gcc_pi,0.7,0.825,40,0.5633624698626465
Chennu,alpha,within_dataset_LOSO,gcc_triad_plus_pi,0.7224999999999999,0.825,40,0.5702293656915367
Chennu,alpha,within_dataset_LOSO,residual_gcc_after_spectral_all,0.605,0.8,40,0.9266139375463871
Chennu,alpha,within_dataset_LOSO,residual_pi_after_spectral_all,0.605,0.8,40,0.6923324516043445
Chennu,alpha,within_dataset_LOSO,spectral_all,0.95,0.875,40,0.4190460587191289
Chennu,alpha,within_dataset_LOSO,spectral_all_plus_gcc,0.9,0.9,40,0.39019542116187206
Chennu,alpha,within_dataset_LOSO,spectral_bandpower,0.915,0.9,40,0.41974729723845555
DS005620,alpha,within_dataset_LOSO,gcc_pi,0.8916666666666667,0.8875,61,0.3642779114207855
DS005620,alpha,within_dataset_LOSO,gcc_triad_plus_pi,0.888095238095238,0.85,61,0.4110606518777778
DS005620,alpha,within_dataset_LOSO,residual_gcc_after_spectral_all,0.6547619047619048,0.8125,61,0.7568488010933785
DS005620,alpha,within_dataset_LOSO,residual_pi_after_spectral_all,0.6309523809523809,0.8,61,0.7036353119042184
DS005620,alpha,within_dataset_LOSO,spectral_all,0.9773809523809524,0.975,61,0.1362133857331869
DS005620,alpha,within_dataset_LOSO,spectral_all_plus_gcc,1.0,0.9625,61,0.11253827410740486
DS005620,alpha,within_dataset_LOSO,spectral_bandpower,0.975,0.8875,61,0.3115848293775288
Chennu,gamma,within_dataset_LOSO,gcc_pi,0.8025,0.825,40,0.4749282056490459
Chennu,gamma,within_dataset_LOSO,gcc_triad_plus_pi,0.95,0.95,40,0.2493821227426461
Chennu,gamma,within_dataset_LOSO,residual_gcc_after_spectral_all,0.6925,0.825,40,0.6742906132676788
Chennu,gamma,within_dataset_LOSO,residual_pi_after_spectral_all,0.65,0.775,40,0.6817259169667446
Chennu,gamma,within_dataset_LOSO,spectral_all,0.95,0.875,40,0.4190460587191289
Chennu,gamma,within_dataset_LOSO,spectral_all_plus_gcc,0.9,0.925,40,0.33167950848254346
Chennu,gamma,within_dataset_LOSO,spectral_bandpower,0.915,0.9,40,0.41974729723845555
DS005620,gamma,within_dataset_LOSO,gcc_pi,0.9547619047619047,0.8875,61,0.3171954247289343
DS005620,gamma,within_dataset_LOSO,gcc_triad_plus_pi,0.9345238095238095,0.8875,61,0.3364283520242848
DS005620,gamma,within_dataset_LOSO,residual_gcc_after_spectral_all,0.6035714285714285,0.7625,61,0.7554997912879936
DS005620,gamma,within_dataset_LOSO,residual_pi_after_spectral_all,0.6035714285714285,0.7875,61,0.7080455926562522
DS005620,gamma,within_dataset_LOSO,spectral_all,0.9773809523809524,0.975,61,0.1362133857331869
DS005620,gamma,within_dataset_LOSO,spectral_all_plus_gcc,1.0,0.9875,61,0.09912246078185426
DS005620,gamma,within_dataset_LOSO,spectral_bandpower,0.975,0.8875,61,0.3115848293775288
