dataset,band,caliper_quantile,n_pairs,n_subjects,spectral_norm_cutoff,mean_abs_spectral_delta,model,auc,balanced_accuracy,n,log_loss
Chennu,alpha,0.25,5,5,1.0430397830584783,0.5517389995735943,pi_sign_rule_no_fit,0.8,0.5,10,2.105174164082228
Chennu,alpha,0.25,5,5,1.0430397830584783,0.5517389995735943,gcc_triad_plus_pi,0.4,0.7,10,1.5372847351201973
Chennu,alpha,0.25,5,5,1.0430397830584783,0.5517389995735943,residual_gcc_after_spectral_all,0.2,0.6,10,5.704522218899486
Chennu,alpha,0.25,5,5,1.0430397830584783,0.5517389995735943,spectral_all,1.0,0.9,10,0.214833255754561
Chennu,alpha,0.5,10,10,2.0044954578226504,1.6517010453315892,pi_sign_rule_no_fit,0.8,0.5,20,2.242419304648977
Chennu,alpha,0.5,10,10,2.0044954578226504,1.6517010453315892,gcc_triad_plus_pi,0.81,0.85,20,0.5623389264377445
Chennu,alpha,0.5,10,10,2.0044954578226504,1.6517010453315892,residual_gcc_after_spectral_all,0.2,0.6,20,2.2227701593528875
Chennu,alpha,0.5,10,10,2.0044954578226504,1.6517010453315892,spectral_all,1.0,0.9,20,0.2845789232738041
Chennu,alpha,0.75,15,15,3.0480223590275477,3.2815034034479638,pi_sign_rule_no_fit,0.6666666666666666,0.5,30,2.9874566033109775
Chennu,alpha,0.75,15,15,3.0480223590275477,3.2815034034479638,gcc_triad_plus_pi,0.7377777777777778,0.7666666666666666,30,0.6396822462764393
Chennu,alpha,0.75,15,15,3.0480223590275477,3.2815034034479638,residual_gcc_after_spectral_all,0.7955555555555556,0.8666666666666667,30,1.0945320575941144
Chennu,alpha,0.75,15,15,3.0480223590275477,3.2815034034479638,spectral_all,1.0,0.9,30,0.2736445693055882
DS005620,alpha,0.25,10,6,1.5109303751797296,3.576143484539933,pi_sign_rule_no_fit,0.9,0.6,20,1.8607084205102695
DS005620,alpha,0.25,10,6,1.5109303751797296,3.576143484539933,gcc_triad_plus_pi,0.5800000000000001,0.75,20,0.5670560332160471
DS005620,alpha,0.25,10,6,1.5109303751797296,3.576143484539933,residual_gcc_after_spectral_all,0.3,0.65,20,2.0756529343812047
DS005620,alpha,0.25,10,6,1.5109303751797296,3.576143484539933,spectral_all,1.0,1.0,20,0.06061760444455912
DS005620,alpha,0.5,20,14,2.248612005849766,4.87767986004818,pi_sign_rule_no_fit,0.95,0.625,40,1.30909222723047
DS005620,alpha,0.5,20,14,2.248612005849766,4.87767986004818,gcc_triad_plus_pi,0.91,0.85,40,0.3765007829174186
DS005620,alpha,0.5,20,14,2.248612005849766,4.87767986004818,residual_gcc_after_spectral_all,0.55,0.775,40,0.7225791423574974
DS005620,alpha,0.5,20,14,2.248612005849766,4.87767986004818,spectral_all,1.0,1.0,40,0.06748938314910677
DS005620,alpha,0.75,30,17,2.7571002887378295,4.913414416463163,pi_sign_rule_no_fit,0.9666666666666667,0.6,60,1.0918124990686058
DS005620,alpha,0.75,30,17,2.7571002887378295,4.913414416463163,gcc_triad_plus_pi,0.9455555555555555,0.9,60,0.3157507618880623
DS005620,alpha,0.75,30,17,2.7571002887378295,4.913414416463163,residual_gcc_after_spectral_all,0.5422222222222222,0.7666666666666666,60,0.7227760767330438
DS005620,alpha,0.75,30,17,2.7571002887378295,4.913414416463163,spectral_all,1.0,0.9666666666666667,60,0.08068101133726953
Chennu,gamma,0.25,5,5,1.0430397830584783,0.5517389995735943,pi_sign_rule_no_fit,0.8,0.5,10,2.116631109556542
Chennu,gamma,0.25,5,5,1.0430397830584783,0.5517389995735943,gcc_triad_plus_pi,0.8,0.8,10,0.4525345954111037
Chennu,gamma,0.25,5,5,1.0430397830584783,0.5517389995735943,residual_gcc_after_spectral_all,0.8,0.9,10,1.5029495789290492
Chennu,gamma,0.25,5,5,1.0430397830584783,0.5517389995735943,spectral_all,1.0,0.9,10,0.214833255754561
Chennu,gamma,0.5,10,10,2.0044954578226504,1.6517010453315892,pi_sign_rule_no_fit,0.8,0.5,20,2.0844429334177375
Chennu,gamma,0.5,10,10,2.0044954578226504,1.6517010453315892,gcc_triad_plus_pi,0.91,0.95,20,0.2505748359015709
Chennu,gamma,0.5,10,10,2.0044954578226504,1.6517010453315892,residual_gcc_after_spectral_all,0.6699999999999999,0.8,20,0.7699301774635495
Chennu,gamma,0.5,10,10,2.0044954578226504,1.6517010453315892,spectral_all,1.0,0.9,20,0.2845789232738041
Chennu,gamma,0.75,15,15,3.0480223590275477,3.2815034034479638,pi_sign_rule_no_fit,0.7333333333333333,0.5,30,2.4297653964520616
Chennu,gamma,0.75,15,15,3.0480223590275477,3.2815034034479638,gcc_triad_plus_pi,0.8933333333333333,0.9333333333333333,30,0.29902587725696855
