task,feature_set,n,auc,balanced_accuracy,accuracy,p_perm_auc_ge_observed
dementia_proxy_vs_control,alpha_pi,88,0.6715371127995324,0.6157218001168907,0.6022727272727273,0.006644518272425249
dementia_proxy_vs_control,gamma_pi,88,0.4032729398012858,0.5289304500292227,0.5681818181818182,0.8073089700996677
dementia_proxy_vs_control,alpha_triad,88,0.7527761542957334,0.7437171244886032,0.7386363636363636,0.0033222591362126247
dementia_proxy_vs_control,gamma_triad,88,0.614845119812975,0.5730566919929866,0.5568181818181818,0.0664451827242525
dementia_proxy_vs_control,combined_pi,88,0.6446522501461134,0.5642898889538281,0.5568181818181818,0.029900332225913623
dementia_proxy_vs_control,combined_triad,88,0.7691408533021624,0.7863822326125074,0.7840909090909091,0.0033222591362126247
dementia_proxy_vs_control,combined_all,88,0.7282291057860899,0.7264757451782583,0.7272727272727273,0.0033222591362126247
alzheimer_vs_control,alpha_pi,65,0.6886973180076629,0.6331417624521073,0.6307692307692307,0.006644518272425249
alzheimer_vs_control,gamma_pi,65,0.5938697318007663,0.6125478927203065,0.6153846153846154,0.15946843853820597
alzheimer_vs_control,alpha_triad,65,0.7681992337164751,0.7681992337164751,0.7692307692307693,0.0033222591362126247
alzheimer_vs_control,gamma_triad,65,0.6417624521072797,0.6537356321839081,0.6461538461538462,0.03322259136212625
alzheimer_vs_control,combined_pi,65,0.6848659003831418,0.6436781609195402,0.6461538461538462,0.009966777408637873
alzheimer_vs_control,combined_triad,65,0.7672413793103449,0.8132183908045978,0.8153846153846154,0.006644518272425249
alzheimer_vs_control,combined_all,65,0.7547892720306513,0.7476053639846744,0.7538461538461538,0.0033222591362126247
frontotemporal_vs_control,alpha_pi,52,0.6176911544227887,0.588455772113943,0.5961538461538461,0.07308970099667775
frontotemporal_vs_control,gamma_pi,52,0.49325337331334335,0.5059970014992504,0.5192307692307693,0.4883720930232558
frontotemporal_vs_control,alpha_triad,52,0.6986506746626686,0.6836581709145427,0.6923076923076923,0.026578073089700997
frontotemporal_vs_control,gamma_triad,52,0.6146926536731634,0.6056971514242879,0.6153846153846154,0.10631229235880399
frontotemporal_vs_control,combined_pi,52,0.590704647676162,0.588455772113943,0.5961538461538461,0.12292358803986711
frontotemporal_vs_control,combined_triad,52,0.6881559220389805,0.7053973013493253,0.7115384615384616,0.029900332225913623
frontotemporal_vs_control,combined_all,52,0.6326836581709147,0.6274362818590704,0.6346153846153846,0.10963455149501661
alzheimer_vs_frontotemporal,alpha_pi,59,0.06159420289855073,0.22403381642512077,0.2542372881355932,0.9036544850498339
alzheimer_vs_frontotemporal,gamma_pi,59,0.5942028985507246,0.6358695652173914,0.6610169491525424,0.09966777408637874
alzheimer_vs_frontotemporal,alpha_triad,59,0.5640096618357489,0.5664251207729469,0.576271186440678,0.2026578073089701
alzheimer_vs_frontotemporal,gamma_triad,59,0.538647342995169,0.5942028985507246,0.6101694915254238,0.34219269102990035
alzheimer_vs_frontotemporal,combined_pi,59,0.5579710144927537,0.5567632850241546,0.5932203389830508,0.2159468438538206
alzheimer_vs_frontotemporal,combined_triad,59,0.6038647342995169,0.6515700483091788,0.6610169491525424,0.1362126245847176
alzheimer_vs_frontotemporal,combined_all,59,0.5434782608695652,0.6080917874396135,0.6271186440677966,0.30564784053156147
