subset,feature,n,spearman_rho,p
all_subjects,alpha_Pi,88,0.2398114044721183,0.024422853137272358
all_subjects,alpha_R,88,0.36146544990500534,0.0005399011077894262
all_subjects,alpha_D,88,-0.32830100163527987,0.0017917703810025774
all_subjects,alpha_M,88,-0.06796909479626893,0.5292061901272082
all_subjects,gamma_Pi,88,-0.1890643913724378,0.07770335779588337
all_subjects,gamma_R,88,-0.24280341447906095,0.022646019876207645
all_subjects,gamma_D,88,0.14709514257023357,0.17143831486584316
all_subjects,gamma_M,88,-0.23078130198128546,0.030521311093543807
dementia_proxy_only,alpha_Pi,59,-0.05479063416316482,0.6802221254281655
dementia_proxy_only,alpha_R,59,0.14631623551323203,0.2688158292636698
dementia_proxy_only,alpha_D,59,0.07857778753156322,0.554139035802886
dementia_proxy_only,alpha_M,59,0.014254473928628247,0.9146672724093414
dementia_proxy_only,gamma_Pi,59,-0.24229635996599558,0.06446511317312702
dementia_proxy_only,gamma_R,59,-0.0359034562077324,0.7871863388958306
dementia_proxy_only,gamma_D,59,0.03937798422783553,0.7671451162353381
dementia_proxy_only,gamma_M,59,-0.003949677151057411,0.9763150602894426
