band,eyes,metric,n,awake_mean,ketamine_mean,mean_delta_ketamine_minus_awake,paired_d_delta,wilcoxon_two_sided_p,wilcoxon_delta_greater_p,wilcoxon_delta_less_p
alpha,closed,Pi,10,0.8385181856374443,0.7954672260420901,-0.04305095959535421,-0.4572487436247138,0.232421875,0.9033203125,0.1162109375
alpha,closed,Access_all,10,0.5847538172276285,0.4825899913524543,-0.10216382587517443,-0.43668274516068123,0.232421875,0.9033203125,0.1162109375
alpha,closed,R_mean,10,0.14786894582624927,0.1499499595992604,0.0020810137730111365,0.04030720368515067,0.556640625,0.75390625,0.2783203125
alpha,closed,D_mean,10,6.417656581486311,7.050129521674964,0.6324729401886529,0.31085514353454746,0.083984375,0.0419921875,0.9677734375
alpha,closed,M_mean,10,0.0034780624916322537,0.0035345996339115567,5.6537142279303e-05,0.053918458183010505,0.375,0.1875,0.8388671875
alpha,open,Pi,9,0.822074538008774,0.7050329634723425,-0.11704157453643155,-0.8271368449522131,0.0390625,0.986328125,0.01953125
alpha,open,Access_all,9,0.5868701249555032,0.3782440530865362,-0.20862607186896692,-0.8370388389923787,0.0390625,0.98828125,0.01953125
alpha,open,R_mean,9,0.09990387442597959,0.09748427815162003,-0.002419596274359559,-0.27988576146760885,0.42578125,0.8203125,0.212890625
alpha,open,D_mean,9,8.054370067568115,8.863102191114342,0.8087321235462255,0.8949582240851051,0.02734375,0.013671875,0.990234375
alpha,open,M_mean,9,0.0026016034535765297,0.0024306234225184363,-0.00017098003105809362,-0.34756991123733055,0.42578125,0.8203125,0.212890625
alpha,pooled_eyes,Pi,10,0.8302182759483113,0.7576885050631312,-0.07252977088518016,-0.8541171574428564,0.083984375,0.9677734375,0.0419921875
alpha,pooled_eyes,Access_all,10,0.5853146186899446,0.44045218798622104,-0.1448624307037235,-0.9296662849537587,0.064453125,0.9755859375,0.0322265625
alpha,pooled_eyes,R_mean,10,0.12337738348234832,0.12643925122416177,0.0030618677418134525,0.12122454407356531,0.921875,0.5771484375,0.4609375
alpha,pooled_eyes,D_mean,10,7.212449396526057,7.8435895764718015,0.6311401799457445,0.706349382794503,0.083984375,0.0419921875,0.9677734375
alpha,pooled_eyes,M_mean,10,0.0030189964246202035,0.0030378354089875565,1.883898436735327e-05,0.03319595308421006,0.556640625,0.2783203125,0.75390625
gamma,closed,Pi,10,0.8159660667920136,0.6843551407045109,-0.13161092608750274,-1.0543081780884611,0.013671875,0.9951171875,0.0068359375
gamma,closed,Access_all,10,0.5864749271679166,0.3168765096019209,-0.2695984175659959,-1.2449330403554608,0.00390625,0.9990234375,0.001953125
gamma,closed,R_mean,10,0.11396804410563073,0.11843527517422696,0.004467231068596233,0.26663430612633876,0.625,0.3125,0.7216796875
gamma,closed,D_mean,10,14.393748716950075,13.226204322555827,-1.1675443943942472,-0.7399700397146305,0.037109375,0.986328125,0.0185546875
gamma,closed,M_mean,10,0.003382567068908433,0.0034117939168096115,2.9226847901177517e-05,0.03262256920480676,1.0,0.5390625,0.5
gamma,open,Pi,9,0.8451850084024842,0.7044501193363943,-0.14073488906608986,-0.9442470672761791,0.02734375,0.990234375,0.013671875
gamma,open,Access_all,9,0.6034577830516199,0.3616579584842853,-0.24179982456733454,-0.8733389398938697,0.02734375,0.990234375,0.013671875
gamma,open,R_mean,9,0.12948973527130717,0.12968551861253413,0.00019578334122698215,0.008680294604876333,0.5703125,0.751953125,0.28515625
gamma,open,D_mean,9,16.593003319672675,16.251199140020166,-0.34180417965250837,-0.1510403708915188,1.0,0.544921875,0.5
gamma,open,M_mean,9,0.004219833459951911,0.004164594731003829,-5.5238728948081525e-05,-0.03472259289060866,0.359375,0.849609375,0.1796875
gamma,pooled_eyes,Pi,10,0.8297692786301161,0.6878350948138667,-0.1419341838162494,-1.0930359449667797,0.009765625,0.9970703125,0.0048828125
gamma,pooled_eyes,Access_all,10,0.5949216710853924,0.3343422308557309,-0.26057944022966145,-1.1013930383180046,0.005859375,0.998046875,0.0029296875
gamma,pooled_eyes,R_mean,10,0.12112747544581867,0.12309192530033866,0.001964449854519966,0.1513599521843536,0.76953125,0.384765625,0.65234375
gamma,pooled_eyes,D_mean,10,15.437390178982483,14.652181485371065,-0.7852086936114194,-0.5041690203497334,0.130859375,0.947265625,0.0654296875
gamma,pooled_eyes,M_mean,10,0.00376469202311311,0.003735291909106235,-2.940011400687421e-05,-0.03676027496865953,0.76953125,0.65234375,0.384765625
