t,R,D_eff,M_tau,R_ok,D_ok,M_ok,Pi_window,Access_all,dataset,subject,condition,eyes,recording,filename,band
1.5,0.09874191951884975,9.61041137205281,0.0016993762332743127,True,False,True,0.6666666666666666,0,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
3.004,0.091777234256298,10.081694081018975,0.00170449875031752,True,False,True,0.6666666666666666,0,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
4.508,0.07954840145849779,7.4020880999336525,0.0022574487748574213,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
6.012,0.0793764037152961,6.975781198109551,0.0025997505655573796,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
7.516,0.06943193948896248,7.657143386691941,0.0014750763679738674,False,True,True,0.6666666666666666,0,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
9.02,0.07570494584261397,7.707350962274146,0.0016804477971499162,False,True,True,0.6666666666666666,0,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
10.524,0.07744125583333819,8.037262895776205,0.0015619574767070606,False,True,True,0.6666666666666666,0,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
12.028,0.07985166367780298,7.092226871207502,0.001557269557397344,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
13.532,0.09311826522862486,6.0773601795958205,0.0019297522052051192,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
15.036,0.08447803623841611,6.592726353595918,0.0018475112564030696,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
16.54,0.07915664673967591,6.364138927203064,0.0015628562403955364,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
18.044,0.08283890261853145,5.846791909806521,0.0015425947875089,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
19.548,0.08219583939282521,6.603857341384366,0.001823801197532413,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
21.052,0.08859504941796903,7.2991395667535235,0.0018958641841061122,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
22.556,0.09149928061212673,6.324589256798145,0.0018797002376288133,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
24.06,0.10183999936128552,5.799778115590414,0.0022648602851190387,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
25.564,0.10231039991753722,8.407185917947839,0.0022149351516580116,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
27.068,0.11108853525473072,5.262375236139882,0.0021190981576772075,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
28.572,0.10300220977547685,4.310810572859666,0.002626035573621886,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
30.076,0.07330597505146066,4.27209792921422,0.0016104547258228425,False,True,True,0.6666666666666666,0,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
31.58,0.07988066916318165,6.288472550790154,0.0023974762403351415,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
33.084,0.0817083348005292,8.81744110058677,0.002717690117517114,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
34.588,0.08309901345387984,7.43281139285124,0.0015067393388390748,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
36.092,0.09430554580153898,7.337413763136065,0.001530322785904781,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
37.596,0.09758029226195936,8.946542307693166,0.0023356827653500042,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
39.1,0.09136610229382237,7.777945569954794,0.002602558755181131,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
40.604,0.0933999578492466,7.870597604028938,0.003424833487738263,True,True,True,1.0,1,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
42.108,0.09983049470120584,9.208378401192231,0.003241297778362107,True,False,True,0.6666666666666666,0,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
43.612,0.09131734540200029,10.049740502716372,0.0017483549533367168,True,False,True,0.6666666666666666,0,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
45.116,0.08631196225258506,8.325687109052447,0.0013077514061374494,True,True,False,0.6666666666666666,0,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
46.62,0.08513847786514782,5.370008209977682,0.001318810577878924,True,True,False,0.6666666666666666,0,FarnesKetamine,210,awake,open,2,210_20161207_0002eyesOpen_afterICA.set,alpha
