source,dataset,band,condition,subject,metric,run1,run2
phase_only,DS005620,alpha,sed,1010,Pi,0.6781609195402298,0.6264367816091955
phase_only,DS005620,alpha,sed,1016,Pi,0.8850574712643677,0.9022988505747126
phase_only,DS005620,alpha,sed,1017,Pi,0.8160919540229883,0.7471264367816093
phase_only,DS005620,alpha,sed,1022,Pi,0.4827586206896552,0.4655172413793103
phase_only,DS005620,alpha,sed,1024,Pi,0.5114942528735632,0.4367816091954022
phase_only,DS005620,alpha,sed,1033,Pi,0.293103448275862,0.3103448275862069
phase_only,DS005620,alpha,sed,1036,Pi,0.4310344827586206,0.4999999999999999
phase_only,DS005620,alpha,sed,1045,Pi,0.2988505747126436,0.264367816091954
phase_only,DS005620,alpha,sed,1046,Pi,0.5689655172413793,0.4137931034482758
phase_only,DS005620,alpha,sed,1054,Pi,0.7816091954022988,0.6666666666666666
phase_only,DS005620,alpha,sed,1055,Pi,0.6666666666666665,0.7298850574712643
phase_only,DS005620,alpha,sed,1057,Pi,0.3735632183908046,0.3275862068965516
phase_only,DS005620,alpha,sed,1060,Pi,0.7586206896551724,0.7413793103448276
phase_only,DS005620,alpha,sed,1061,Pi,0.7758620689655171,0.425287356321839
phase_only,DS005620,alpha,sed,1062,Pi,0.82183908045977,0.3850574712643678
phase_only,DS005620,alpha,sed,1064,Pi,0.7298850574712643,0.6839080459770115
phase_only,DS005620,alpha,sed,1067,Pi,0.9885057471264368,0.9482758620689656
phase_only,DS005620,alpha,sed,1068,Pi,0.5919540229885056,0.4999999999999999
phase_only,DS005620,alpha,sed,1071,Pi,0.6034482758620688,0.4655172413793103
phase_only,DS005620,alpha,sed,1074,Pi,0.6379310344827587,0.8505747126436781
phase_only,DS005620,alpha,sed,1010,R,0.1715306686149766,0.0990053493754675
phase_only,DS005620,alpha,sed,1016,R,0.1158063300183716,0.1072180770015727
phase_only,DS005620,alpha,sed,1017,R,0.104604157622647,0.1000637937496314
phase_only,DS005620,alpha,sed,1022,R,0.1146345223616983,0.1128257990150633
phase_only,DS005620,alpha,sed,1024,R,0.1044616977206194,0.1026132768015843
phase_only,DS005620,alpha,sed,1033,R,0.0982120649232567,0.0986192192035809
phase_only,DS005620,alpha,sed,1036,R,0.1057812992049962,0.1069048255925684
phase_only,DS005620,alpha,sed,1045,R,0.106620766216941,0.0964708582964021
phase_only,DS005620,alpha,sed,1046,R,0.1302975852276094,0.1526145122402394
phase_only,DS005620,alpha,sed,1054,R,0.1038259383281353,0.1006317801539986
phase_only,DS005620,alpha,sed,1055,R,0.1195161562854581,0.1207673569140271
phase_only,DS005620,alpha,sed,1057,R,0.1274349247443215,0.0997995337266293
phase_only,DS005620,alpha,sed,1060,R,0.1296818220118565,0.1090434660823567
phase_only,DS005620,alpha,sed,1061,R,0.1572712395968153,0.2114938875701235
phase_only,DS005620,alpha,sed,1062,R,0.1357486073578767,0.1049182257330654
phase_only,DS005620,alpha,sed,1064,R,0.1292092171554472,0.1284335338548182
phase_only,DS005620,alpha,sed,1067,R,0.1541494947478574,0.1504939498665024
phase_only,DS005620,alpha,sed,1068,R,0.1699123753061541,0.3932450882658614
phase_only,DS005620,alpha,sed,1071,R,0.1540706927286163,0.1126932715132541
phase_only,DS005620,alpha,sed,1074,R,0.1281263830467,0.1104705916968801
phase_only,DS005620,alpha,sed,1010,D_eff,7.947234252697462,9.66918736653518
phase_only,DS005620,alpha,sed,1016,D_eff,8.253668278396491,8.37600520146033
phase_only,DS005620,alpha,sed,1017,D_eff,8.547438046372378,9.006862612114372
phase_only,DS005620,alpha,sed,1022,D_eff,8.456654920851564,8.14013569326733
phase_only,DS005620,alpha,sed,1024,D_eff,8.364459818303066,8.592573519670113
phase_only,DS005620,alpha,sed,1033,D_eff,8.144505475693524,7.7747307508168175
phase_only,DS005620,alpha,sed,1036,D_eff,8.052873414511003,8.26071900623907
phase_only,DS005620,alpha,sed,1045,D_eff,6.703015426013391,8.246838525095338
phase_only,DS005620,alpha,sed,1046,D_eff,6.812938095875066,7.618382479570069
phase_only,DS005620,alpha,sed,1054,D_eff,7.846515610507675,7.88643288458297
phase_only,DS005620,alpha,sed,1055,D_eff,8.865704220921517,8.927422222323418
phase_only,DS005620,alpha,sed,1057,D_eff,7.324035080912924,8.714529661586838
phase_only,DS005620,alpha,sed,1060,D_eff,6.501928440948242,7.351842373899579
phase_only,DS005620,alpha,sed,1061,D_eff,5.316293724980898,1.880082701317157
phase_only,DS005620,alpha,sed,1062,D_eff,6.964187087413565,8.693745508715985
phase_only,DS005620,alpha,sed,1064,D_eff,7.764863477592709,7.430961986765786
phase_only,DS005620,alpha,sed,1067,D_eff,7.5827716764804975,7.703542422113674
phase_only,DS005620,alpha,sed,1068,D_eff,5.451299974395371,8.453180068217698
phase_only,DS005620,alpha,sed,1071,D_eff,6.775871376594244,6.81475281980546
phase_only,DS005620,alpha,sed,1074,D_eff,7.490956445289748,8.79226156482895
phase_only,DS005620,alpha,sed,1010,M_tau,0.014572840398384,0.0026076453643647
phase_only,DS005620,alpha,sed,1016,M_tau,0.0031692372851812,0.0029677342318729
phase_only,DS005620,alpha,sed,1017,M_tau,0.0028301908285611,0.0028359861628125
phase_only,DS005620,alpha,sed,1022,M_tau,0.0034919004050499,0.0031241224574134
phase_only,DS005620,alpha,sed,1024,M_tau,0.0029249475701791,0.0028568939304568
phase_only,DS005620,alpha,sed,1033,M_tau,0.0033461024622447,0.0025099794724598
