dataset,subject,condition,band,filename,run,source,metric,first,second,eyes,recording
Chennu,2,baseline,alpha,02-2010-anest 20100210 135.003.set,,phase_only,Pi,0.7931034482758621,0.8620689655172412,,
Chennu,2,baseline,alpha,02-2010-anest 20100210 135.003.set,,phase_only,R,0.17061314141812078,0.17029002389381667,,
Chennu,2,baseline,alpha,02-2010-anest 20100210 135.003.set,,phase_only,D_eff,6.581324885367739,6.611629955552319,,
Chennu,2,baseline,alpha,02-2010-anest 20100210 135.003.set,,phase_only,M_tau,0.00576164773010473,0.005444772045926628,,
Chennu,2,mild,alpha,02-2010-anest 20100210 135.006.set,,phase_only,Pi,0.8735632183908046,0.8735632183908046,,
Chennu,2,mild,alpha,02-2010-anest 20100210 135.006.set,,phase_only,R,0.1793094423404234,0.17091534166770506,,
Chennu,2,mild,alpha,02-2010-anest 20100210 135.006.set,,phase_only,D_eff,6.419145390001249,6.9146665686235265,,
Chennu,2,mild,alpha,02-2010-anest 20100210 135.006.set,,phase_only,M_tau,0.004571212141511559,0.005452701912190848,,
Chennu,2,moderate,alpha,02-2010-anest 20100210 135.014.set,,phase_only,Pi,0.7931034482758621,0.896551724137931,,
Chennu,2,moderate,alpha,02-2010-anest 20100210 135.014.set,,phase_only,R,0.15760085070148572,0.16683405146883248,,
Chennu,2,moderate,alpha,02-2010-anest 20100210 135.014.set,,phase_only,D_eff,7.1315612085657385,6.8636172801676105,,
Chennu,2,moderate,alpha,02-2010-anest 20100210 135.014.set,,phase_only,M_tau,0.005417204101619113,0.005427473924812854,,
Chennu,2,recovery,alpha,02-2010-anest- 20100210 16.003.set,,phase_only,Pi,0.781609195402299,0.7816091954022989,,
Chennu,2,recovery,alpha,02-2010-anest- 20100210 16.003.set,,phase_only,R,0.17847131148801051,0.16161668144196786,,
Chennu,2,recovery,alpha,02-2010-anest- 20100210 16.003.set,,phase_only,D_eff,5.863191021961757,6.414095196748699,,
Chennu,2,recovery,alpha,02-2010-anest- 20100210 16.003.set,,phase_only,M_tau,0.005061542484996592,0.0047552681952452176,,
Chennu,3,baseline,alpha,03-2010-anest 20100211 142.003.set,,phase_only,Pi,0.7816091954022988,0.8735632183908046,,
Chennu,3,baseline,alpha,03-2010-anest 20100211 142.003.set,,phase_only,R,0.16073868401412392,0.16252345637374074,,
Chennu,3,baseline,alpha,03-2010-anest 20100211 142.003.set,,phase_only,D_eff,6.485427535066575,7.012822848139644,,
Chennu,3,baseline,alpha,03-2010-anest 20100211 142.003.set,,phase_only,M_tau,0.0037711545657767034,0.004074897242088662,,
Chennu,3,mild,alpha,03-2010-anest 20100211 142.008.set,,phase_only,Pi,0.7471264367816091,0.6321839080459767,,
Chennu,3,mild,alpha,03-2010-anest 20100211 142.008.set,,phase_only,R,0.1707190574192188,0.13883412688438165,,
Chennu,3,mild,alpha,03-2010-anest 20100211 142.008.set,,phase_only,D_eff,7.323000433153488,8.533672611969095,,
Chennu,3,mild,alpha,03-2010-anest 20100211 142.008.set,,phase_only,M_tau,0.003249954302435817,0.0030742013995214514,,
Chennu,3,moderate,alpha,03-2010-anest 20100211 142.021.set,,phase_only,Pi,0.14942528735632182,0.2528735632183908,,
Chennu,3,moderate,alpha,03-2010-anest 20100211 142.021.set,,phase_only,R,0.07959324956029858,0.0903612382496561,,
Chennu,3,moderate,alpha,03-2010-anest 20100211 142.021.set,,phase_only,D_eff,11.133310570688945,9.759664450636896,,
Chennu,3,moderate,alpha,03-2010-anest 20100211 142.021.set,,phase_only,M_tau,0.0019867015838045,0.0024634736470383308,,
Chennu,3,recovery,alpha,03-2010-anest 20100211 142.026.set,,phase_only,Pi,0.6091954022988505,0.8275862068965516,,
Chennu,3,recovery,alpha,03-2010-anest 20100211 142.026.set,,phase_only,R,0.1601698794512471,0.16229645454712413,,
Chennu,3,recovery,alpha,03-2010-anest 20100211 142.026.set,,phase_only,D_eff,8.4329320932366,7.579024038151359,,
Chennu,3,recovery,alpha,03-2010-anest 20100211 142.026.set,,phase_only,M_tau,0.002846655517950069,0.0035924604438529657,,
Chennu,5,baseline,alpha,05-2010-anest 20100223 095.004.set,,phase_only,Pi,0.7931034482758621,0.8620689655172413,,
Chennu,5,baseline,alpha,05-2010-anest 20100223 095.004.set,,phase_only,R,0.16971460708217234,0.17105697446468834,,
Chennu,5,baseline,alpha,05-2010-anest 20100223 095.004.set,,phase_only,D_eff,5.962095821761686,5.902427314512995,,
Chennu,5,baseline,alpha,05-2010-anest 20100223 095.004.set,,phase_only,M_tau,0.004230183806703251,0.0037769513496671587,,
Chennu,5,mild,alpha,05-2010-anest 20100223 095.009.set,,phase_only,Pi,0.7816091954022989,0.8160919540229884,,
Chennu,5,mild,alpha,05-2010-anest 20100223 095.009.set,,phase_only,R,0.1525164470587865,0.16087195485333913,,
Chennu,5,mild,alpha,05-2010-anest 20100223 095.009.set,,phase_only,D_eff,6.279637717301795,5.588198628997099,,
Chennu,5,mild,alpha,05-2010-anest 20100223 095.009.set,,phase_only,M_tau,0.0037115709202690723,0.004128926540474224,,
Chennu,5,moderate,alpha,05-2010-anest 20100223 095.022.set,,phase_only,Pi,0.21839080459770113,0.24137931034482757,,
Chennu,5,moderate,alpha,05-2010-anest 20100223 095.022.set,,phase_only,R,0.10136760446938457,0.1028107521304486,,
Chennu,5,moderate,alpha,05-2010-anest 20100223 095.022.set,,phase_only,D_eff,9.146011407939932,8.767292118169884,,
Chennu,5,moderate,alpha,05-2010-anest 20100223 095.022.set,,phase_only,M_tau,0.002467751274697983,0.0025455875961476276,,
Chennu,5,recovery,alpha,05-2010-anest 20100223 095.027.set,,phase_only,Pi,0.8735632183908046,0.6666666666666665,,
Chennu,5,recovery,alpha,05-2010-anest 20100223 095.027.set,,phase_only,R,0.16551566475365312,0.1552802826402454,,
Chennu,5,recovery,alpha,05-2010-anest 20100223 095.027.set,,phase_only,D_eff,5.759469184055342,4.90896351650384,,
Chennu,5,recovery,alpha,05-2010-anest 20100223 095.027.set,,phase_only,M_tau,0.0038249209527999933,0.002703001456672068,,
Chennu,6,baseline,alpha,06-2010-anest 20100224 093.003.set,,phase_only,Pi,0.7816091954022989,0.8735632183908045,,
Chennu,6,baseline,alpha,06-2010-anest 20100224 093.003.set,,phase_only,R,0.14859447168370324,0.1422122726661705,,
Chennu,6,baseline,alpha,06-2010-anest 20100224 093.003.set,,phase_only,D_eff,5.556383821900735,5.967025187245906,,
Chennu,6,baseline,alpha,06-2010-anest 20100224 093.003.set,,phase_only,M_tau,0.0031576196398763866,0.0029222261232521108,,
Chennu,6,mild,alpha,06-2010-anest 20100224 093.008.set,,phase_only,Pi,0.8160919540229886,0.6896551724137929,,
Chennu,6,mild,alpha,06-2010-anest 20100224 093.008.set,,phase_only,R,0.1420686448732461,0.1283461146251577,,
Chennu,6,mild,alpha,06-2010-anest 20100224 093.008.set,,phase_only,D_eff,6.174684957874017,7.393075719047646,,
Chennu,6,mild,alpha,06-2010-anest 20100224 093.008.set,,phase_only,M_tau,0.003075831874170838,0.003372498301359968,,
