band,direction,model,n_train,n_test,auc,balanced_accuracy,n,log_loss
alpha,Chennu_to_DS005620,spectral_all,40,61,0.875,0.875,61,0.7301533940936134
alpha,Chennu_to_DS005620,gcc_triad_plus_pi,40,61,0.65,0.7625,61,0.6724311079544003
alpha,Chennu_to_DS005620,spectral_all_plus_gcc,40,61,0.875,0.925,61,0.572958586145662
alpha,Chennu_to_DS005620,residual_gcc_after_spectral_all,40,61,0.7,0.825,61,0.7820058739136213
alpha,Chennu_to_DS005620,residual_pi_after_spectral_all,40,61,0.425,0.7,61,0.8179149985233274
alpha,DS005620_to_Chennu,spectral_all,61,40,0.9,0.85,40,0.34907425125803954
alpha,DS005620_to_Chennu,gcc_triad_plus_pi,61,40,0.6,0.75,40,0.5880749506010206
alpha,DS005620_to_Chennu,spectral_all_plus_gcc,61,40,0.9,0.85,40,0.3891970417615052
alpha,DS005620_to_Chennu,residual_gcc_after_spectral_all,61,40,0.5,0.75,40,0.6826315977937824
alpha,DS005620_to_Chennu,residual_pi_after_spectral_all,61,40,0.6,0.775,40,0.6866354621066961
gamma,Chennu_to_DS005620,spectral_all,40,61,0.875,0.875,61,0.7301533940936134
gamma,Chennu_to_DS005620,gcc_triad_plus_pi,40,61,0.975,0.9375,61,0.29876563565155384
gamma,Chennu_to_DS005620,spectral_all_plus_gcc,40,61,0.95,0.925,61,0.3025360863516993
gamma,Chennu_to_DS005620,residual_gcc_after_spectral_all,40,61,0.525,0.75,61,1.7894649076980773
gamma,Chennu_to_DS005620,residual_pi_after_spectral_all,40,61,0.65,0.825,61,1.1286496453866481
gamma,DS005620_to_Chennu,spectral_all,61,40,0.9,0.85,40,0.34907425125803954
gamma,DS005620_to_Chennu,gcc_triad_plus_pi,61,40,0.65,0.725,40,0.7235014017756207
gamma,DS005620_to_Chennu,spectral_all_plus_gcc,61,40,0.95,0.8,40,0.3827538753197245
gamma,DS005620_to_Chennu,residual_gcc_after_spectral_all,61,40,0.45,0.725,40,0.8604452106299826
gamma,DS005620_to_Chennu,residual_pi_after_spectral_all,61,40,0.45,0.725,40,0.699816877486463
