dataset,band,scope,model,auc,balanced_accuracy,n,log_loss
Chennu,alpha,within_dataset_LOSO,gcc_pi,0.7625,0.825,40,0.47656059167750053
Chennu,alpha,within_dataset_LOSO,gcc_triad_plus_pi,0.75,0.8,40,0.5157149238007508
Chennu,alpha,within_dataset_LOSO,residual_gcc_after_spectral_all,0.655,0.8,40,0.779503136164833
Chennu,alpha,within_dataset_LOSO,residual_pi_after_spectral_all,0.5075000000000001,0.75,40,0.6799247361191394
Chennu,alpha,within_dataset_LOSO,spectral_all,0.9525,0.875,40,0.2839444649755626
Chennu,alpha,within_dataset_LOSO,spectral_all_plus_gcc,1.0,0.85,40,0.2632013317075956
Chennu,alpha,within_dataset_LOSO,spectral_bandpower,0.91,0.9,40,0.28941348577080517
DS005620,alpha,within_dataset_LOSO,gcc_pi,0.6571428571428571,0.775,61,0.6234765742824745
DS005620,alpha,within_dataset_LOSO,gcc_triad_plus_pi,0.6476190476190476,0.7375,61,0.6993231450454845
DS005620,alpha,within_dataset_LOSO,residual_gcc_after_spectral_all,0.4714285714285714,0.725,61,0.7300259518002092
DS005620,alpha,within_dataset_LOSO,residual_pi_after_spectral_all,0.4,0.6875,61,0.7111972903691283
DS005620,alpha,within_dataset_LOSO,spectral_all,0.9535714285714285,0.9375,61,0.2477292603077612
DS005620,alpha,within_dataset_LOSO,spectral_all_plus_gcc,0.9261904761904762,0.9375,61,0.29814225386518356
DS005620,alpha,within_dataset_LOSO,spectral_bandpower,0.9511904761904761,0.9625,61,0.22882620092064113
FarnesKetamine,alpha,within_dataset_LOSO,gcc_pi,0.7,0.85,20,0.5812757851398526
FarnesKetamine,alpha,within_dataset_LOSO,gcc_triad_plus_pi,0.9,0.85,20,0.7343152637460462
FarnesKetamine,alpha,within_dataset_LOSO,residual_gcc_after_spectral_all,0.7,0.85,20,0.633360517512908
FarnesKetamine,alpha,within_dataset_LOSO,residual_pi_after_spectral_all,0.5,0.75,20,0.6712822755094837
FarnesKetamine,alpha,within_dataset_LOSO,spectral_all,1.0,0.9,20,0.2851295968759765
FarnesKetamine,alpha,within_dataset_LOSO,spectral_all_plus_gcc,0.9,0.8,20,0.6055537319961632
FarnesKetamine,alpha,within_dataset_LOSO,spectral_bandpower,0.65,0.75,20,0.6398889279824357
Chennu,gamma,within_dataset_LOSO,gcc_pi,0.7249999999999999,0.825,40,0.5329188126435546
Chennu,gamma,within_dataset_LOSO,gcc_triad_plus_pi,0.8,0.875,40,0.5101738068464055
Chennu,gamma,within_dataset_LOSO,residual_gcc_after_spectral_all,0.75,0.825,40,0.6155098711414544
Chennu,gamma,within_dataset_LOSO,residual_pi_after_spectral_all,0.65,0.8,40,0.68545853606436
Chennu,gamma,within_dataset_LOSO,spectral_all,0.9525,0.875,40,0.2839444649755626
Chennu,gamma,within_dataset_LOSO,spectral_all_plus_gcc,1.0,0.95,40,0.20045508724503983
Chennu,gamma,within_dataset_LOSO,spectral_bandpower,0.91,0.9,40,0.28941348577080517
DS005620,gamma,within_dataset_LOSO,gcc_pi,1.0,0.9625,61,0.2208223736194564
DS005620,gamma,within_dataset_LOSO,gcc_triad_plus_pi,1.0,0.9125,61,0.2394725912686124
DS005620,gamma,within_dataset_LOSO,residual_gcc_after_spectral_all,0.5845238095238096,0.775,61,0.693541831494535
DS005620,gamma,within_dataset_LOSO,residual_pi_after_spectral_all,0.5035714285714286,0.75,61,0.680070497751648
DS005620,gamma,within_dataset_LOSO,spectral_all,0.9535714285714285,0.9375,61,0.2477292603077612
DS005620,gamma,within_dataset_LOSO,spectral_all_plus_gcc,1.0,0.95,61,0.1738253189013018
DS005620,gamma,within_dataset_LOSO,spectral_bandpower,0.9511904761904761,0.9625,61,0.22882620092064113
FarnesKetamine,gamma,within_dataset_LOSO,gcc_pi,0.8,0.75,20,0.6029566259193665
FarnesKetamine,gamma,within_dataset_LOSO,gcc_triad_plus_pi,0.8,0.8,20,0.5872731951859487
FarnesKetamine,gamma,within_dataset_LOSO,residual_gcc_after_spectral_all,0.52,0.75,20,0.6471717683879009
FarnesKetamine,gamma,within_dataset_LOSO,residual_pi_after_spectral_all,0.52,0.75,20,0.6726201695888802
FarnesKetamine,gamma,within_dataset_LOSO,spectral_all,1.0,0.9,20,0.2851295968759765
FarnesKetamine,gamma,within_dataset_LOSO,spectral_all_plus_gcc,0.9400000000000001,0.9,20,0.2828995860233514
FarnesKetamine,gamma,within_dataset_LOSO,spectral_bandpower,0.65,0.75,20,0.6398889279824357
