dataset,band,caliper_quantile,n_pairs,n_subjects,spectral_norm_cutoff,mean_abs_spectral_delta,model,auc,balanced_accuracy,n,log_loss
Chennu,alpha,0.25,5,5,1.2828104662502617,0.4858997601126221,pi_sign_rule_no_fit,0.8,0.5,10,3.4806174203823432
Chennu,alpha,0.25,5,5,1.2828104662502617,0.4858997601126221,gcc_triad_plus_pi,0.4,0.7,10,0.7742411117141874
Chennu,alpha,0.25,5,5,1.2828104662502617,0.4858997601126221,residual_gcc_after_spectral_all,1.0,1.0,10,0.153166676906133
Chennu,alpha,0.25,5,5,1.2828104662502617,0.4858997601126221,spectral_all,1.0,1.0,10,0.18680166507946044
Chennu,alpha,0.5,10,10,2.178957287956753,1.2751732463672745,pi_sign_rule_no_fit,0.6,0.5,20,4.120596919639405
Chennu,alpha,0.5,10,10,2.178957287956753,1.2751732463672745,gcc_triad_plus_pi,0.43000000000000005,0.7,20,0.7815048962576375
Chennu,alpha,0.5,10,10,2.178957287956753,1.2751732463672745,residual_gcc_after_spectral_all,0.6,0.8,20,0.8981627506420482
Chennu,alpha,0.5,10,10,2.178957287956753,1.2751732463672745,spectral_all,1.0,0.9,20,0.2421474253670502
Chennu,alpha,0.75,15,15,3.255401551175452,2.2415152904864857,pi_sign_rule_no_fit,0.7333333333333333,0.5,30,3.119820073834538
Chennu,alpha,0.75,15,15,3.255401551175452,2.2415152904864857,gcc_triad_plus_pi,0.5555555555555556,0.7333333333333334,30,0.6530193083920584
Chennu,alpha,0.75,15,15,3.255401551175452,2.2415152904864857,residual_gcc_after_spectral_all,0.7333333333333333,0.8,30,0.8250081890294173
Chennu,alpha,0.75,15,15,3.255401551175452,2.2415152904864857,spectral_all,0.9333333333333333,0.9,30,0.29906619482159097
DS005620,alpha,0.25,10,7,1.512829605588373,2.8108884747963576,pi_sign_rule_no_fit,0.9,0.5,20,1.7862488627254767
DS005620,alpha,0.25,10,7,1.512829605588373,2.8108884747963576,gcc_triad_plus_pi,0.81,0.85,20,0.4889167530622303
DS005620,alpha,0.25,10,7,1.512829605588373,2.8108884747963576,residual_gcc_after_spectral_all,0.8,0.9,20,1.8467387497042984
DS005620,alpha,0.25,10,7,1.512829605588373,2.8108884747963576,spectral_all,1.0,1.0,20,0.05072157283931532
DS005620,alpha,0.5,20,12,2.0734902093121876,2.9601506237998607,pi_sign_rule_no_fit,0.7,0.55,40,2.799268757152323
DS005620,alpha,0.5,20,12,2.0734902093121876,2.9601506237998607,gcc_triad_plus_pi,0.7675000000000001,0.8,40,0.5086588487249257
DS005620,alpha,0.5,20,12,2.0734902093121876,2.9601506237998607,residual_gcc_after_spectral_all,0.5225,0.75,40,0.7228579790081598
