dataset,subject,condition,band,R_mean,D_mean,M_mean,Pi,Access_all,n_windows,theta_power,alpha_power,beta_power,gamma_power,alpha_gamma_ratio,spectral_entropy,aperiodic_slope
Chennu,10,baseline,alpha,0.2232247471953982,86.52395487484884,0.002989007732201036,0.8275862068965517,0.6206896551724138,58.0,0.21427792628025308,0.15143255994999996,0.09393255983578895,0.01248532153775413,12.128847421346501,0.7572403859829553,-2.456608509078314
Chennu,10,baseline,gamma,0.1698570468410944,86.40183937725074,0.0014588923030880321,0.8275862068965516,0.5689655172413793,58.0,0.21427792628025308,0.15143255994999996,0.09393255983578895,0.01248532153775413,12.128847421346501,0.7572403859829553,-2.456608509078314
Chennu,10,moderate,alpha,0.26441783289610393,86.698806782709,0.0038740994303999845,0.7298850574712643,0.3103448275862069,58.0,0.13513431902064252,0.26776873915643523,0.11817108837300097,0.008820329961718052,30.35813175790991,0.7638087392652745,-2.3978307724913317
Chennu,10,moderate,gamma,0.1717764351169448,86.42336668436832,0.0018612056217974084,0.7528735632183909,0.41379310344827586,58.0,0.13513431902064252,0.26776873915643523,0.11817108837300097,0.008820329961718052,30.35813175790991,0.7638087392652745,-2.3978307724913317
Chennu,13,baseline,alpha,0.30802617372199603,86.78990391686628,0.005402172566851539,0.8275862068965517,0.5862068965517241,58.0,0.15269747910117745,0.4975324057701042,0.11418692138634935,0.009648651645374307,51.56496721042498,0.7752925006325238,-2.3205555699007006
Chennu,13,baseline,gamma,0.1718162983864276,86.42759172729637,0.001974000033363014,0.8275862068965516,0.5862068965517241,58.0,0.15269747910117745,0.4975324057701042,0.11418692138634935,0.009648651645374307,51.56496721042498,0.7752925006325238,-2.3205555699007006
Chennu,13,moderate,alpha,0.3019935803488025,86.78683532790625,0.00539595258980192,0.8448275862068966,0.6551724137931034,58.0,0.1600621283075167,0.48501699772665946,0.1582348254003857,0.0074296879274612605,65.28093809548604,0.7920460244960972,-2.4125176939564255
Chennu,13,moderate,gamma,0.16590320154641655,86.38940033187657,0.0014229082139282988,0.764367816091954,0.4827586206896552,58.0,0.1600621283075167,0.48501699772665946,0.1582348254003857,0.0074296879274612605,65.28093809548604,0.7920460244960972,-2.4125176939564255
Chennu,14,baseline,alpha,0.2486315054369803,86.61224432235637,0.0035626074048041153,0.8275862068965518,0.6206896551724138,58.0,0.0768734379273841,0.3777210953887122,0.34188528829920434,0.012818392993545483,29.467117722903414,0.856872051370792,-2.0329873911281484
Chennu,14,baseline,gamma,0.15934373938820162,86.36129640902503,0.001360232128414276,0.8275862068965517,0.603448275862069,58.0,0.0768734379273841,0.3777210953887122,0.34188528829920434,0.012818392993545483,29.467117722903414,0.856872051370792,-2.0329873911281484
Chennu,14,moderate,alpha,0.2251308437529703,86.5552650492392,0.0027690673754877716,0.8448275862068966,0.6206896551724138,58.0,0.08879217875529055,0.32759692140867114,0.4151185212225635,0.0086061852906302,38.06528796530444,0.8640455599412902,-2.2900965183528488
Chennu,14,moderate,gamma,0.17106146935062191,86.43992223883956,0.0017395293802810962,0.7586206896551724,0.39655172413793105,58.0,0.08879217875529055,0.32759692140867114,0.4151185212225635,0.0086061852906302,38.06528796530444,0.8640455599412902,-2.2900965183528488
Chennu,18,baseline,alpha,0.39815411619013635,87.03447137570754,0.0050638483591881975,0.8275862068965517,0.6206896551724138,58.0,0.105035402731432,0.5484287907558124,0.16521121908352565,0.012218923833285022,44.88355915739311,0.7838365397670601,-2.1370594239871563
Chennu,18,baseline,gamma,0.16309139150316523,86.41594638664748,0.001670999912408143,0.8275862068965517,0.6206896551724138,58.0,0.105035402731432,0.5484287907558124,0.16521121908352565,0.012218923833285022,44.88355915739311,0.7838365397670601,-2.1370594239871563
Chennu,18,moderate,alpha,0.3680915624512988,86.9497475042594,0.00535410973249907,0.747126436781609,0.5,58.0,0.0626807378324449,0.44264293258923537,0.3475716170387138,0.011529759356828814,38.39134181830748,0.8523802583033636,-2.031979723980722
