t,R,D_eff,M_tau,R_ok,D_ok,M_ok,Pi_window,Access_all,dataset,subject,condition,filename,band,run,eyes
1.5,0.28638873782719476,86.6776130800501,0.004521867405197528,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
3.004,0.30817141735732984,86.87600008938615,0.00411108706369084,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
4.508,0.40078280634369795,87.09084779267313,0.003177152906486126,True,False,True,0.6666666666666666,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
6.012,0.3120994603613407,86.90146246123744,0.0026059592184018245,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
7.516,0.30768282050439655,86.80657258112107,0.0027684167863651498,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
9.02,0.26786146132641536,86.84935762063921,0.003063560834583703,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
10.524,0.23384124657239003,86.37103166319284,0.0038276764224742504,True,False,True,0.6666666666666666,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
12.028,0.24886834174205505,86.67370417609277,0.0036764276420987803,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
13.532,0.23785298897745805,86.5230251972252,0.00407321449490076,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
15.036,0.20971349058700534,86.46723560165326,0.003839043716841383,False,False,True,0.3333333333333333,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
16.54,0.23064121581100228,86.59954006610718,0.0029966914079316118,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
18.044,0.19724014507495913,86.51370083108644,0.00269326560232992,False,True,True,0.6666666666666666,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
19.548,0.2339805029063222,86.53107122072969,0.0029991523226464067,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
21.052,0.28173936894638163,86.58454685789161,0.0028617796203768177,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
22.556,0.2930373564038186,86.71712221916387,0.0018367290990699528,True,True,False,0.6666666666666666,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
24.06,0.22981851762989777,86.64694415867851,0.004018899462815762,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
25.564,0.2925050053112063,86.89230404522213,0.005893564250007811,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
27.068,0.25922967415841697,86.9093289026669,0.005886902431379332,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
28.572,0.25600587930011814,86.79357270353634,0.0040043814877843255,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
30.076,0.30241078773665514,86.75482694959756,0.002295436055805778,True,True,False,0.6666666666666666,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
31.58,0.23030432326663866,86.48512237632171,0.0042560474556160785,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
33.084,0.2614450516621352,86.49911842355917,0.007720320109965034,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
34.588,0.28273799666745736,86.68158527960938,0.0070782878673563915,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
36.092,0.2273628627291591,86.59239765306177,0.004586011113853582,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
37.596,0.33320122758461745,86.96238299397781,0.004252701544211471,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
39.1,0.37641659878865025,87.07816147497924,0.0048630315128625964,True,False,True,0.6666666666666666,0,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
40.604,0.27854099479555333,86.72935543514433,0.0045548883644358626,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
42.108,0.2635889432437198,86.63185707121539,0.0038014553121278696,True,True,True,1.0,1,Chennu,2,baseline,02-2010-anest 20100210 135.003.set,alpha,,
