band,contrast,model,n,auc,auc_ci_low,auc_ci_high,balanced_accuracy_median_cut,spearman_rho,spearman_p
alpha,MCSplus_vs_VS,CV_GCC_access_Pi,38,0.7541666666666667,0.5791666666666666,0.9,0.6583333333333333,,
alpha,MCSplus_vs_VS,R_only,38,0.475,0.19999999999999998,0.7541666666666668,0.5708333333333333,,
alpha,MCSplus_vs_VS,D_only,38,0.3666666666666667,0.15,0.6041666666666666,0.48333333333333334,,
alpha,MCSplus_vs_VS,M_only,38,0.6416666666666666,0.4625,0.8083333333333333,0.5958333333333333,,
alpha,MCSplus_vs_VS,GCC_triad,38,0.5458333333333334,0.36666666666666664,0.7125,0.55,,
alpha,MCSplus_vs_VS,GCC_triad_quantiles,38,0.55,0.3666666666666667,0.725,0.4708333333333333,,
alpha,MCSplus_vs_VS,spectral_all,38,0.575,0.3416666666666667,0.7958333333333333,0.5041666666666667,,
alpha,MCSplus_vs_VS,spectral_plus_GCC,38,0.6791666666666667,0.4625,0.8667708333333318,0.5541666666666667,,
alpha,MCSany_vs_VS,CV_GCC_access_Pi,42,0.6861111111111111,0.4777777777777778,0.8722222222222222,0.5583333333333333,,
alpha,MCSany_vs_VS,R_only,42,0.4833333333333334,0.26666666666666666,0.7083333333333334,0.5333333333333333,,
alpha,MCSany_vs_VS,D_only,42,0.2,0.07222222222222222,0.3611111111111111,0.3666666666666667,,
alpha,MCSany_vs_VS,M_only,42,0.5361111111111112,0.3527777777777778,0.7166666666666667,0.5583333333333333,,
alpha,MCSany_vs_VS,GCC_triad,42,0.4138888888888889,0.2388888888888889,0.6,0.5166666666666666,,
alpha,MCSany_vs_VS,GCC_triad_quantiles,42,0.39444444444444443,0.22222222222222224,0.575,0.5166666666666666,,
alpha,MCSany_vs_VS,spectral_all,42,0.6694444444444445,0.4832638888888889,0.8416666666666667,0.5833333333333333,,
alpha,MCSany_vs_VS,spectral_plus_GCC,42,0.6888888888888889,0.5111111111111111,0.85,0.6666666666666666,,
alpha,VS_to_MCSminus_to_MCSplus,severity_spearman_R_mean,42,,,,,0.14743506938666312,0.351461192022223
alpha,VS_to_MCSminus_to_MCSplus,severity_spearman_D_eff_mean,42,,,,,-0.021880100449893136,0.8906068994047086
alpha,VS_to_MCSminus_to_MCSplus,severity_spearman_log_M_mean,42,,,,,-0.16542991835479953,0.29510463228449374
alpha,VS_to_MCSminus_to_MCSplus,severity_spearman_R_q75,42,,,,,0.12412356049612273,0.4335259448880659
alpha,VS_to_MCSminus_to_MCSplus,severity_spearman_D_eff_q25,42,,,,,-0.004089738401849184,0.979492839754605
gamma,MCSplus_vs_VS,CV_GCC_access_Pi,38,0.6416666666666666,0.4041666666666667,0.8541666666666667,0.6583333333333333,,
gamma,MCSplus_vs_VS,R_only,38,0.5333333333333334,0.2791666666666667,0.7999999999999999,0.55,,
gamma,MCSplus_vs_VS,D_only,38,0.6375000000000001,0.39583333333333337,0.8541666666666666,0.7083333333333333,,
gamma,MCSplus_vs_VS,M_only,38,0.7458333333333333,0.5291666666666667,0.9208333333333333,0.7083333333333333,,
gamma,MCSplus_vs_VS,GCC_triad,38,0.5333333333333334,0.2833333333333333,0.7666666666666667,0.5666666666666667,,
gamma,MCSplus_vs_VS,GCC_triad_quantiles,38,0.5708333333333334,0.31666666666666665,0.8125,0.6333333333333333,,
gamma,MCSplus_vs_VS,spectral_all,38,0.575,0.3416666666666667,0.7958333333333333,0.5041666666666667,,
gamma,MCSplus_vs_VS,spectral_plus_GCC,38,0.5875,0.37916666666666665,0.7791666666666667,0.5375,,
gamma,MCSany_vs_VS,CV_GCC_access_Pi,42,0.6027777777777777,0.4083333333333333,0.7805555555555556,0.5,,
gamma,MCSany_vs_VS,R_only,42,0.3611111111111111,0.17777777777777776,0.5611111111111111,0.4,,
gamma,MCSany_vs_VS,D_only,42,0.6472222222222223,0.44166666666666665,0.8444444444444444,0.7083333333333333,,
gamma,MCSany_vs_VS,M_only,42,0.6527777777777778,0.4666666666666667,0.8222222222222223,0.6583333333333333,,
gamma,MCSany_vs_VS,GCC_triad,42,0.5527777777777778,0.3555555555555555,0.7472222222222222,0.55,,
gamma,MCSany_vs_VS,GCC_triad_quantiles,42,0.5388888888888889,0.3333333333333333,0.7361805555555546,0.4916666666666667,,
gamma,MCSany_vs_VS,spectral_all,42,0.6694444444444445,0.4832638888888889,0.8416666666666667,0.5833333333333333,,
gamma,MCSany_vs_VS,spectral_plus_GCC,42,0.6916666666666667,0.513888888888889,0.85,0.6583333333333333,,
gamma,VS_to_MCSminus_to_MCSplus,severity_spearman_R_mean,42,,,,,0.018199335888228873,0.9089245776788916
gamma,VS_to_MCSminus_to_MCSplus,severity_spearman_D_eff_mean,42,,,,,-0.26705991764075176,0.08731718459803192
gamma,VS_to_MCSminus_to_MCSplus,severity_spearman_log_M_mean,42,,,,,-0.3189995953442364,0.0394842091812594
gamma,VS_to_MCSminus_to_MCSplus,severity_spearman_R_q75,42,,,,,-0.07913643807578172,0.6183658133908221
gamma,VS_to_MCSminus_to_MCSplus,severity_spearman_D_eff_q25,42,,,,,-0.18076643736173398,0.2519547812979682
