alpha,band,contrast,score,n,auc,auc_ci_low,auc_ci_high,pos_mean,neg_mean,mean_delta,cohens_d_pooled,mannwhitney_p_greater
0.05,alpha,MCSplus_vs_VS,raw_cv_pi,38,0.7666666666666666,0.6,0.9083333333333333,0.7376653924786276,0.47842754476044363,0.259237847718184,0.9703833922624333,0.011489334098623976
0.05,alpha,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.7333333333333334,0.55,0.8875000000000001,0.18299640319863603,-0.06816157799350564,0.25115798119214167,0.8522744210954003,0.022689892983511276
0.05,alpha,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.725,0.5375,0.8833333333333333,0.16689673973108912,-0.06838143020707887,0.235278169938168,0.814855861999049,0.02711726598174216
0.05,alpha,MCSany_vs_VS,raw_cv_pi,42,0.6916666666666667,0.49722222222222223,0.8583333333333333,0.7302613610149246,0.6112860886430542,0.11897527237187033,0.5577481856469221,0.028242493913803256
0.05,alpha,MCSany_vs_VS,spectral_residual_cv_pi,42,0.5805555555555555,0.38333333333333336,0.7638888888888888,0.05047343461774866,-0.05797050431128073,0.1084439389290294,0.36501735454440254,0.2137322871610855
0.05,alpha,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.5527777777777778,0.3611111111111111,0.736111111111111,0.03836004533438534,-0.055420887133232975,0.09378093246761832,0.31243992692911166,0.303247653032512
0.05,gamma,MCSplus_vs_VS,raw_cv_pi,38,0.6375,0.41250000000000003,0.8458333333333333,0.7238174427911752,0.6420244781766373,0.08179296461453789,0.38881647909411843,0.12226260088277041
0.05,gamma,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.75,0.525,0.9416666666666667,0.13490190605586064,-0.044197635848849046,0.17909954190470967,0.7719396533886066,0.015577599243833139
0.05,gamma,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.7541666666666667,0.5249999999999999,0.9541666666666666,0.11191488649537565,-0.039626166815389684,0.15154105331076534,0.7050324384466881,0.015141614192323188
0.05,gamma,MCSany_vs_VS,raw_cv_pi,42,0.6166666666666667,0.4111111111111111,0.8,0.751147787826706,0.6778033737844122,0.07334441404229375,0.3776723177633437,0.12394238279697911
0.05,gamma,MCSany_vs_VS,spectral_residual_cv_pi,42,0.7722222222222223,0.5915972222222222,0.922291666666667,0.11875381896075217,-0.05027070781865996,0.16902452677941213,0.7764471365316945,0.003317548003355861
0.05,gamma,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.6805555555555556,0.5,0.8472222222222222,0.09327552992451378,-0.04325199901235522,0.136527528936869,0.6366770940953413,0.036255110806177396
0.1,alpha,MCSplus_vs_VS,raw_cv_pi,38,0.7541666666666667,0.5791666666666666,0.9041666666666667,0.5388362891398291,0.3418195915737556,0.19701669756607348,0.8922837908489715,0.015141614192323188
0.1,alpha,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.7166666666666667,0.525,0.8833333333333333,0.14891643187354744,-0.05138596612615062,0.20030239799969807,0.8573135133096402,0.03258452475156772
0.1,alpha,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.7208333333333333,0.5332291666666666,0.8834375000000004,0.14186633681262092,-0.05384169463535966,0.1957080314479806,0.8190604338850082,0.029575045479369858
0.1,alpha,MCSany_vs_VS,raw_cv_pi,42,0.6861111111111111,0.4722222222222222,0.8694444444444445,0.5399592958367431,0.41568092915795474,0.12427836667878833,0.5821575188703023,0.03204249488308442
0.1,alpha,MCSany_vs_VS,spectral_residual_cv_pi,42,0.6,0.3916666666666667,0.8083333333333333,0.04413951078469123,-0.05796838389327834,0.10210789467796957,0.34779749657245335,0.16147796972243916
0.1,alpha,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.5916666666666667,0.38333333333333336,0.7916666666666666,0.03619686964902463,-0.05700737075350743,0.09320424040253206,0.3138839503319503,0.18276585263338746
0.1,gamma,MCSplus_vs_VS,raw_cv_pi,38,0.6416666666666666,0.4041666666666667,0.8583333333333334,0.5445879545990335,0.47228798802594724,0.0722999665730863,0.4002124799437556,0.11515551460877604
0.1,gamma,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.7250000000000001,0.5166666666666667,0.9041666666666667,0.10605167455980598,-0.03780959332135696,0.14386126788116294,0.7425193579573091,0.02770087566695358
0.1,gamma,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.7166666666666667,0.49166666666666664,0.9125000000000001,0.08806487931050284,-0.034367791646673175,0.12243267095717603,0.6738245435075318,0.03220688207705086
0.1,gamma,MCSany_vs_VS,raw_cv_pi,42,0.6027777777777777,0.41111111111111115,0.7805555555555556,0.5591852951586066,0.4931740545186568,0.06601124063994979,0.3978504850889525,0.15474679459385537
0.1,gamma,MCSany_vs_VS,spectral_residual_cv_pi,42,0.7444444444444445,0.5583333333333333,0.9027777777777778,0.10070283666879187,-0.04538043910554283,0.14608327577433472,0.7780769228961854,0.007419182909239383
0.1,gamma,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.6833333333333333,0.49722222222222223,0.8555555555555555,0.07926852548028214,-0.03934073440188266,0.11860925988216481,0.6412633181764348,0.03410092779201615
0.15,alpha,MCSplus_vs_VS,raw_cv_pi,38,0.7458333333333333,0.5666666666666667,0.9041666666666667,0.38179049620133143,0.22755793473654723,0.1542325614647842,0.8783766636507384,0.018096583638671834
0.15,alpha,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.7166666666666667,0.525,0.8791666666666665,0.1208103524142664,-0.03695646296081224,0.15776681537507864,0.831916440859374,0.03258452475156772
0.15,alpha,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.7041666666666666,0.5125,0.8708333333333333,0.1201071381903639,-0.04086819084695613,0.16097532903732004,0.812409384881557,0.041219449114185965
0.15,alpha,MCSany_vs_VS,raw_cv_pi,42,0.7055555555555555,0.49444444444444446,0.8805555555555555,0.3915495896261243,0.2634010648094602,0.1281485248166641,0.7103004895861634,0.020353987671521794
0.15,alpha,MCSany_vs_VS,spectral_residual_cv_pi,42,0.6083333333333333,0.39437500000000003,0.8194444444444444,0.05937230772920174,-0.04906474579020825,0.10843705351940999,0.4946419378767785,0.14187604275268967
0.15,alpha,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.5916666666666667,0.36659722222222224,0.8055555555555556,0.052610484196334545,-0.04854823894970236,0.10115872314603691,0.4552630853889971,0.18276585263338746
0.15,gamma,MCSplus_vs_VS,raw_cv_pi,38,0.6125,0.375,0.8251041666666671,0.39313144445887527,0.33976425329666277,0.0533671911622125,0.37373277311287717,0.1713346882958997
0.15,gamma,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.7,0.4875,0.8791666666666667,0.08066159917742356,-0.029247589846918266,0.10990918902434182,0.728789186614347,0.044484087108172164
0.15,gamma,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.7000000000000001,0.48322916666666665,0.8876041666666671,0.06735188259342713,-0.026884880837134494,0.09423676343056162,0.6646449581213367,0.04462309153710333
0.15,gamma,MCSany_vs_VS,raw_cv_pi,42,0.5916666666666667,0.4083333333333333,0.7666666666666666,0.4019183337389159,0.3516649682628595,0.05025336547605641,0.38324494080206994,0.18275613998672713
0.15,gamma,MCSany_vs_VS,spectral_residual_cv_pi,42,0.7,0.5222222222222223,0.8555555555555555,0.07497098453941337,-0.03434897309661069,0.10931995763602406,0.7346715600870516,0.023255585470164666
0.15,gamma,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.6638888888888889,0.48333333333333334,0.8361111111111111,0.06043258969472313,-0.03067847907250303,0.09111106876722616,0.6115364215004643,0.05167337522533096
0.2,alpha,MCSplus_vs_VS,raw_cv_pi,38,0.7291666666666667,0.5416666666666666,0.8958333333333334,0.263029604468202,0.14778537872272585,0.11524422574547616,0.8567372550771878,0.025497621394129078
0.2,alpha,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.6875,0.48750000000000004,0.8624999999999999,0.09328495116327384,-0.02986134093194397,0.12314629209521781,0.8023119888692772,0.05613658427500434
0.2,alpha,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.6791666666666667,0.48333333333333334,0.8541666666666666,0.09349118338628658,-0.03305480529504472,0.1265459886813313,0.7883371443261034,0.06497327430114808
0.2,alpha,MCSany_vs_VS,raw_cv_pi,42,0.6916666666666667,0.48888888888888893,0.8694444444444445,0.270958777889884,0.16886542190910134,0.10209335598078265,0.7424872233122742,0.028242493913803256
0.2,alpha,MCSany_vs_VS,spectral_residual_cv_pi,42,0.6,0.3833333333333333,0.8166666666666668,0.05365807889599896,-0.03754996806813382,0.09120804696413279,0.571388693398941,0.1614681671146453
0.2,alpha,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.5972222222222222,0.375,0.8138888888888888,0.04955873490703042,-0.03771213436428182,0.08727086927131225,0.5376178336643609,0.16838686787052404
0.2,gamma,MCSplus_vs_VS,raw_cv_pi,38,0.6125,0.375,0.8291666666666667,0.26792946211924396,0.22866614840130242,0.039263313717941534,0.3834057549904571,0.1713346882958997
0.2,gamma,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.6958333333333333,0.475,0.8833333333333333,0.055582851841292844,-0.022088631182356527,0.07767148302364937,0.7015992026821265,0.04823823214914797
0.2,gamma,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.6708333333333333,0.4415625,0.8709375000000005,0.04703759385568489,-0.02089180334927972,0.0679293972049646,0.6388203487072172,0.07480363569947111
0.2,gamma,MCSany_vs_VS,raw_cv_pi,42,0.6083333333333333,0.4055555555555556,0.7972222222222222,0.2800748386952703,0.24305144906051995,0.037023389634750326,0.3773490941449393,0.14186628829871667
0.2,gamma,MCSany_vs_VS,spectral_residual_cv_pi,42,0.6916666666666667,0.5111111111111111,0.861111111111111,0.05498933044064211,-0.02590020951400897,0.08088953995465108,0.713362533313787,0.028247495039589433
0.2,gamma,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.65,0.45,0.8333333333333334,0.045006161862059836,-0.02340937694142221,0.06841553880348204,0.6008949492982341,0.06816956547450953
0.25,alpha,MCSplus_vs_VS,raw_cv_pi,38,0.7083333333333334,0.5166666666666667,0.8791666666666667,0.16811177348359485,0.09250461225215446,0.07560716123144039,0.7983814539370736,0.03815734925746538
0.25,alpha,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.6416666666666666,0.43333333333333335,0.8333333333333333,0.061529559959040414,-0.020297246714075658,0.08182680667311606,0.7322743872805176,0.1177129641376121
0.25,alpha,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.6375,0.4291666666666667,0.8291666666666666,0.06294825183768778,-0.023131578217090353,0.08607983005477812,0.734922369722384,0.12498318116015111
0.25,alpha,MCSany_vs_VS,raw_cv_pi,42,0.7083333333333334,0.5138888888888888,0.8777777777777778,0.1742501767779765,0.09731416261033887,0.07693601416763762,0.8173023284621198,0.019024078406631523
0.25,alpha,MCSany_vs_VS,spectral_residual_cv_pi,42,0.5972222222222222,0.3777083333333333,0.8111805555555558,0.03924609957532945,-0.023855521060869928,0.06310162063619938,0.5989681573315772,0.16838686787052404
0.25,alpha,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.5805555555555555,0.3554861111111111,0.7972222222222222,0.035767846287091974,-0.02359082821606245,0.05935867450315442,0.5553415738354329,0.21374164926730893
