alpha,band,contrast,score,n,auc,auc_ci_low,auc_ci_high,pos_mean,neg_mean,mean_delta,cohens_d_pooled,mannwhitney_p_greater,q_all_tests_bh,q_within_score_bh
0.05,alpha,MCSplus_vs_VS,raw_cv_pi,38,0.7666666666666666,0.6,0.9083333333333332,0.7376653924786276,0.4784275447604436,0.259237847718184,0.9703833922624332,0.0114893340986239,0.08366564032194762,0.070606234784508
0.05,alpha,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.7333333333333334,0.55,0.8875000000000001,0.182996403198636,-0.0681615779935056,0.2511579811921416,0.8522744210954003,0.0226898929835112,0.08366564032194762,0.06414684927426309
0.05,alpha,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.725,0.5375,0.8833333333333333,0.1668967397310891,-0.0683814302070788,0.235278169938168,0.814855861999049,0.0271172659817421,0.08366564032194762,0.092092940654117
0.05,alpha,MCSany_vs_VS,raw_cv_pi,42,0.6916666666666667,0.4972222222222222,0.8583333333333333,0.7302613610149246,0.6112860886430542,0.1189752723718703,0.5577481856469221,0.0282424939138032,0.08366564032194762,0.070606234784508
0.05,alpha,MCSany_vs_VS,spectral_residual_cv_pi,42,0.5805555555555555,0.3833333333333333,0.7638888888888888,0.0504734346177486,-0.0579705043112807,0.1084439389290294,0.3650173545444025,0.2137322871610855,0.21736438908539887,0.21373228716108547
0.05,alpha,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.5527777777777778,0.3611111111111111,0.736111111111111,0.0383600453343853,-0.0554208871332329,0.0937809324676183,0.3124399269291116,0.303247653032512,0.303247653032512,0.303247653032512
0.05,gamma,MCSplus_vs_VS,raw_cv_pi,38,0.6375,0.4125,0.8458333333333333,0.7238174427911752,0.6420244781766373,0.0817929646145378,0.3888164790941184,0.1222626008827704,0.16664424154686813,0.1652565103959721
0.05,gamma,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.75,0.525,0.9416666666666668,0.1349019060558606,-0.044197635848849,0.1790995419047096,0.7719396533886066,0.0155775992438331,0.08366564032194762,0.06414684927426309
0.05,gamma,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.7541666666666667,0.5249999999999999,0.9541666666666666,0.1119148864953756,-0.0396261668153896,0.1515410533107653,0.7050324384466881,0.0151416141923231,0.08366564032194762,0.092092940654117
0.05,gamma,MCSany_vs_VS,raw_cv_pi,42,0.6166666666666667,0.4111111111111111,0.8,0.751147787826706,0.6778033737844122,0.0733444140422937,0.3776723177633437,0.1239423827969791,0.16664424154686813,0.1652565103959721
0.05,gamma,MCSany_vs_VS,spectral_residual_cv_pi,42,0.7722222222222223,0.5915972222222222,0.922291666666667,0.1187538189607521,-0.0502707078186599,0.1690245267794121,0.7764471365316945,0.0033175480033558,0.08366564032194762,0.06414684927426309
0.05,gamma,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.6805555555555556,0.5,0.8472222222222222,0.0932755299245137,-0.0432519990123552,0.136527528936869,0.6366770940953413,0.0362551108061773,0.08366564032194762,0.092092940654117
0.1,alpha,MCSplus_vs_VS,raw_cv_pi,38,0.7541666666666667,0.5791666666666666,0.9041666666666668,0.5388362891398291,0.3418195915737556,0.1970166975660734,0.8922837908489715,0.0151416141923231,0.08366564032194762,0.070606234784508
0.1,alpha,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.7166666666666667,0.525,0.8833333333333333,0.1489164318735474,-0.0513859661261506,0.200302397999698,0.8573135133096402,0.0325845247515677,0.08366564032194762,0.06414684927426309
0.1,alpha,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.7208333333333333,0.5332291666666666,0.8834375000000004,0.1418663368126209,-0.0538416946353596,0.1957080314479806,0.8190604338850082,0.0295750454793698,0.08366564032194762,0.092092940654117
0.1,alpha,MCSany_vs_VS,raw_cv_pi,42,0.6861111111111111,0.4722222222222222,0.8694444444444445,0.5399592958367431,0.4156809291579547,0.1242783666787883,0.5821575188703023,0.0320424948830844,0.08366564032194762,0.07120554418463201
0.1,alpha,MCSany_vs_VS,spectral_residual_cv_pi,42,0.6,0.3916666666666667,0.8083333333333333,0.0441395107846912,-0.0579683838932783,0.1021078946779695,0.3477974965724533,0.1614779697224391,0.19037187588433302,0.1772493346005516
0.1,alpha,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.5916666666666667,0.3833333333333333,0.7916666666666666,0.0361968696490246,-0.0570073707535074,0.093204240402532,0.3138839503319503,0.1827658526333874,0.19238510803514464,0.20307316959265267
0.1,gamma,MCSplus_vs_VS,raw_cv_pi,38,0.6416666666666666,0.4041666666666667,0.8583333333333334,0.5445879545990335,0.4722879880259472,0.0722999665730863,0.4002124799437556,0.115155514608776,0.16664424154686813,0.1652565103959721
0.1,gamma,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.7250000000000001,0.5166666666666667,0.9041666666666668,0.1060516745598059,-0.0378095933213569,0.1438612678811629,0.7425193579573091,0.0277008756669535,0.08366564032194762,0.06414684927426309
0.1,gamma,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.7166666666666667,0.4916666666666666,0.9125,0.0880648793105028,-0.0343677916466731,0.122432670957176,0.6738245435075318,0.0322068820770508,0.08366564032194762,0.092092940654117
0.1,gamma,MCSany_vs_VS,raw_cv_pi,42,0.6027777777777777,0.4111111111111111,0.7805555555555556,0.5591852951586066,0.4931740545186568,0.0660112406399497,0.3978504850889525,0.1547467945938553,0.19037187588433302,0.18035230346936812
0.1,gamma,MCSany_vs_VS,spectral_residual_cv_pi,42,0.7444444444444445,0.5583333333333333,0.9027777777777778,0.1007028366687918,-0.0453804391055428,0.1460832757743347,0.7780769228961854,0.0074191829092393,0.08366564032194762,0.06414684927426309
0.1,gamma,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.6833333333333333,0.4972222222222222,0.8555555555555555,0.0792685254802821,-0.0393407344018826,0.1186092598821648,0.6412633181764348,0.0341009277920161,0.08366564032194762,0.092092940654117
0.15,alpha,MCSplus_vs_VS,raw_cv_pi,38,0.7458333333333333,0.5666666666666667,0.9041666666666668,0.3817904962013314,0.2275579347365472,0.1542325614647842,0.8783766636507384,0.0180965836386718,0.08366564032194762,0.070606234784508
0.15,alpha,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.7166666666666667,0.525,0.8791666666666665,0.1208103524142664,-0.0369564629608122,0.1577668153750786,0.831916440859374,0.0325845247515677,0.08366564032194762,0.06414684927426309
0.15,alpha,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.7041666666666666,0.5125,0.8708333333333333,0.1201071381903639,-0.0408681908469561,0.16097532903732,0.812409384881557,0.0412194491141859,0.08633713186323469,0.092092940654117
0.15,alpha,MCSany_vs_VS,raw_cv_pi,42,0.7055555555555555,0.4944444444444444,0.8805555555555555,0.3915495896261243,0.2634010648094602,0.1281485248166641,0.7103004895861634,0.0203539876715217,0.08366564032194762,0.070606234784508
0.15,alpha,MCSany_vs_VS,spectral_residual_cv_pi,42,0.6083333333333333,0.394375,0.8194444444444444,0.0593723077292017,-0.0490647457902082,0.1084370535194099,0.4946419378767785,0.1418760427526896,0.18111835245024205,0.1772493346005516
0.15,alpha,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.5916666666666667,0.3665972222222222,0.8055555555555556,0.0526104841963345,-0.0485482389497023,0.1011587231460369,0.4552630853889971,0.1827658526333874,0.19238510803514464,0.20307316959265267
0.15,gamma,MCSplus_vs_VS,raw_cv_pi,38,0.6125,0.375,0.8251041666666671,0.3931314444588752,0.3397642532966627,0.0533671911622125,0.3737327731128771,0.1713346882958997,0.19037187588433302,0.18035230346936812
0.15,gamma,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.7,0.4875,0.8791666666666667,0.0806615991774235,-0.0292475898469182,0.1099091890243418,0.728789186614347,0.0444840871081721,0.08633713186323469,0.07414014518028683
0.15,gamma,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.7000000000000001,0.4832291666666666,0.8876041666666671,0.0673518825934271,-0.0268848808371344,0.0942367634305616,0.6646449581213367,0.0446230915371033,0.08633713186323469,0.092092940654117
0.15,gamma,MCSany_vs_VS,raw_cv_pi,42,0.5916666666666667,0.4083333333333333,0.7666666666666666,0.4019183337389159,0.3516649682628595,0.0502533654760564,0.3832449408020699,0.1827561399867271,0.19238510803514464,0.1827561399867271
0.15,gamma,MCSany_vs_VS,spectral_residual_cv_pi,42,0.7,0.5222222222222223,0.8555555555555555,0.0749709845394133,-0.0343489730966106,0.109319957636024,0.7346715600870516,0.0232555854701646,0.08366564032194762,0.06414684927426309
0.15,gamma,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.6638888888888889,0.4833333333333333,0.8361111111111111,0.0604325896947231,-0.030678479072503,0.0911110687672261,0.6115364215004643,0.0516733752253309,0.09118830922117217,0.09395159131878345
0.2,alpha,MCSplus_vs_VS,raw_cv_pi,38,0.7291666666666667,0.5416666666666666,0.8958333333333334,0.263029604468202,0.1477853787227258,0.1152442257454761,0.8567372550771878,0.025497621394129,0.08366564032194762,0.070606234784508
0.2,alpha,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.6875,0.4875,0.8624999999999999,0.0932849511632738,-0.0298613409319439,0.1231462920952178,0.8023119888692772,0.0561365842750043,0.09623414447143594,0.08019512039286328
0.2,alpha,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.6791666666666667,0.4833333333333333,0.8541666666666666,0.0934911833862865,-0.0330548052950447,0.1265459886813313,0.7883371443261034,0.064973274301148,0.10828879050191335,0.10487625457616846
0.2,alpha,MCSany_vs_VS,raw_cv_pi,42,0.6916666666666667,0.4888888888888889,0.8694444444444445,0.270958777889884,0.1688654219091013,0.1020933559807826,0.7424872233122742,0.0282424939138032,0.08366564032194762,0.070606234784508
0.2,alpha,MCSany_vs_VS,spectral_residual_cv_pi,42,0.6,0.3833333333333333,0.8166666666666668,0.0536580788959989,-0.0375499680681338,0.0912080469641327,0.571388693398941,0.1614681671146453,0.19037187588433302,0.1772493346005516
0.2,alpha,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.5972222222222222,0.375,0.8138888888888888,0.0495587349070304,-0.0377121343642818,0.0872708692713122,0.5376178336643609,0.168386867870524,0.19037187588433302,0.20307316959265267
0.2,gamma,MCSplus_vs_VS,raw_cv_pi,38,0.6125,0.375,0.8291666666666667,0.2679294621192439,0.2286661484013024,0.0392633137179415,0.3834057549904571,0.1713346882958997,0.19037187588433302,0.18035230346936812
0.2,gamma,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.6958333333333333,0.475,0.8833333333333333,0.0555828518412928,-0.0220886311823565,0.0776714830236493,0.7015992026821265,0.0482382321491479,0.08770587663481437,0.07421266484484293
