band,contrast,score,n,auc,auc_ci_low,auc_ci_high,pos_mean,neg_mean,mean_delta,cohens_d_pooled,mannwhitney_p_greater
alpha,MCSplus_vs_VS,raw_cv_pi,38,0.7541666666666667,0.5791666666666666,0.9,0.5388362891398291,0.3418195915737556,0.19701669756607348,0.8922837908489715,0.015141614192323188
alpha,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.7166666666666667,0.5291666666666667,0.8791666666666667,0.14891643187354744,-0.05138596612615062,0.20030239799969807,0.8573135133096402,0.03258452475156772
alpha,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.7208333333333333,0.5333333333333333,0.8833333333333333,0.14186633681262092,-0.05384169463535966,0.1957080314479806,0.8190604338850082,0.029575045479369858
alpha,MCSany_vs_VS,raw_cv_pi,42,0.6861111111111111,0.4777777777777778,0.8722222222222222,0.5399592958367431,0.41568092915795474,0.12427836667878833,0.5821575188703023,0.03204249488308442
alpha,MCSany_vs_VS,spectral_residual_cv_pi,42,0.6,0.3916666666666667,0.8055555555555556,0.04413951078469123,-0.05796838389327834,0.10210789467796957,0.34779749657245335,0.16147796972243916
alpha,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.5916666666666667,0.38611111111111107,0.788888888888889,0.03619686964902463,-0.05700737075350743,0.09320424040253206,0.3138839503319503,0.18276585263338746
gamma,MCSplus_vs_VS,raw_cv_pi,38,0.6416666666666666,0.4041666666666667,0.8541666666666667,0.5445879545990335,0.47228798802594724,0.0722999665730863,0.4002124799437556,0.11515551460877604
gamma,MCSplus_vs_VS,spectral_residual_cv_pi,38,0.7250000000000001,0.5125,0.9041666666666667,0.10605167455980598,-0.03780959332135696,0.14386126788116294,0.7425193579573091,0.02770087566695358
gamma,MCSplus_vs_VS,spectral_plus_epoch_residual_cv_pi,38,0.7166666666666667,0.4875,0.9208333333333333,0.08806487931050284,-0.034367791646673175,0.12243267095717603,0.6738245435075318,0.03220688207705086
gamma,MCSany_vs_VS,raw_cv_pi,42,0.6027777777777777,0.4083333333333333,0.7805555555555556,0.5591852951586066,0.4931740545186568,0.06601124063994979,0.3978504850889525,0.15474679459385537
gamma,MCSany_vs_VS,spectral_residual_cv_pi,42,0.7444444444444445,0.5611111111111111,0.9027777777777778,0.10070283666879187,-0.04538043910554283,0.14608327577433472,0.7780769228961854,0.007419182909239383
gamma,MCSany_vs_VS,spectral_plus_epoch_residual_cv_pi,42,0.6833333333333333,0.5,0.8527777777777777,0.07926852548028214,-0.03934073440188266,0.11860925988216481,0.6412633181764348,0.03410092779201615
