t,R,D_eff,M_tau,R_ok,D_ok,M_ok,Pi_window,Access_all,subject,condition,filename,band
1.5,0.22342445358580598,66.55770615200144,0.0012973454295217885,True,False,False,0.3333333333333333,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
3.004,0.21679994391419222,66.50518595040926,0.00038941216318999126,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
4.508,0.21645434969910796,66.53787154993367,0.00031892032257223237,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
6.012,0.22813949950296353,66.55376113589003,0.00022912417747402954,True,False,False,0.3333333333333333,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
7.516,0.21958163648958026,66.53912474951316,0.00021266674232695807,True,True,False,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
9.02,0.2158402999525469,66.51884278178996,0.00030946211910756885,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
10.524,0.21442270769100058,66.54877662523865,0.0003717408455734531,True,False,True,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
12.028,0.19800567486091972,66.5042414131667,0.0002937843361175508,False,True,True,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
13.532,0.20523217804559338,66.51639296042822,0.0002168854653940208,True,True,False,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
15.036,0.2231178191835249,66.54546544260552,0.00025191516254538743,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
16.54,0.20574775189526034,66.53466528674545,0.0002540349291041903,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
18.044,0.19707752360550398,66.51334614224318,0.0004667244994617368,False,True,True,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
19.548,0.200444710582539,66.53101575815764,0.000458163640088528,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
21.052,0.2098822134355078,66.5159030054184,0.0003762618131288622,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
22.556,0.20477677240487246,66.53829422696114,0.00060899681395555,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
24.06,0.20044921100230012,66.5141392281319,0.0005072312010550303,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
25.564,0.19885412806200511,66.54223816558411,0.00030564170773832964,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
27.068,0.22477851078529534,66.54108465103049,0.00040017426395911986,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
28.572,0.22279962278113466,66.5517312553203,0.0005015487617372031,True,False,True,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
30.076,0.22660851363673504,66.54674408733875,0.0009330735501485302,True,True,False,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
31.58,0.21381778861590323,66.51354321987797,0.0008119488076222739,True,True,False,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
33.084,0.20821509863581786,66.54546065827292,0.00025776269120799235,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
34.588,0.19848200359826484,66.51546791253354,0.00038777932483332657,False,True,True,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
36.092,0.2023354426852493,66.52922031435905,0.0005742422358804998,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
37.596,0.20667043303903054,66.5125229292053,0.0005139528754911723,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
39.1,0.22367171116633758,66.54171936731423,0.00031641272702169655,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
40.604,0.20139820795320676,66.49921780691758,0.0002477938520255318,True,False,True,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
42.108,0.2144417059756706,66.53707585192393,0.0005171101675293697,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
43.612,0.2029366135973399,66.50422061769518,0.0005219594401175707,True,False,True,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
45.116,0.20096560793790028,66.51438566237753,0.000308178392912268,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
46.62,0.20405816627310644,66.52071279117779,0.0004591783481958099,True,True,True,1.0,1,2,baseline,02-2010-anest 20100210 135.003.set,alpha
48.124,0.2073521529590484,66.49198286928085,0.0007905686937312561,True,False,True,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
49.628,0.20742217689081136,66.53431823564925,0.0011571881901142756,True,True,False,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
51.132,0.216514716965402,66.53302242956475,0.000978721479128115,True,True,False,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
52.636,0.2111982517623634,66.56067066269753,0.000717636404073148,True,False,True,0.6666666666666666,0,2,baseline,02-2010-anest 20100210 135.003.set,alpha
