subject,condition,band,R_mean,D_mean,M_mean,Pi,Access_all,n_windows,n_rois,duration_s
10,baseline,alpha,0.21067325462179073,66.5315015369588,0.00048492401505865465,0.8275862068965517,0.5862068965517241,58.0,68.0,90.0
10,baseline,gamma,0.1529237580609148,66.50871398606782,0.0002464139440078628,0.8275862068965517,0.5517241379310345,58.0,68.0,90.0
10,moderate,alpha,0.21283736460785302,66.53511132917164,0.0006835012681742536,0.7931034482758622,0.5172413793103449,58.0,68.0,90.0
10,moderate,gamma,0.15078004419405347,66.50677866261229,0.00028808968501921523,0.8850574712643678,0.6551724137931034,58.0,68.0,90.0
13,baseline,alpha,0.2166031088166868,66.54479431242153,0.0006724627187915201,0.8275862068965517,0.6551724137931034,58.0,68.0,90.0
13,baseline,gamma,0.15391156761042624,66.51167378613626,0.0003275030490844552,0.8275862068965517,0.5689655172413793,58.0,68.0,90.0
13,moderate,alpha,0.21378628834858399,66.54582636840395,0.0005868379837399681,0.7643678160919539,0.5,58.0,68.0,90.0
13,moderate,gamma,0.1490883157903498,66.50319488916469,0.00023350281863187256,0.7816091954022989,0.4827586206896552,58.0,68.0,90.0
14,baseline,alpha,0.21038014940309613,66.52145978247485,0.00031557859000870157,0.8275862068965517,0.5689655172413793,58.0,68.0,90.0
14,baseline,gamma,0.14919332752194195,66.50803835708574,0.0002016231998447163,0.8275862068965516,0.5689655172413793,58.0,68.0,90.0
14,moderate,alpha,0.20782825790518497,66.51899150582355,0.0002474614770324409,0.7471264367816091,0.4482758620689655,58.0,68.0,90.0
14,moderate,gamma,0.15381805411627059,66.50985180719206,0.00019364130831437843,0.8908045977011494,0.7068965517241379,58.0,68.0,90.0
18,baseline,alpha,0.21551870866444514,66.54195119659165,0.0007034143344330446,0.8275862068965516,0.5689655172413793,58.0,68.0,90.0
18,baseline,gamma,0.1529628380445983,66.5054567028338,0.00021359439422505153,0.8275862068965517,0.5689655172413793,58.0,68.0,90.0
18,moderate,alpha,0.2123011507506961,66.53913776082219,0.0004203471665968825,0.8160919540229885,0.5172413793103449,58.0,68.0,90.0
18,moderate,gamma,0.15220237206731785,66.5074580078913,0.0002229454113376222,0.764367816091954,0.43103448275862066,58.0,68.0,90.0
2,baseline,alpha,0.2102608920219978,66.52758842730485,0.0004690730648027247,0.8275862068965517,0.5689655172413793,58.0,68.0,90.0
2,baseline,gamma,0.15199314203658715,66.50357853444639,0.0002039682319006124,0.8275862068965516,0.5517241379310345,58.0,68.0,90.0
2,moderate,alpha,0.21153649548429937,66.5294252805357,0.00037083073301569713,0.6896551724137931,0.3275862068965517,58.0,68.0,90.0
2,moderate,gamma,0.1515662494268004,66.50360036269998,0.00018724780618437493,0.7586206896551724,0.43103448275862066,58.0,68.0,90.0
20,baseline,alpha,0.21037120994522815,66.52155492781402,0.00034950796164829744,0.8275862068965517,0.5689655172413793,58.0,68.0,90.0
20,baseline,gamma,0.14889435811802515,66.49999497916491,0.0002581279539220951,0.8275862068965516,0.5862068965517241,58.0,68.0,90.0
