subject,psg,status,epochs
SC4001,SC4001E0-PSG.edf,ok,841
SC4002,SC4002E0-PSG.edf,ok,1127
SC4011,SC4011E0-PSG.edf,ok,1103
SC4012,SC4012E0-PSG.edf,ok,1186
SC4021,SC4021E0-PSG.edf,ok,1025
SC4022,SC4022E0-PSG.edf,ok,1009
SC4031,SC4031E0-PSG.edf,ok,952
SC4032,SC4032E0-PSG.edf,ok,911
SC4041,SC4041E0-PSG.edf,ok,1235
SC4042,SC4042E0-PSG.edf,ok,1200
SC4051,SC4051E0-PSG.edf,ok,672
SC4052,SC4052E0-PSG.edf,ok,1246
SC4061,SC4061E0-PSG.edf,ok,843
SC4062,SC4062E0-PSG.edf,ok,1016
SC4071,SC4071E0-PSG.edf,ok,976
SC4072,SC4072E0-PSG.edf,ok,1273
SC4081,SC4081E0-PSG.edf,ok,1134
SC4082,SC4082E0-PSG.edf,ok,1054
SC4091,SC4091E0-PSG.edf,ok,1132
SC4092,SC4092E0-PSG.edf,ok,1104
SC4101,SC4101E0-PSG.edf,ok,1104
SC4102,SC4102E0-PSG.edf,ok,1092
