band,feature,contrast,n_subjects,mean_delta,dz,wilcoxon_two_sided_p
sigma,R,Wake_minus_NREM,22,-0.23222734625947306,-2.2189879714519027,4.76837158203125e-07
sigma,R,REM_minus_NREM,22,-0.14923340064963223,-3.2078480158773637,4.76837158203125e-07
sigma,R,Wake_minus_REM,22,-0.0829939456098408,-1.2847612783317544,9.059906005859375e-06
sigma,D_eff,Wake_minus_NREM,22,-1.0092936587501423e-17,-0.2132007163556104,0.31731050786291415
sigma,D_eff,REM_minus_NREM,22,-2.0185873175002847e-17,-0.30895719032666236,0.15729920705028502
sigma,D_eff,Wake_minus_REM,22,1.0092936587501423e-17,0.12118298018003473,0.5637028616507731
sigma,M_tau,Wake_minus_NREM,22,0.0023492768449847423,0.546665347877293,0.027535438537597656
sigma,M_tau,REM_minus_NREM,22,0.0033228956906567893,0.8549714531138812,0.0012617111206054688
sigma,M_tau,Wake_minus_REM,22,-0.0009736188456720469,-1.231497500108286,2.6226043701171875e-05
sigma,Pi,Wake_minus_NREM,22,0.042693528221478455,0.7925886738791975,0.0014548301696777344
sigma,Pi,REM_minus_NREM,22,0.05168929396505435,0.9485229112063567,0.000255584716796875
sigma,Pi,Wake_minus_REM,22,-0.008995765743575907,-0.4997718354891757,0.020858287811279297
sigma,spectral_entropy,Wake_minus_NREM,22,0.09033369143417377,1.177219314788669,4.1961669921875e-05
sigma,spectral_entropy,REM_minus_NREM,22,0.08294315915097754,1.8820713070567738,4.76837158203125e-07
sigma,spectral_entropy,Wake_minus_REM,22,0.007390532283196235,0.1424708734620216,0.6788630485534668
sigma,theta_power,Wake_minus_NREM,22,-0.037927329013664864,-1.0704261137903939,0.00042819976806640625
sigma,theta_power,REM_minus_NREM,22,0.07052355948060623,2.513479863884726,4.76837158203125e-07
sigma,theta_power,Wake_minus_REM,22,-0.1084508884942711,-4.283467329513357,4.76837158203125e-07
sigma,alpha_power,Wake_minus_NREM,22,0.060605167536299236,0.8023133941826417,0.0005927085876464844
sigma,alpha_power,REM_minus_NREM,22,0.036425927711730546,1.253986487820661,9.059906005859375e-06
sigma,alpha_power,Wake_minus_REM,22,0.02417923982456869,0.36942901968059927,0.19821882247924805
