subject,task,condition,acq,run,filename,channel_set,n_channels,gamma_rel_power,hf_rel_power
1010,awake,awake,EC,0,sub-1010_task-awake_acq-EC_eeg.vhdr,all_eeg,62,0.02642158728050707,0.04384359131883545
1010,awake,awake,EC,0,sub-1010_task-awake_acq-EC_eeg.vhdr,posterior,18,0.02904151678965889,0.04441343105242351
1010,awake,awake,EC,0,sub-1010_task-awake_acq-EC_eeg.vhdr,centro_posterior,32,0.029848146521192706,0.04044137290524334
1010,awake,awake,EC,0,sub-1010_task-awake_acq-EC_eeg.vhdr,frontotemporal,30,0.023770121992479888,0.04647622171927219
1010,sed2,sed2,rest,1,sub-1010_task-sed2_acq-rest_run-1_eeg.vhdr,all_eeg,62,0.005482037612120759,0.026430834450129594
1010,sed2,sed2,rest,1,sub-1010_task-sed2_acq-rest_run-1_eeg.vhdr,posterior,18,0.005951791369684664,0.00819591919459535
1010,sed2,sed2,rest,1,sub-1010_task-sed2_acq-rest_run-1_eeg.vhdr,centro_posterior,32,0.006342817752689574,0.0352970804211856
1010,sed2,sed2,rest,1,sub-1010_task-sed2_acq-rest_run-1_eeg.vhdr,frontotemporal,30,0.004824151904411236,0.01965445075993387
1010,sed2,sed2,rest,2,sub-1010_task-sed2_acq-rest_run-2_eeg.vhdr,all_eeg,62,0.012899060447232762,0.02523496450616411
1010,sed2,sed2,rest,2,sub-1010_task-sed2_acq-rest_run-2_eeg.vhdr,posterior,18,0.010117769192462397,0.07619419596542161
1010,sed2,sed2,rest,2,sub-1010_task-sed2_acq-rest_run-2_eeg.vhdr,centro_posterior,32,0.013529421883539807,0.04114203138893334
1010,sed2,sed2,rest,2,sub-1010_task-sed2_acq-rest_run-2_eeg.vhdr,frontotemporal,30,0.012124289123631456,0.0056837379343429
1010,sed2,sed2,rest,3,sub-1010_task-sed2_acq-rest_run-3_eeg.vhdr,all_eeg,62,0.007075702136245202,0.036279060719973395
1010,sed2,sed2,rest,3,sub-1010_task-sed2_acq-rest_run-3_eeg.vhdr,posterior,18,0.0055565844790690195,0.11494729929362517
1010,sed2,sed2,rest,3,sub-1010_task-sed2_acq-rest_run-3_eeg.vhdr,centro_posterior,32,0.00800364037479706,0.06799445748374508
1010,sed2,sed2,rest,3,sub-1010_task-sed2_acq-rest_run-3_eeg.vhdr,frontotemporal,30,0.0064150457569533215,0.013698916564627456
1010,sed,sed,rest,1,sub-1010_task-sed_acq-rest_run-1_eeg.vhdr,all_eeg,62,0.004371543929219211,0.028783554327827934
1010,sed,sed,rest,1,sub-1010_task-sed_acq-rest_run-1_eeg.vhdr,posterior,18,0.004635692256765755,0.013279415078258236
1010,sed,sed,rest,1,sub-1010_task-sed_acq-rest_run-1_eeg.vhdr,centro_posterior,32,0.004913034149124588,0.04708446211805943
1010,sed,sed,rest,1,sub-1010_task-sed_acq-rest_run-1_eeg.vhdr,frontotemporal,30,0.004086355808033285,0.019144965638996137
1010,sed,sed,rest,2,sub-1010_task-sed_acq-rest_run-2_eeg.vhdr,all_eeg,62,0.048598609734374826,0.08319510478236247
1010,sed,sed,rest,2,sub-1010_task-sed_acq-rest_run-2_eeg.vhdr,posterior,18,0.026468834310470285,0.03391614234859554
1010,sed,sed,rest,2,sub-1010_task-sed_acq-rest_run-2_eeg.vhdr,centro_posterior,32,0.03544986411232773,0.04971733945367481
1010,sed,sed,rest,2,sub-1010_task-sed_acq-rest_run-2_eeg.vhdr,frontotemporal,30,0.060166441779153805,0.11264773681955374
1010,sed,sed,rest,3,sub-1010_task-sed_acq-rest_run-3_eeg.vhdr,all_eeg,62,0.007367893819829029,0.04200233407286438
1010,sed,sed,rest,3,sub-1010_task-sed_acq-rest_run-3_eeg.vhdr,posterior,18,0.004971538509946514,0.16115851378999102
1010,sed,sed,rest,3,sub-1010_task-sed_acq-rest_run-3_eeg.vhdr,centro_posterior,32,0.008081821189113722,0.08274964073792769
1010,sed,sed,rest,3,sub-1010_task-sed_acq-rest_run-3_eeg.vhdr,frontotemporal,30,0.006785929417487504,0.008786795643346515
1016,awake,awake,EC,0,sub-1016_task-awake_acq-EC_eeg.vhdr,all_eeg,62,0.023159331286139936,0.02518905611921513
1016,awake,awake,EC,0,sub-1016_task-awake_acq-EC_eeg.vhdr,posterior,18,0.01551035481223089,0.01579342651125107
1016,awake,awake,EC,0,sub-1016_task-awake_acq-EC_eeg.vhdr,centro_posterior,32,0.01991683127747167,0.01852765975387676
1016,awake,awake,EC,0,sub-1016_task-awake_acq-EC_eeg.vhdr,frontotemporal,30,0.028214133229249472,0.035573648008596394
1016,sed2,sed2,rest,1,sub-1016_task-sed2_acq-rest_run-1_eeg.vhdr,all_eeg,62,0.0025404757988615285,0.003745835498042668
1016,sed2,sed2,rest,1,sub-1016_task-sed2_acq-rest_run-1_eeg.vhdr,posterior,18,0.0025385441033597914,0.003601794519590954
1016,sed2,sed2,rest,1,sub-1016_task-sed2_acq-rest_run-1_eeg.vhdr,centro_posterior,32,0.003042027098632012,0.004094099782705355
1016,sed2,sed2,rest,1,sub-1016_task-sed2_acq-rest_run-1_eeg.vhdr,frontotemporal,30,0.001888827403223658,0.0032933476618786247
1016,sed2,sed2,rest,2,sub-1016_task-sed2_acq-rest_run-2_eeg.vhdr,all_eeg,62,0.0029995518549229792,0.006142274985345399
1016,sed2,sed2,rest,2,sub-1016_task-sed2_acq-rest_run-2_eeg.vhdr,posterior,18,0.0032253578637485873,0.006508989942171041
1016,sed2,sed2,rest,2,sub-1016_task-sed2_acq-rest_run-2_eeg.vhdr,centro_posterior,32,0.003257097034464704,0.007487290367102255
1016,sed2,sed2,rest,2,sub-1016_task-sed2_acq-rest_run-2_eeg.vhdr,frontotemporal,30,0.002774875965685741,0.004968917644813127
1016,sed,sed,rest,1,sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,all_eeg,62,0.010167208753096993,0.012049303288482091
1016,sed,sed,rest,1,sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,posterior,18,0.01022348433654124,0.010457302815981487
1016,sed,sed,rest,1,sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,centro_posterior,32,0.010317058981379381,0.010533653475571803
1016,sed,sed,rest,1,sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,frontotemporal,30,0.009969014757993494,0.014053922801189653
1016,sed,sed,rest,2,sub-1016_task-sed_acq-rest_run-2_eeg.vhdr,all_eeg,62,0.011678988193536466,0.021030566698816408
1016,sed,sed,rest,2,sub-1016_task-sed_acq-rest_run-2_eeg.vhdr,posterior,18,0.010214266677535864,0.05686091443134336
1016,sed,sed,rest,2,sub-1016_task-sed_acq-rest_run-2_eeg.vhdr,centro_posterior,32,0.012290546586875126,0.035214032196953515
1016,sed,sed,rest,2,sub-1016_task-sed_acq-rest_run-2_eeg.vhdr,frontotemporal,30,0.011324219667832694,0.012802657150107246
1016,sed,sed,rest,3,sub-1016_task-sed_acq-rest_run-3_eeg.vhdr,all_eeg,62,0.011327614635700641,0.009039709326164528
1016,sed,sed,rest,3,sub-1016_task-sed_acq-rest_run-3_eeg.vhdr,posterior,18,0.009428909581947751,0.004695066879451067
1016,sed,sed,rest,3,sub-1016_task-sed_acq-rest_run-3_eeg.vhdr,centro_posterior,32,0.01185133453813581,0.012607397795906583
1016,sed,sed,rest,3,sub-1016_task-sed_acq-rest_run-3_eeg.vhdr,frontotemporal,30,0.01114768401639823,0.00781398467286432
1017,awake,awake,EC,0,sub-1017_task-awake_acq-EC_eeg.vhdr,all_eeg,62,0.01908845635381734,0.02047870087349652
1017,awake,awake,EC,0,sub-1017_task-awake_acq-EC_eeg.vhdr,posterior,18,0.013700757293253723,0.0092206437024339
1017,awake,awake,EC,0,sub-1017_task-awake_acq-EC_eeg.vhdr,centro_posterior,32,0.01679515760843075,0.01838229883503985
1017,awake,awake,EC,0,sub-1017_task-awake_acq-EC_eeg.vhdr,frontotemporal,30,0.02127444340950356,0.02247700472675571
1017,sed2,sed2,rest,1,sub-1017_task-sed2_acq-rest_run-1_eeg.vhdr,all_eeg,62,0.006887409303715534,0.0011628165346433293
1017,sed2,sed2,rest,1,sub-1017_task-sed2_acq-rest_run-1_eeg.vhdr,posterior,18,0.0066293195351705215,0.0012878285592489685
1017,sed2,sed2,rest,1,sub-1017_task-sed2_acq-rest_run-1_eeg.vhdr,centro_posterior,32,0.006570961584688415,0.0011829277352678256
1017,sed2,sed2,rest,1,sub-1017_task-sed2_acq-rest_run-1_eeg.vhdr,frontotemporal,30,0.0072366842672282475,0.0011406190642810426
1017,sed2,sed2,rest,2,sub-1017_task-sed2_acq-rest_run-2_eeg.vhdr,all_eeg,62,0.018462248842490907,0.0038298257501574763
1017,sed2,sed2,rest,2,sub-1017_task-sed2_acq-rest_run-2_eeg.vhdr,posterior,18,0.0139188881603052,0.0036729641367032276
1017,sed2,sed2,rest,2,sub-1017_task-sed2_acq-rest_run-2_eeg.vhdr,centro_posterior,32,0.015325228866950888,0.0035677984064115768
1017,sed2,sed2,rest,2,sub-1017_task-sed2_acq-rest_run-2_eeg.vhdr,frontotemporal,30,0.019852263996752807,0.003945930200074183
1017,sed,sed,rest,1,sub-1017_task-sed_acq-rest_run-1_eeg.vhdr,all_eeg,62,0.017671449285044202,0.02374113903264802
1017,sed,sed,rest,1,sub-1017_task-sed_acq-rest_run-1_eeg.vhdr,posterior,18,0.022106354666398563,0.04519435038112904
1017,sed,sed,rest,1,sub-1017_task-sed_acq-rest_run-1_eeg.vhdr,centro_posterior,32,0.01899555527423789,0.031011344761845742
1017,sed,sed,rest,1,sub-1017_task-sed_acq-rest_run-1_eeg.vhdr,frontotemporal,30,0.016373830346384014,0.016616364491066512
1017,sed,sed,rest,2,sub-1017_task-sed_acq-rest_run-2_eeg.vhdr,all_eeg,62,0.019809364093289563,0.006207524910291857
1017,sed,sed,rest,2,sub-1017_task-sed_acq-rest_run-2_eeg.vhdr,posterior,18,0.015461076975415456,0.006143425135568532
1017,sed,sed,rest,2,sub-1017_task-sed_acq-rest_run-2_eeg.vhdr,centro_posterior,32,0.017101493956609645,0.005771661334941607
1017,sed,sed,rest,2,sub-1017_task-sed_acq-rest_run-2_eeg.vhdr,frontotemporal,30,0.020927309513777546,0.0063874713860921205
1022,awake,awake,EC,0,sub-1022_task-awake_acq-EC_eeg.vhdr,all_eeg,62,0.023943988671988693,0.019408706258659942
1022,awake,awake,EC,0,sub-1022_task-awake_acq-EC_eeg.vhdr,posterior,18,0.01884648335138585,0.009229432113689926
1022,awake,awake,EC,0,sub-1022_task-awake_acq-EC_eeg.vhdr,centro_posterior,32,0.0209215168213376,0.010254780997115569
1022,awake,awake,EC,0,sub-1022_task-awake_acq-EC_eeg.vhdr,frontotemporal,30,0.025450704547485534,0.023971979366301736
1022,sed2,sed2,rest,1,sub-1022_task-sed2_acq-rest_run-1_eeg.vhdr,all_eeg,62,0.005553063136804782,0.0007052268270247413
1022,sed2,sed2,rest,1,sub-1022_task-sed2_acq-rest_run-1_eeg.vhdr,posterior,18,0.004603599016882922,0.0007678187453850582
1022,sed2,sed2,rest,1,sub-1022_task-sed2_acq-rest_run-1_eeg.vhdr,centro_posterior,32,0.006045332109602717,0.0009460082424930255
1022,sed2,sed2,rest,1,sub-1022_task-sed2_acq-rest_run-1_eeg.vhdr,frontotemporal,30,0.005318429407883091,0.0005904614355655559
1022,sed2,sed2,rest,2,sub-1022_task-sed2_acq-rest_run-2_eeg.vhdr,all_eeg,62,0.0048355099096305506,0.0007410152683689213
1022,sed2,sed2,rest,2,sub-1022_task-sed2_acq-rest_run-2_eeg.vhdr,posterior,18,0.00362100227986481,0.0006215720117180687
1022,sed2,sed2,rest,2,sub-1022_task-sed2_acq-rest_run-2_eeg.vhdr,centro_posterior,32,0.005736681798622823,0.0008695743255928009
1022,sed2,sed2,rest,2,sub-1022_task-sed2_acq-rest_run-2_eeg.vhdr,frontotemporal,30,0.004400818790012572,0.0006790032580029845
1022,sed2,sed2,rest,3,sub-1022_task-sed2_acq-rest_run-3_eeg.vhdr,all_eeg,62,0.004086775271459431,0.0007544390329288965
1022,sed2,sed2,rest,3,sub-1022_task-sed2_acq-rest_run-3_eeg.vhdr,posterior,18,0.0034396146323220473,0.00060549226218849
1022,sed2,sed2,rest,3,sub-1022_task-sed2_acq-rest_run-3_eeg.vhdr,centro_posterior,32,0.004012633352009549,0.000707845097219868
1022,sed2,sed2,rest,3,sub-1022_task-sed2_acq-rest_run-3_eeg.vhdr,frontotemporal,30,0.004223542443754813,0.000840389341206849
1022,sed,sed,rest,1,sub-1022_task-sed_acq-rest_run-1_eeg.vhdr,all_eeg,62,0.00896480071041578,0.0012178151362838643
1022,sed,sed,rest,1,sub-1022_task-sed_acq-rest_run-1_eeg.vhdr,posterior,18,0.008465864929804324,0.0013615885275968015
1022,sed,sed,rest,1,sub-1022_task-sed_acq-rest_run-1_eeg.vhdr,centro_posterior,32,0.009675122427020075,0.0015653691674273162
1022,sed,sed,rest,1,sub-1022_task-sed_acq-rest_run-1_eeg.vhdr,frontotemporal,30,0.00858610217809844,0.0010325213483870193
1022,sed,sed,rest,2,sub-1022_task-sed_acq-rest_run-2_eeg.vhdr,all_eeg,62,0.006291442821122245,0.0010983621437068646
1022,sed,sed,rest,2,sub-1022_task-sed_acq-rest_run-2_eeg.vhdr,posterior,18,0.005593708078332621,0.00094104529595057
1022,sed,sed,rest,2,sub-1022_task-sed_acq-rest_run-2_eeg.vhdr,centro_posterior,32,0.0069257690689447935,0.0011411020506062386
1022,sed,sed,rest,2,sub-1022_task-sed_acq-rest_run-2_eeg.vhdr,frontotemporal,30,0.006045928614070111,0.0010818197818104397
1022,sed,sed,rest,3,sub-1022_task-sed_acq-rest_run-3_eeg.vhdr,all_eeg,62,0.006088340026460961,0.0010648772415994883
1022,sed,sed,rest,3,sub-1022_task-sed_acq-rest_run-3_eeg.vhdr,posterior,18,0.005725696127578998,0.0009099274255451227
