relative_path,subject,task,acq,run,extension,suffix,size
CHANGES,,,,0,,,23
dataset_description.json,,,,0,.json,,1025
.gitattributes,,,,0,,,427
README.txt,,,,0,.txt,,3938
participants.json,,,,0,.json,,1202
participants.tsv,,,,0,.tsv,,1035
sub-1074/sub-1074_scans.tsv,1074,,,0,.tsv,,892
sub-1074/eeg/sub-1074_task-awake_acq-EC_channels.tsv,1074,awake,EC,0,.tsv,channels,3911
sub-1074/eeg/sub-1074_task-awake_acq-EC_eeg.eeg,1074,awake,EC,0,.eeg,eeg,384000256
sub-1074/eeg/sub-1074_task-awake_acq-EC_eeg.json,1074,awake,EC,0,.json,eeg,475
sub-1074/eeg/sub-1074_task-awake_acq-EC_eeg.vhdr,1074,awake,EC,0,.vhdr,eeg,1801
sub-1074/eeg/sub-1074_task-awake_acq-EC_eeg.vmrk,1074,awake,EC,0,.vmrk,eeg,541
sub-1074/eeg/sub-1074_task-awake_acq-EC_events.json,1074,awake,EC,0,.json,events,767
sub-1074/eeg/sub-1074_task-awake_acq-EC_events.tsv,1074,awake,EC,0,.tsv,events,70
sub-1074/eeg/sub-1074_task-awake_acq-EO_channels.tsv,1074,awake,EO,0,.tsv,channels,3911
sub-1074/eeg/sub-1074_task-awake_acq-EO_eeg.eeg,1074,awake,EO,0,.eeg,eeg,384000256
sub-1074/eeg/sub-1074_task-awake_acq-EO_eeg.json,1074,awake,EO,0,.json,eeg,475
sub-1074/eeg/sub-1074_task-awake_acq-EO_eeg.vhdr,1074,awake,EO,0,.vhdr,eeg,1801
sub-1074/eeg/sub-1074_task-awake_acq-EO_eeg.vmrk,1074,awake,EO,0,.vmrk,eeg,541
sub-1074/eeg/sub-1074_task-awake_acq-EO_events.json,1074,awake,EO,0,.json,events,767
sub-1074/eeg/sub-1074_task-awake_acq-EO_events.tsv,1074,awake,EO,0,.tsv,events,70
sub-1074/eeg/sub-1074_task-awake_acq-tms_channels.tsv,1074,awake,tms,0,.tsv,channels,3911
sub-1074/eeg/sub-1074_task-awake_acq-tms_eeg.eeg,1074,awake,tms,0,.eeg,eeg,1238707712
sub-1074/eeg/sub-1074_task-awake_acq-tms_eeg.json,1074,awake,tms,0,.json,eeg,478
sub-1074/eeg/sub-1074_task-awake_acq-tms_eeg.vhdr,1074,awake,tms,0,.vhdr,eeg,1803
