relative_path,subject,task,acq,run,extension,suffix,size,local_present
CHANGES,,,,0,,,23,True
dataset_description.json,,,,0,.json,,1025,True
.gitattributes,,,,0,,,427,False
README.txt,,,,0,.txt,,3938,False
participants.json,,,,0,.json,,1202,True
participants.tsv,,,,0,.tsv,,1035,True
sub-1074/sub-1074_scans.tsv,1074,,,0,.tsv,,892,False
sub-1074/eeg/sub-1074_task-awake_acq-EC_channels.tsv,1074,awake,EC,0,.tsv,channels,3911,True
sub-1074/eeg/sub-1074_task-awake_acq-EC_eeg.eeg,1074,awake,EC,0,.eeg,eeg,384000256,True
sub-1074/eeg/sub-1074_task-awake_acq-EC_eeg.json,1074,awake,EC,0,.json,eeg,475,True
sub-1074/eeg/sub-1074_task-awake_acq-EC_eeg.vhdr,1074,awake,EC,0,.vhdr,eeg,1801,True
sub-1074/eeg/sub-1074_task-awake_acq-EC_eeg.vmrk,1074,awake,EC,0,.vmrk,eeg,541,True
sub-1074/eeg/sub-1074_task-awake_acq-EC_events.json,1074,awake,EC,0,.json,events,767,True
sub-1074/eeg/sub-1074_task-awake_acq-EC_events.tsv,1074,awake,EC,0,.tsv,events,70,True
sub-1074/eeg/sub-1074_task-awake_acq-EO_channels.tsv,1074,awake,EO,0,.tsv,channels,3911,False
sub-1074/eeg/sub-1074_task-awake_acq-EO_eeg.eeg,1074,awake,EO,0,.eeg,eeg,384000256,False
sub-1074/eeg/sub-1074_task-awake_acq-EO_eeg.json,1074,awake,EO,0,.json,eeg,475,False
sub-1074/eeg/sub-1074_task-awake_acq-EO_eeg.vhdr,1074,awake,EO,0,.vhdr,eeg,1801,False
sub-1074/eeg/sub-1074_task-awake_acq-EO_eeg.vmrk,1074,awake,EO,0,.vmrk,eeg,541,False
sub-1074/eeg/sub-1074_task-awake_acq-EO_events.json,1074,awake,EO,0,.json,events,767,False
sub-1074/eeg/sub-1074_task-awake_acq-EO_events.tsv,1074,awake,EO,0,.tsv,events,70,False
sub-1074/eeg/sub-1074_task-awake_acq-tms_channels.tsv,1074,awake,tms,0,.tsv,channels,3911,False
sub-1074/eeg/sub-1074_task-awake_acq-tms_eeg.eeg,1074,awake,tms,0,.eeg,eeg,1238707712,False
sub-1074/eeg/sub-1074_task-awake_acq-tms_eeg.json,1074,awake,tms,0,.json,eeg,478,False
sub-1074/eeg/sub-1074_task-awake_acq-tms_eeg.vhdr,1074,awake,tms,0,.vhdr,eeg,1803,False
sub-1074/eeg/sub-1074_task-awake_acq-tms_eeg.vmrk,1074,awake,tms,0,.vmrk,eeg,9848,False
sub-1074/eeg/sub-1074_task-awake_acq-tms_events.json,1074,awake,tms,0,.json,events,767,False
sub-1074/eeg/sub-1074_task-awake_acq-tms_events.tsv,1074,awake,tms,0,.tsv,events,11257,False
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-1_channels.tsv,1074,sed2,rest,1,.tsv,channels,3911,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-1_eeg.eeg,1074,sed2,rest,1,.eeg,eeg,76800256,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-1_eeg.json,1074,sed2,rest,1,.json,eeg,473,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-1_eeg.vhdr,1074,sed2,rest,1,.vhdr,eeg,1815,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-1_eeg.vmrk,1074,sed2,rest,1,.vmrk,eeg,548,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-1_events.json,1074,sed2,rest,1,.json,events,767,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-1_events.tsv,1074,sed2,rest,1,.tsv,events,70,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-2_channels.tsv,1074,sed2,rest,2,.tsv,channels,3911,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-2_eeg.eeg,1074,sed2,rest,2,.eeg,eeg,76800256,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-2_eeg.json,1074,sed2,rest,2,.json,eeg,473,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-2_eeg.vhdr,1074,sed2,rest,2,.vhdr,eeg,1815,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-2_eeg.vmrk,1074,sed2,rest,2,.vmrk,eeg,548,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-2_events.json,1074,sed2,rest,2,.json,events,767,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-2_events.tsv,1074,sed2,rest,2,.tsv,events,70,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-3_channels.tsv,1074,sed2,rest,3,.tsv,channels,3911,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-3_eeg.eeg,1074,sed2,rest,3,.eeg,eeg,76800256,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-3_eeg.json,1074,sed2,rest,3,.json,eeg,473,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-3_eeg.vhdr,1074,sed2,rest,3,.vhdr,eeg,1815,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-3_eeg.vmrk,1074,sed2,rest,3,.vmrk,eeg,548,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-3_events.json,1074,sed2,rest,3,.json,events,767,True
sub-1074/eeg/sub-1074_task-sed2_acq-rest_run-3_events.tsv,1074,sed2,rest,3,.tsv,events,70,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-1_channels.tsv,1074,sed,rest,1,.tsv,channels,3911,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-1_eeg.eeg,1074,sed,rest,1,.eeg,eeg,384000256,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-1_eeg.json,1074,sed,rest,1,.json,eeg,473,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-1_eeg.vhdr,1074,sed,rest,1,.vhdr,eeg,1813,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-1_eeg.vmrk,1074,sed,rest,1,.vmrk,eeg,547,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-1_events.json,1074,sed,rest,1,.json,events,767,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-1_events.tsv,1074,sed,rest,1,.tsv,events,70,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-2_channels.tsv,1074,sed,rest,2,.tsv,channels,3911,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-2_eeg.eeg,1074,sed,rest,2,.eeg,eeg,384000256,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-2_eeg.json,1074,sed,rest,2,.json,eeg,473,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-2_eeg.vhdr,1074,sed,rest,2,.vhdr,eeg,1813,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-2_eeg.vmrk,1074,sed,rest,2,.vmrk,eeg,547,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-2_events.json,1074,sed,rest,2,.json,events,767,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-2_events.tsv,1074,sed,rest,2,.tsv,events,70,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-3_channels.tsv,1074,sed,rest,3,.tsv,channels,3911,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-3_eeg.eeg,1074,sed,rest,3,.eeg,eeg,384000256,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-3_eeg.json,1074,sed,rest,3,.json,eeg,473,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-3_eeg.vhdr,1074,sed,rest,3,.vhdr,eeg,1813,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-3_eeg.vmrk,1074,sed,rest,3,.vmrk,eeg,547,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-3_events.json,1074,sed,rest,3,.json,events,767,True
sub-1074/eeg/sub-1074_task-sed_acq-rest_run-3_events.tsv,1074,sed,rest,3,.tsv,events,70,True
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-1_channels.tsv,1074,sed,tms,1,.tsv,channels,3911,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-1_eeg.eeg,1074,sed,tms,1,.eeg,eeg,776611584,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-1_eeg.json,1074,sed,tms,1,.json,eeg,476,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-1_eeg.vhdr,1074,sed,tms,1,.vhdr,eeg,1811,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-1_eeg.vmrk,1074,sed,tms,1,.vmrk,eeg,9291,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-1_events.json,1074,sed,tms,1,.json,events,767,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-1_events.tsv,1074,sed,tms,1,.tsv,events,10527,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-2_channels.tsv,1074,sed,tms,2,.tsv,channels,3911,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-2_eeg.eeg,1074,sed,tms,2,.eeg,eeg,776614144,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-2_eeg.json,1074,sed,tms,2,.json,eeg,476,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-2_eeg.vhdr,1074,sed,tms,2,.vhdr,eeg,1811,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-2_eeg.vmrk,1074,sed,tms,2,.vmrk,eeg,8670,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-2_events.json,1074,sed,tms,2,.json,events,767,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-2_events.tsv,1074,sed,tms,2,.tsv,events,9860,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-3_channels.tsv,1074,sed,tms,3,.tsv,channels,3911,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-3_eeg.eeg,1074,sed,tms,3,.eeg,eeg,763006720,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-3_eeg.json,1074,sed,tms,3,.json,eeg,476,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-3_eeg.vhdr,1074,sed,tms,3,.vhdr,eeg,1811,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-3_eeg.vmrk,1074,sed,tms,3,.vmrk,eeg,7582,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-3_events.json,1074,sed,tms,3,.json,events,767,False
sub-1074/eeg/sub-1074_task-sed_acq-tms_run-3_events.tsv,1074,sed,tms,3,.tsv,events,8553,False
sub-1071/sub-1071_scans.tsv,1071,,,0,.tsv,,819,False
sub-1071/eeg/sub-1071_task-awake_acq-EC_channels.tsv,1071,awake,EC,0,.tsv,channels,3911,True
sub-1071/eeg/sub-1071_task-awake_acq-EC_eeg.eeg,1071,awake,EC,0,.eeg,eeg,384000256,True
sub-1071/eeg/sub-1071_task-awake_acq-EC_eeg.json,1071,awake,EC,0,.json,eeg,475,True
sub-1071/eeg/sub-1071_task-awake_acq-EC_eeg.vhdr,1071,awake,EC,0,.vhdr,eeg,1801,True
sub-1071/eeg/sub-1071_task-awake_acq-EC_eeg.vmrk,1071,awake,EC,0,.vmrk,eeg,541,True
sub-1071/eeg/sub-1071_task-awake_acq-EC_events.json,1071,awake,EC,0,.json,events,767,True
sub-1071/eeg/sub-1071_task-awake_acq-EC_events.tsv,1071,awake,EC,0,.tsv,events,70,True
sub-1071/eeg/sub-1071_task-awake_acq-EO_channels.tsv,1071,awake,EO,0,.tsv,channels,3911,False
sub-1071/eeg/sub-1071_task-awake_acq-EO_eeg.eeg,1071,awake,EO,0,.eeg,eeg,384000256,False
sub-1071/eeg/sub-1071_task-awake_acq-EO_eeg.json,1071,awake,EO,0,.json,eeg,475,False
sub-1071/eeg/sub-1071_task-awake_acq-EO_eeg.vhdr,1071,awake,EO,0,.vhdr,eeg,1801,False
sub-1071/eeg/sub-1071_task-awake_acq-EO_eeg.vmrk,1071,awake,EO,0,.vmrk,eeg,541,False
sub-1071/eeg/sub-1071_task-awake_acq-EO_events.json,1071,awake,EO,0,.json,events,767,False
sub-1071/eeg/sub-1071_task-awake_acq-EO_events.tsv,1071,awake,EO,0,.tsv,events,70,False
sub-1071/eeg/sub-1071_task-awake_acq-tms_channels.tsv,1071,awake,tms,0,.tsv,channels,3911,False
sub-1071/eeg/sub-1071_task-awake_acq-tms_eeg.eeg,1071,awake,tms,0,.eeg,eeg,773121024,False
sub-1071/eeg/sub-1071_task-awake_acq-tms_eeg.json,1071,awake,tms,0,.json,eeg,478,False
sub-1071/eeg/sub-1071_task-awake_acq-tms_eeg.vhdr,1071,awake,tms,0,.vhdr,eeg,1803,False
sub-1071/eeg/sub-1071_task-awake_acq-tms_eeg.vmrk,1071,awake,tms,0,.vmrk,eeg,8235,False
