subject,condition,kind,surrogate,Pi
1010,awake,original,-1,0.8312236286919831
1010,sed,original,-1,0.3473980309423348
1010,sed2,original,-1,0.2649572649572649
1010,awake,phase_surrogate,0,0.8312236286919831
1010,sed,phase_surrogate,0,0.541490857946554
1010,sed2,phase_surrogate,0,0.5811965811965814
1010,awake,phase_surrogate,1,0.8312236286919831
1010,sed,phase_surrogate,1,0.5752461322081576
1010,sed2,phase_surrogate,1,0.5698005698005696
1010,awake,phase_surrogate,2,0.831223628691983
1010,sed,phase_surrogate,2,0.5485232067510548
1010,sed2,phase_surrogate,2,0.5925925925925928
1016,awake,original,-1,0.8312236286919831
1016,sed,original,-1,0.6019690576652602
1016,sed2,original,-1,0.2934472934472935
1016,awake,phase_surrogate,0,0.8312236286919831
1016,sed,phase_surrogate,0,0.5836849507735585
1016,sed2,phase_surrogate,0,0.6125356125356126
1016,awake,phase_surrogate,1,0.8312236286919831
1016,sed,phase_surrogate,1,0.5710267229254572
1016,sed2,phase_surrogate,1,0.6125356125356126
1016,awake,phase_surrogate,2,0.8312236286919831
1016,sed,phase_surrogate,2,0.5077355836849509
1016,sed2,phase_surrogate,2,0.5413105413105412
1017,awake,original,-1,0.8312236286919831
1017,sed,original,-1,0.6751054852320675
1017,sed2,original,-1,0.6894586894586894
1017,awake,phase_surrogate,0,0.8312236286919831
1017,sed,phase_surrogate,0,0.7046413502109705
1017,sed2,phase_surrogate,0,0.5641025641025643
1017,awake,phase_surrogate,1,0.8312236286919831
1017,sed,phase_surrogate,1,0.6554149085794655
1017,sed2,phase_surrogate,1,0.5811965811965814
1017,awake,phase_surrogate,2,0.8312236286919831
1017,sed,phase_surrogate,2,0.6905766526019691
1017,sed2,phase_surrogate,2,0.5014245014245015
1022,awake,original,-1,0.8312236286919831
1022,sed,original,-1,0.6919831223628692
1022,sed2,original,-1,0.7037037037037038
1022,awake,phase_surrogate,0,0.8312236286919831
1022,sed,phase_surrogate,0,0.589310829817159
1022,sed2,phase_surrogate,0,0.5185185185185184
1022,awake,phase_surrogate,1,0.8312236286919831
1022,sed,phase_surrogate,1,0.5935302390998595
1022,sed2,phase_surrogate,1,0.5783475783475784
1022,awake,phase_surrogate,2,0.8312236286919831
1022,sed,phase_surrogate,2,0.6258790436005625
1022,sed2,phase_surrogate,2,0.47863247863247876
1024,awake,original,-1,0.8312236286919831
1024,sed,original,-1,0.731364275668073
1024,sed2,original,-1,0.7920227920227919
1024,awake,phase_surrogate,0,0.8312236286919831
1024,sed,phase_surrogate,0,0.5724331926863573
1024,sed2,phase_surrogate,0,0.5498575498575496
1024,awake,phase_surrogate,1,0.8312236286919831
1024,sed,phase_surrogate,1,0.5457102672292548
1024,sed2,phase_surrogate,1,0.5242165242165241
1024,awake,phase_surrogate,2,0.8312236286919831
1024,sed,phase_surrogate,2,0.5288326300984529
1024,sed2,phase_surrogate,2,0.5726495726495725
1033,awake,original,-1,0.8312236286919831
1033,sed,original,-1,0.28973277074542897
1033,sed2,original,-1,0.20797720797720798
1033,awake,phase_surrogate,0,0.8312236286919831
1033,sed,phase_surrogate,0,0.5330520393811533
1033,sed2,phase_surrogate,0,0.6182336182336183
1033,awake,phase_surrogate,1,0.8312236286919831
1033,sed,phase_surrogate,1,0.5471167369901548
1033,sed2,phase_surrogate,1,0.5413105413105413
1033,awake,phase_surrogate,2,0.8312236286919831
1033,sed,phase_surrogate,2,0.5527426160337554
1033,sed2,phase_surrogate,2,0.5555555555555556
1036,awake,original,-1,0.8312236286919831
1036,sed,original,-1,0.3473980309423348
1036,sed2,original,-1,0.5413105413105413
1036,awake,phase_surrogate,0,0.8312236286919831
1036,sed,phase_surrogate,0,0.5555555555555556
1036,sed2,phase_surrogate,0,0.792022792022792
1036,awake,phase_surrogate,1,0.8312236286919831
1036,sed,phase_surrogate,1,0.5583684950773559
1036,sed2,phase_surrogate,1,0.7692307692307694
1036,awake,phase_surrogate,2,0.8312236286919831
1036,sed,phase_surrogate,2,0.5400843881856541
1036,sed2,phase_surrogate,2,0.6894586894586895
1037,awake,original,-1,0.8312236286919831
1037,awake,phase_surrogate,0,0.8312236286919831
1037,awake,phase_surrogate,1,0.8312236286919831
