subject,condition,acq,run,filename,band,n_channels,duration_s,R_mean,D_mean,M_mean,Pi,Access_all,n_windows,theta_power,alpha_power,beta_power,gamma_power,alpha_gamma_ratio,spectral_entropy
1010,awake,EC,,sub-1010_task-awake_acq-EC_eeg.vhdr,alpha,62,120.0,0.1190477145520864,3.555520026393216,0.0033910281554377,0.8312236286919831,0.5864978902953587,237,0.1389906327377315,0.140137204711999,0.0811139869996638,0.0284073115240494,4.9331385896348,0.6564014034030043
1010,sed2,rest,1.0,sub-1010_task-sed2_acq-rest_run-1_eeg.vhdr,alpha,62,60.0,0.1069952108396961,2.943883305232236,0.0028973199790136,0.6780626780626781,0.2564102564102564,117,0.0721919439295017,0.1728830564205397,0.0336727155669597,0.0054779361310914,31.55988902604005,0.540227163134532
1010,sed2,rest,2.0,sub-1010_task-sed2_acq-rest_run-2_eeg.vhdr,alpha,62,60.0,0.0937195146265989,3.389044668664757,0.0023545567227039,0.6182336182336183,0.2905982905982906,117,0.0506846022182232,0.2888636283665404,0.1753085793279181,0.0121056044064918,23.861974887248905,0.7265580088217897
1010,sed2,rest,3.0,sub-1010_task-sed2_acq-rest_run-3_eeg.vhdr,alpha,62,60.0,0.1239348962948453,3.114715211774358,0.0038645291609733,0.8091168091168092,0.5128205128205128,117,0.0588468133876227,0.433241071021846,0.1293259673182412,0.0073806388068172,58.69967116707824,0.7456156990927846
1010,sed,rest,1.0,sub-1010_task-sed_acq-rest_run-1_eeg.vhdr,alpha,62,120.0,0.1401943329224902,2.9355871887702407,0.0088453146046338,0.6441631504922645,0.2109704641350211,237,0.0806225902307177,0.1333161995037022,0.0285086041017063,0.0044949840344488,29.65888164503547,0.507835164161007
1010,sed,rest,2.0,sub-1010_task-sed_acq-rest_run-2_eeg.vhdr,alpha,62,120.0,0.0920119551476374,3.718896645139342,0.002317105624707,0.5639943741209562,0.2236286919831223,237,0.0572910163756341,0.2193133876688459,0.2700600619106478,0.0543029719892345,4.038699533946058,0.8094693941720583
1010,sed,rest,3.0,sub-1010_task-sed_acq-rest_run-3_eeg.vhdr,alpha,62,120.0,0.1163358112489412,3.2283990541454064,0.0035848531327646,0.7946554149085794,0.4683544303797468,237,0.0588681250381223,0.4341007504503503,0.1276679754338711,0.0075222131795922,57.70917946999344,0.7517878525045297
1016,awake,EC,,sub-1016_task-awake_acq-EC_eeg.vhdr,alpha,62,120.0,0.100999565897364,3.460970146835693,0.0027807982372968,0.8312236286919831,0.6033755274261603,237,0.1580004018753958,0.3008165102847974,0.1374932044923048,0.0251616392281445,11.955362190248866,0.806705572355973
1016,sed2,rest,1.0,sub-1016_task-sed2_acq-rest_run-1_eeg.vhdr,alpha,62,60.0,0.1094896195723046,2.955954417864399,0.002867356026551,0.8888888888888888,0.7094017094017094,117,0.0489621870009129,0.0557097805573981,0.0090152340435582,0.0020465771126002,27.22095355566415,0.3784979314351464
1016,sed2,rest,2.0,sub-1016_task-sed2_acq-rest_run-2_eeg.vhdr,alpha,62,60.0,0.1050994310586211,3.047036736146832,0.0027701176494825,0.8632478632478633,0.6581196581196581,117,0.0574998918761495,0.0721205218374786,0.0123699482237595,0.0027501361156538,26.22434627898678,0.3960624240210297
1016,sed,rest,1.0,sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,alpha,62,120.0,0.1010978229236726,3.0237286221871864,0.0027869137770031,0.8396624472573839,0.6329113924050633,237,0.0942764841294993,0.3377527900468345,0.0851846459011898,0.0121815570107841,27.726569741462438,0.7283654600828146
1016,sed,rest,2.0,sub-1016_task-sed_acq-rest_run-2_eeg.vhdr,alpha,62,120.0,0.0996330492228394,2.929299419986294,0.0026692881652175,0.8199718706047819,0.5949367088607594,237,0.0933948212431744,0.3379283097505491,0.0917053545931265,0.0119518627193131,28.274112383855663,0.7181811782160337
1016,sed,rest,3.0,sub-1016_task-sed_acq-rest_run-3_eeg.vhdr,alpha,62,120.0,0.0967364464562795,3.1517734911807582,0.002600464963716,0.880450070323488,0.7088607594936709,237,0.0963730027153781,0.3099931092399561,0.0904476951744041,0.0118344737916701,26.194076278402463,0.7114404033705559
1017,awake,EC,,sub-1017_task-awake_acq-EC_eeg.vhdr,alpha,62,120.0,0.1303236879154004,3.517073122045883,0.0037030393616965,0.8312236286919831,0.5991561181434599,237,0.1888651964327918,0.3421427557261063,0.1264458467300233,0.0212735068642732,16.083044412607777,0.823135983441787
1017,sed2,rest,1.0,sub-1017_task-sed2_acq-rest_run-1_eeg.vhdr,alpha,62,60.0,0.102733491005048,3.538549975385178,0.002696851211673,0.8347578347578348,0.5982905982905983,117,0.0604643000372542,0.4987027472798255,0.1202138493525251,0.007278434651086,68.51785735781763,0.7465708574522993
