band,subject,target,chosen_filename,spectral_distance_to_awake,n_candidate_runs
alpha,1010,sed,sub-1010_task-sed_acq-rest_run-1_eeg.vhdr,2.9129920638174824,3
alpha,1010,sed2,sub-1010_task-sed2_acq-rest_run-1_eeg.vhdr,2.8460604049814635,3
alpha,1016,sed,sub-1016_task-sed_acq-rest_run-3_eeg.vhdr,2.1586213584235745,3
alpha,1016,sed2,sub-1016_task-sed2_acq-rest_run-2_eeg.vhdr,5.482380421755776,2
alpha,1017,sed,sub-1017_task-sed_acq-rest_run-1_eeg.vhdr,3.3921893662547666,2
alpha,1017,sed2,sub-1017_task-sed2_acq-rest_run-1_eeg.vhdr,3.9196055139062427,2
alpha,1022,sed,sub-1022_task-sed_acq-rest_run-1_eeg.vhdr,2.0972461956484802,3
alpha,1022,sed2,sub-1022_task-sed2_acq-rest_run-1_eeg.vhdr,3.1758157585761406,3
alpha,1024,sed,sub-1024_task-sed_acq-rest_run-3_eeg.vhdr,3.8855128244139405,3
alpha,1024,sed2,sub-1024_task-sed2_acq-rest_run-2_eeg.vhdr,3.782610742451776,3
alpha,1033,sed,sub-1033_task-sed_acq-rest_run-3_eeg.vhdr,2.8371023694023902,3
alpha,1033,sed2,sub-1033_task-sed2_acq-rest_run-2_eeg.vhdr,2.8136226951753778,3
alpha,1036,sed,sub-1036_task-sed_acq-rest_run-1_eeg.vhdr,4.908222435167677,2
alpha,1036,sed2,sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,5.158034174746026,1
alpha,1045,sed,sub-1045_task-sed_acq-rest_run-2_eeg.vhdr,2.8658108575851253,3
alpha,1045,sed2,sub-1045_task-sed2_acq-rest_run-2_eeg.vhdr,3.0283027898808395,3
alpha,1046,sed,sub-1046_task-sed_acq-rest_run-1_eeg.vhdr,3.209424397762651,2
alpha,1046,sed2,sub-1046_task-sed2_acq-rest_run-2_eeg.vhdr,2.0623964247928708,2
alpha,1054,sed,sub-1054_task-sed_acq-rest_run-2_eeg.vhdr,4.018088905134588,2
alpha,1054,sed2,sub-1054_task-sed2_acq-rest_run-2_eeg.vhdr,4.249344311385015,2
alpha,1055,sed,sub-1055_task-sed_acq-rest_run-2_eeg.vhdr,1.8680835814081134,2
alpha,1055,sed2,sub-1055_task-sed2_acq-rest_run-1_eeg.vhdr,1.910167560198266,2
alpha,1057,sed,sub-1057_task-sed_acq-rest_run-2_eeg.vhdr,2.5826083319337907,3
alpha,1057,sed2,sub-1057_task-sed2_acq-rest_run-2_eeg.vhdr,3.203001580062268,3
alpha,1060,sed,sub-1060_task-sed_acq-rest_run-3_eeg.vhdr,7.788656350543466,3
alpha,1060,sed2,sub-1060_task-sed2_acq-rest_run-2_eeg.vhdr,7.485275172465539,3
alpha,1061,sed,sub-1061_task-sed_acq-rest_run-3_eeg.vhdr,2.871651790669225,3
alpha,1061,sed2,sub-1061_task-sed2_acq-rest_run-3_eeg.vhdr,3.1142974737655567,3
alpha,1062,sed,sub-1062_task-sed_acq-rest_run-2_eeg.vhdr,1.9702957237426433,3
alpha,1062,sed2,sub-1062_task-sed2_acq-rest_run-2_eeg.vhdr,2.2735127065199414,3
alpha,1064,sed,sub-1064_task-sed_acq-rest_run-1_eeg.vhdr,4.98226396909623,3
alpha,1064,sed2,sub-1064_task-sed2_acq-rest_run-2_eeg.vhdr,3.3577934328946055,3
alpha,1067,sed,sub-1067_task-sed_acq-rest_run-1_eeg.vhdr,2.6682963086376956,3
alpha,1067,sed2,sub-1067_task-sed2_acq-rest_run-3_eeg.vhdr,1.3871319449486168,3
alpha,1068,sed,sub-1068_task-sed_acq-rest_run-1_eeg.vhdr,5.117761439160631,2
alpha,1068,sed2,sub-1068_task-sed2_acq-rest_run-1_eeg.vhdr,5.582880519520128,1
alpha,1071,sed,sub-1071_task-sed_acq-rest_run-2_eeg.vhdr,2.5805794134976003,3
alpha,1071,sed2,sub-1071_task-sed2_acq-rest_run-1_eeg.vhdr,3.2419206856109675,3
alpha,1074,sed,sub-1074_task-sed_acq-rest_run-2_eeg.vhdr,3.1577819654500914,3
alpha,1074,sed2,sub-1074_task-sed2_acq-rest_run-2_eeg.vhdr,2.154602484967778,3
gamma,1010,sed,sub-1010_task-sed_acq-rest_run-1_eeg.vhdr,2.9129920638174824,3
gamma,1010,sed2,sub-1010_task-sed2_acq-rest_run-1_eeg.vhdr,2.8460604049814635,3
gamma,1016,sed,sub-1016_task-sed_acq-rest_run-3_eeg.vhdr,2.1586213584235745,3
gamma,1016,sed2,sub-1016_task-sed2_acq-rest_run-2_eeg.vhdr,5.482380421755776,2
gamma,1017,sed,sub-1017_task-sed_acq-rest_run-1_eeg.vhdr,3.3921893662547666,2
gamma,1017,sed2,sub-1017_task-sed2_acq-rest_run-1_eeg.vhdr,3.9196055139062427,2
gamma,1022,sed,sub-1022_task-sed_acq-rest_run-1_eeg.vhdr,2.0972461956484802,3
gamma,1022,sed2,sub-1022_task-sed2_acq-rest_run-1_eeg.vhdr,3.1758157585761406,3
gamma,1024,sed,sub-1024_task-sed_acq-rest_run-3_eeg.vhdr,3.8855128244139405,3
gamma,1024,sed2,sub-1024_task-sed2_acq-rest_run-2_eeg.vhdr,3.782610742451776,3
gamma,1033,sed,sub-1033_task-sed_acq-rest_run-3_eeg.vhdr,2.8371023694023902,3
gamma,1033,sed2,sub-1033_task-sed2_acq-rest_run-2_eeg.vhdr,2.8136226951753778,3
gamma,1036,sed,sub-1036_task-sed_acq-rest_run-1_eeg.vhdr,4.908222435167677,2
gamma,1036,sed2,sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,5.158034174746026,1
gamma,1045,sed,sub-1045_task-sed_acq-rest_run-2_eeg.vhdr,2.8658108575851253,3
gamma,1045,sed2,sub-1045_task-sed2_acq-rest_run-2_eeg.vhdr,3.0283027898808395,3
gamma,1046,sed,sub-1046_task-sed_acq-rest_run-1_eeg.vhdr,3.209424397762651,2
gamma,1046,sed2,sub-1046_task-sed2_acq-rest_run-2_eeg.vhdr,2.0623964247928708,2
gamma,1054,sed,sub-1054_task-sed_acq-rest_run-2_eeg.vhdr,4.018088905134588,2
gamma,1054,sed2,sub-1054_task-sed2_acq-rest_run-2_eeg.vhdr,4.249344311385015,2
gamma,1055,sed,sub-1055_task-sed_acq-rest_run-2_eeg.vhdr,1.8680835814081134,2
gamma,1055,sed2,sub-1055_task-sed2_acq-rest_run-1_eeg.vhdr,1.910167560198266,2
gamma,1057,sed,sub-1057_task-sed_acq-rest_run-2_eeg.vhdr,2.5826083319337907,3
gamma,1057,sed2,sub-1057_task-sed2_acq-rest_run-2_eeg.vhdr,3.203001580062268,3
gamma,1060,sed,sub-1060_task-sed_acq-rest_run-3_eeg.vhdr,7.788656350543466,3
gamma,1060,sed2,sub-1060_task-sed2_acq-rest_run-2_eeg.vhdr,7.485275172465539,3
gamma,1061,sed,sub-1061_task-sed_acq-rest_run-3_eeg.vhdr,2.871651790669225,3
gamma,1061,sed2,sub-1061_task-sed2_acq-rest_run-3_eeg.vhdr,3.1142974737655567,3
gamma,1062,sed,sub-1062_task-sed_acq-rest_run-2_eeg.vhdr,1.9702957237426433,3
gamma,1062,sed2,sub-1062_task-sed2_acq-rest_run-2_eeg.vhdr,2.2735127065199414,3
gamma,1064,sed,sub-1064_task-sed_acq-rest_run-1_eeg.vhdr,4.98226396909623,3
gamma,1064,sed2,sub-1064_task-sed2_acq-rest_run-2_eeg.vhdr,3.3577934328946055,3
gamma,1067,sed,sub-1067_task-sed_acq-rest_run-1_eeg.vhdr,2.6682963086376956,3
gamma,1067,sed2,sub-1067_task-sed2_acq-rest_run-3_eeg.vhdr,1.3871319449486168,3
gamma,1068,sed,sub-1068_task-sed_acq-rest_run-1_eeg.vhdr,5.117761439160631,2
gamma,1068,sed2,sub-1068_task-sed2_acq-rest_run-1_eeg.vhdr,5.582880519520128,1
gamma,1071,sed,sub-1071_task-sed_acq-rest_run-2_eeg.vhdr,2.5805794134976003,3
gamma,1071,sed2,sub-1071_task-sed2_acq-rest_run-1_eeg.vhdr,3.2419206856109675,3
gamma,1074,sed,sub-1074_task-sed_acq-rest_run-2_eeg.vhdr,3.1577819654500914,3
gamma,1074,sed2,sub-1074_task-sed2_acq-rest_run-2_eeg.vhdr,2.154602484967778,3
