band,direction,model,n_train,n_test,auc,balanced_accuracy,n,log_loss
alpha,Chennu_to_DS005620,spectral_all,40,61,0.775,0.775,61,0.9295568043334671
alpha,Chennu_to_DS005620,gcc_triad_plus_pi,40,61,0.625,0.75,61,1.1689944751363148
alpha,Chennu_to_DS005620,spectral_all_plus_gcc,40,61,0.55,0.725,61,2.348209301684598
alpha,Chennu_to_DS005620,residual_gcc_after_spectral_all,40,61,0.25,0.6125,61,3.1426521588890783
alpha,Chennu_to_DS005620,residual_pi_after_spectral_all,40,61,0.4,0.7,61,0.788785566174543
alpha,DS005620_to_Chennu,spectral_all,61,40,0.75,0.675,40,1.0508176369688378
alpha,DS005620_to_Chennu,gcc_triad_plus_pi,61,40,0.75,0.725,40,0.5825987819819585
alpha,DS005620_to_Chennu,spectral_all_plus_gcc,61,40,0.7,0.675,40,1.0090334141977957
alpha,DS005620_to_Chennu,residual_gcc_after_spectral_all,61,40,0.55,0.775,40,0.6598026525880968
alpha,DS005620_to_Chennu,residual_pi_after_spectral_all,61,40,0.5,0.725,40,0.6663470274323426
gamma,Chennu_to_DS005620,spectral_all,40,61,0.775,0.775,61,0.9295568043334671
gamma,Chennu_to_DS005620,gcc_triad_plus_pi,40,61,0.8,0.9,61,1.3496038077591461
gamma,Chennu_to_DS005620,spectral_all_plus_gcc,40,61,0.775,0.8875,61,1.489362370400322
gamma,Chennu_to_DS005620,residual_gcc_after_spectral_all,40,61,0.55,0.775,61,2.474866851250143
gamma,Chennu_to_DS005620,residual_pi_after_spectral_all,40,61,0.6,0.7875,61,1.4745079477917022
gamma,DS005620_to_Chennu,spectral_all,61,40,0.75,0.675,40,1.0508176369688378
gamma,DS005620_to_Chennu,gcc_triad_plus_pi,61,40,0.85,0.7,40,0.6832257770073273
gamma,DS005620_to_Chennu,spectral_all_plus_gcc,61,40,0.75,0.65,40,1.028823720272328
gamma,DS005620_to_Chennu,residual_gcc_after_spectral_all,61,40,0.4,0.7,40,0.7073786998599196
gamma,DS005620_to_Chennu,residual_pi_after_spectral_all,61,40,0.35,0.65,40,0.7162837273816377
