dataset,band,scope,model,auc,balanced_accuracy,n,log_loss
Chennu,alpha,within_dataset_LOSO,gcc_pi,0.8099999999999999,0.8,40,0.5841368877044081
Chennu,alpha,within_dataset_LOSO,gcc_triad_plus_pi,0.7525,0.825,40,0.564769304487658
Chennu,alpha,within_dataset_LOSO,residual_gcc_after_spectral_all,0.65,0.825,40,0.8763345955057403
Chennu,alpha,within_dataset_LOSO,residual_pi_after_spectral_all,0.5762499999999999,0.75,40,0.7099290174577038
Chennu,alpha,within_dataset_LOSO,spectral_all,0.95,0.875,40,0.4190460587191288
Chennu,alpha,within_dataset_LOSO,spectral_all_plus_gcc,1.0,0.925,40,0.1986711098416842
Chennu,alpha,within_dataset_LOSO,spectral_bandpower,0.915,0.9,40,0.41974729723845544
DS005620,alpha,within_dataset_LOSO,gcc_pi,0.85,0.875,61,0.48252621540042506
DS005620,alpha,within_dataset_LOSO,gcc_triad_plus_pi,0.825,0.8375,61,0.7663373734559045
DS005620,alpha,within_dataset_LOSO,residual_gcc_after_spectral_all,0.5547619047619048,0.75,61,0.9398552152860994
DS005620,alpha,within_dataset_LOSO,residual_pi_after_spectral_all,0.475,0.7375,61,0.6978527717604417
DS005620,alpha,within_dataset_LOSO,spectral_all,0.9773809523809524,0.975,61,0.1362133857331869
DS005620,alpha,within_dataset_LOSO,spectral_all_plus_gcc,0.975,0.975,61,0.17994541292787022
DS005620,alpha,within_dataset_LOSO,spectral_bandpower,0.975,0.8875,61,0.3115848293775288
Chennu,gamma,within_dataset_LOSO,gcc_pi,0.8700000000000001,0.8,40,0.4545966965361402
Chennu,gamma,within_dataset_LOSO,gcc_triad_plus_pi,0.9,0.875,40,0.3698477140451867
Chennu,gamma,within_dataset_LOSO,residual_gcc_after_spectral_all,0.8,0.85,40,0.7128283840404278
Chennu,gamma,within_dataset_LOSO,residual_pi_after_spectral_all,0.75,0.825,40,0.706780986452132
Chennu,gamma,within_dataset_LOSO,spectral_all,0.95,0.875,40,0.4190460587191288
Chennu,gamma,within_dataset_LOSO,spectral_all_plus_gcc,0.9025000000000001,0.9,40,0.30493207300464453
Chennu,gamma,within_dataset_LOSO,spectral_bandpower,0.915,0.9,40,0.41974729723845544
DS005620,gamma,within_dataset_LOSO,gcc_pi,1.0,0.9625,61,0.18228697098974556
DS005620,gamma,within_dataset_LOSO,gcc_triad_plus_pi,0.975,0.95,61,0.23159591119384673
DS005620,gamma,within_dataset_LOSO,residual_gcc_after_spectral_all,0.6928571428571428,0.775,61,0.7308537706732565
DS005620,gamma,within_dataset_LOSO,residual_pi_after_spectral_all,0.588095238095238,0.775,61,0.6932360798034293
DS005620,gamma,within_dataset_LOSO,spectral_all,0.9773809523809524,0.975,61,0.1362133857331869
DS005620,gamma,within_dataset_LOSO,spectral_all_plus_gcc,1.0,0.975,61,0.10120030046148357
DS005620,gamma,within_dataset_LOSO,spectral_bandpower,0.975,0.8875,61,0.3115848293775288
