dataset,band,caliper_quantile,n_pairs,n_subjects,spectral_norm_cutoff,mean_abs_spectral_delta,model,auc,balanced_accuracy,n,log_loss
Chennu,alpha,0.25,5,5,1.0430397830584783,0.5517389995735943,pi_sign_rule_no_fit,0.8,0.5,10,2.9929379978491317
Chennu,alpha,0.25,5,5,1.0430397830584783,0.5517389995735943,gcc_triad_plus_pi,0.48000000000000004,0.7,10,0.7771346988868838
Chennu,alpha,0.25,5,5,1.0430397830584783,0.5517389995735943,residual_gcc_after_spectral_all,0.6,0.8,10,2.872277994082932
Chennu,alpha,0.25,5,5,1.0430397830584783,0.5517389995735943,spectral_all,1.0,0.9,10,0.214833255754561
Chennu,alpha,0.5,10,10,2.0044954578226504,1.6517010453315892,pi_sign_rule_no_fit,0.8,0.5,20,2.7419637137517947
Chennu,alpha,0.5,10,10,2.0044954578226504,1.6517010453315892,gcc_triad_plus_pi,0.73,0.8,20,0.6030479778595572
Chennu,alpha,0.5,10,10,2.0044954578226504,1.6517010453315892,residual_gcc_after_spectral_all,0.7,0.85,20,0.6780522663760656
Chennu,alpha,0.5,10,10,2.0044954578226504,1.6517010453315892,spectral_all,1.0,0.9,20,0.28457892327380396
Chennu,alpha,0.75,15,15,3.0480223590275477,3.2815034034479638,pi_sign_rule_no_fit,0.8,0.5,30,2.6112125935450177
Chennu,alpha,0.75,15,15,3.0480223590275477,3.2815034034479638,gcc_triad_plus_pi,0.8666666666666667,0.8666666666666667,30,0.47163598348897373
Chennu,alpha,0.75,15,15,3.0480223590275477,3.2815034034479638,residual_gcc_after_spectral_all,0.6888888888888889,0.8,30,0.6698865471559301
Chennu,alpha,0.75,15,15,3.0480223590275477,3.2815034034479638,spectral_all,1.0,0.9,30,0.27364456930558834
DS005620,alpha,0.25,10,6,1.5109303751797296,3.576143484539933,pi_sign_rule_no_fit,0.7,0.5,20,2.859008731392401
DS005620,alpha,0.25,10,6,1.5109303751797296,3.576143484539933,gcc_triad_plus_pi,0.81,0.8,20,0.49082925874251415
DS005620,alpha,0.25,10,6,1.5109303751797296,3.576143484539933,residual_gcc_after_spectral_all,0.5,0.75,20,1.3061211268114825
DS005620,alpha,0.25,10,6,1.5109303751797296,3.576143484539933,spectral_all,1.0,1.0,20,0.06061760444455912
DS005620,alpha,0.5,20,14,2.248612005849766,4.87767986004818,pi_sign_rule_no_fit,0.8,0.5,40,2.177285792152066
DS005620,alpha,0.5,20,14,2.248612005849766,4.87767986004818,gcc_triad_plus_pi,0.7024999999999999,0.75,40,0.9422275377911994
DS005620,alpha,0.5,20,14,2.248612005849766,4.87767986004818,residual_gcc_after_spectral_all,0.555,0.775,40,0.6712658397621226
DS005620,alpha,0.5,20,14,2.248612005849766,4.87767986004818,spectral_all,1.0,1.0,40,0.06748938314910677
DS005620,alpha,0.75,30,17,2.7571002887378295,4.913414416463163,pi_sign_rule_no_fit,0.8666666666666667,0.5,60,1.7035137182169302
DS005620,alpha,0.75,30,17,2.7571002887378295,4.913414416463163,gcc_triad_plus_pi,0.8044444444444445,0.85,60,0.7045669907827552
DS005620,alpha,0.75,30,17,2.7571002887378295,4.913414416463163,residual_gcc_after_spectral_all,0.591111111111111,0.7666666666666666,60,0.7346802894898479
DS005620,alpha,0.75,30,17,2.7571002887378295,4.913414416463163,spectral_all,1.0,0.9666666666666667,60,0.08068101133726954
Chennu,gamma,0.25,5,5,1.0430397830584783,0.5517389995735943,pi_sign_rule_no_fit,0.8,0.5,10,2.6910238026203532
Chennu,gamma,0.25,5,5,1.0430397830584783,0.5517389995735943,gcc_triad_plus_pi,1.0,0.9,10,0.2015837625637976
Chennu,gamma,0.25,5,5,1.0430397830584783,0.5517389995735943,residual_gcc_after_spectral_all,0.2,0.6,10,5.6488011876518
Chennu,gamma,0.25,5,5,1.0430397830584783,0.5517389995735943,spectral_all,1.0,0.9,10,0.214833255754561
Chennu,gamma,0.5,10,10,2.0044954578226504,1.6517010453315892,pi_sign_rule_no_fit,0.9,0.5,20,2.0929922873886357
Chennu,gamma,0.5,10,10,2.0044954578226504,1.6517010453315892,gcc_triad_plus_pi,1.0,0.85,20,0.30471190512703883
Chennu,gamma,0.5,10,10,2.0044954578226504,1.6517010453315892,residual_gcc_after_spectral_all,0.6,0.8,20,0.7424188237961553
Chennu,gamma,0.5,10,10,2.0044954578226504,1.6517010453315892,spectral_all,1.0,0.9,20,0.28457892327380396
Chennu,gamma,0.75,15,15,3.0480223590275477,3.2815034034479638,pi_sign_rule_no_fit,0.9333333333333333,0.5,30,1.7929694007251327
Chennu,gamma,0.75,15,15,3.0480223590275477,3.2815034034479638,gcc_triad_plus_pi,0.9333333333333333,0.8666666666666667,30,0.36549231389277115
Chennu,gamma,0.75,15,15,3.0480223590275477,3.2815034034479638,residual_gcc_after_spectral_all,0.6044444444444443,0.8,30,1.1686326913188951
Chennu,gamma,0.75,15,15,3.0480223590275477,3.2815034034479638,spectral_all,1.0,0.9,30,0.27364456930558834
DS005620,gamma,0.25,10,6,1.5109303751797296,3.576143484539933,pi_sign_rule_no_fit,1.0,0.6,20,0.6507535204987704
DS005620,gamma,0.25,10,6,1.5109303751797296,3.576143484539933,gcc_triad_plus_pi,0.9000000000000001,0.85,20,0.978065593541691
DS005620,gamma,0.25,10,6,1.5109303751797296,3.576143484539933,residual_gcc_after_spectral_all,0.2,0.6,20,0.9041109110596564
DS005620,gamma,0.25,10,6,1.5109303751797296,3.576143484539933,spectral_all,1.0,1.0,20,0.06061760444455912
DS005620,gamma,0.5,20,14,2.248612005849766,4.87767986004818,pi_sign_rule_no_fit,1.0,0.65,40,0.5594072909170154
DS005620,gamma,0.5,20,14,2.248612005849766,4.87767986004818,gcc_triad_plus_pi,0.95,0.95,40,0.38119270928006044
DS005620,gamma,0.5,20,14,2.248612005849766,4.87767986004818,residual_gcc_after_spectral_all,0.5,0.725,40,0.6923728409057415
DS005620,gamma,0.5,20,14,2.248612005849766,4.87767986004818,spectral_all,1.0,1.0,40,0.06748938314910677
DS005620,gamma,0.75,30,17,2.7571002887378295,4.913414416463163,pi_sign_rule_no_fit,1.0,0.6166666666666667,60,0.5987278463238517
DS005620,gamma,0.75,30,17,2.7571002887378295,4.913414416463163,gcc_triad_plus_pi,0.9666666666666667,0.95,60,0.36501715178285743
DS005620,gamma,0.75,30,17,2.7571002887378295,4.913414416463163,residual_gcc_after_spectral_all,0.5377777777777777,0.7333333333333334,60,0.676956495454151
DS005620,gamma,0.75,30,17,2.7571002887378295,4.913414416463163,spectral_all,1.0,0.9666666666666667,60,0.08068101133726954
