,,R_mean,R_mean,R_mean,D_eff_mean,D_eff_mean,D_eff_mean,M_tau_mean,M_tau_mean,M_tau_mean,mean_wpli,mean_wpli,mean_wpli,band_power_mean,band_power_mean,band_power_mean,mmse,mmse,mmse,age,age,age
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
band,group,,,,,,,,,,,,,,,,,,,,,
alpha,A,0.7300962835134666,0.10327314870744474,36,2.122772705933892,0.6309996238301789,36,0.21344774983324058,0.02143895536384258,36,0.11711374568600433,0.10621063318068592,36,1.957312633407845e-11,9.877162141024647e-12,36,17.75,4.5,36,66.38888888888889,7.889514842146155,36
alpha,C,0.641869754398593,0.1105066777753631,29,2.5585026455554414,0.5883790164195942,29,0.2261323293366729,0.0170601148773174,29,0.19341078866899472,0.11047470873821551,29,3.5845860904373714e-11,2.5226322266283875e-11,29,30.0,0.0,29,67.89655172413794,5.40069325964075,29
alpha,F,0.7184015728388916,0.10969994754486127,23,2.2239073359297135,0.6828375184160532,23,0.2154543626194184,0.025163384259023973,23,0.1146827694772827,0.09442684363588612,23,2.033323448036446e-11,1.0993200579385722e-11,23,22.17391304347826,2.6397688244693542,23,63.65217391304348,8.221969989840268,23
beta,A,0.7356278318946179,0.0652057606939275,36,2.153542572194973,0.5377850458200255,36,0.21214983755544375,0.014092977146018301,36,0.04858881387188402,0.029609256567291957,36,1.4358682015855238e-11,5.5570000738214525e-12,36,17.75,4.5,36,66.38888888888889,7.889514842146155,36
beta,C,0.6873607931062812,0.06316849029718956,29,2.5434797739436217,0.5972556488649833,29,0.22460242834644675,0.011282954249250497,29,0.04807686385277283,0.025008489292129153,29,1.7358451806709307e-11,1.2471058817839834e-11,29,30.0,0.0,29,67.89655172413794,5.40069325964075,29
beta,F,0.7191558427288635,0.08875740663818392,23,2.349120484370808,0.8568819488511364,23,0.2096065300886834,0.017342927695550448,23,0.047873969174277005,0.031053364055377876,23,1.9180649191597094e-11,1.795362087452107e-11,23,22.17391304347826,2.6397688244693542,23,63.65217391304348,8.221969989840268,23
low_gamma,A,0.691818145204658,0.07265171236990885,36,2.492282166736759,0.6412186613799,36,0.20626530260842696,0.012420912782851162,36,0.051564736553285674,0.03734275277195573,36,6.233431618537643e-12,5.892396148501402e-12,36,17.75,4.5,36,66.38888888888889,7.889514842146155,36
low_gamma,C,0.6917799888899342,0.06464950389971953,29,2.494750184678737,0.6088623620192944,29,0.2135522143874667,0.010087351165142143,29,0.043778496531792506,0.02591404800107756,29,5.088755419895255e-12,4.668919186518869e-12,29,30.0,0.0,29,67.89655172413794,5.40069325964075,29
low_gamma,F,0.6827514613968316,0.092633093572834,23,2.5738163810007504,0.8876508752866694,23,0.20011622672972823,0.01469877096205844,23,0.056674729736898556,0.05572431543880023,23,1.0675073364581997e-11,1.618514369010133e-11,23,22.17391304347826,2.6397688244693542,23,63.65217391304348,8.221969989840268,23
theta,A,0.8520416889521726,0.08358552084856977,36,1.4928935260509029,0.4310797544967507,36,0.16807982196334442,0.042860165318134406,36,0.05770360816864945,0.034064489004862315,36,3.6103490221262486e-11,1.0944172340577503e-11,36,17.75,4.5,36,66.38888888888889,7.889514842146155,36
theta,C,0.9264630916856333,0.02717356053342207,29,1.164629837243554,0.08966158372492548,29,0.12447564253328433,0.02399737677949537,29,0.03013023884198812,0.009920631877241869,29,3.2081406103362187e-11,1.365683864599949e-11,29,30.0,0.0,29,67.89655172413794,5.40069325964075,29
theta,F,0.8865744124892777,0.08035774600275819,23,1.354939029262982,0.43010907342415183,23,0.14557637605485035,0.04454526192373002,23,0.046607410865906446,0.018147228459414695,23,3.181096596576342e-11,6.900104501789704e-12,23,22.17391304347826,2.6397688244693542,23,63.65217391304348,8.221969989840268,23
