band,feature,n,spearman_rho,p_value
low_gamma,mean_wpli,59,0.32918925728925863,0.01090153143553761
alpha,M_tau_mean,59,0.2361491180842746,0.07175853271577878
beta,mean_wpli,59,0.23086308400240832,0.07854335291295553
beta,D_eff_mean,59,0.21637103550830294,0.09976785087322877
beta,R_mean,59,-0.2140546834949008,0.10353838272533472
low_gamma,band_power_mean,59,0.20576927052388566,0.11793281491116551
beta,band_power_mean,59,0.1861396720513372,0.15808406368657155
alpha,D_eff_mean,59,0.17452821516364211,0.1861460638656281
theta,band_power_mean,59,-0.15596770223574072,0.23815404768002826
alpha,R_mean,59,-0.15204772190536797,0.2503040635998259
theta,M_tau_mean,59,-0.1386247589559097,0.2950625570700292
beta,M_tau_mean,59,0.13648658786661547,0.30264602628663023
theta,R_mean,59,0.1266569402199989,0.33911682453362524
alpha,band_power_mean,59,0.12181635844840222,0.3580441933328792
alpha,mean_wpli,59,0.11709456395954411,0.3771173983566337
theta,D_eff_mean,59,-0.1162333561596895,0.3806607389841908
low_gamma,R_mean,59,-0.11281822178095564,0.39490674697905404
low_gamma,D_eff_mean,59,0.09811829554205777,0.4597113726660066
theta,mean_wpli,59,-0.08329958202042131,0.5305033692619722
low_gamma,M_tau_mean,59,-0.01606597999039142,0.9038712413840833
