subject,subject_brier,subject_log_loss,n_rows,task_name,model
sub-02,0.0015139123793575819,0.033314691301331543,3,awake_base1_vs_lor,confounds_motion_propofol
sub-03,0.001370779711955707,0.031499422910612536,3,awake_base1_vs_lor,confounds_motion_propofol
sub-04,0.0019402510467423637,0.03456739909662197,3,awake_base1_vs_lor,confounds_motion_propofol
sub-05,0.0003962196853610236,0.019117155433778277,3,awake_base1_vs_lor,confounds_motion_propofol
sub-06,0.002759522554773885,0.041279101679154676,3,awake_base1_vs_lor,confounds_motion_propofol
sub-07,0.002249576857834526,0.03887894895510328,3,awake_base1_vs_lor,confounds_motion_propofol
sub-11,0.024532864647166,0.14109214292068892,3,awake_base1_vs_lor,confounds_motion_propofol
sub-12,0.0007818237791709077,0.027314910530455944,3,awake_base1_vs_lor,confounds_motion_propofol
sub-13,0.00038644302976418703,0.019723298639964384,3,awake_base1_vs_lor,confounds_motion_propofol
sub-14,0.017839457062856282,0.12451868970789821,3,awake_base1_vs_lor,confounds_motion_propofol
sub-15,0.1681732282132585,0.46895787236731984,3,awake_base1_vs_lor,confounds_motion_propofol
sub-16,0.00015692926973635065,0.009352511204459013,2,awake_base1_vs_lor,confounds_motion_propofol
sub-17,0.01498070572181171,0.11428058750215835,3,awake_base1_vs_lor,confounds_motion_propofol
sub-18,0.00011641474330682909,0.008162909313089113,3,awake_base1_vs_lor,confounds_motion_propofol
sub-19,0.08844168922147588,0.2527928861096957,3,awake_base1_vs_lor,confounds_motion_propofol
sub-20,9.117770295882858e-05,0.005835385873995089,3,awake_base1_vs_lor,confounds_motion_propofol
sub-21,0.00014846869093908846,0.010786669134749023,3,awake_base1_vs_lor,confounds_motion_propofol
sub-22,0.0001109083874963347,0.008098031794862822,3,awake_base1_vs_lor,confounds_motion_propofol
sub-23,0.0001272657180454424,0.008879673523386967,3,awake_base1_vs_lor,confounds_motion_propofol
sub-24,0.004298813132562299,0.056172413825940265,3,awake_base1_vs_lor,confounds_motion_propofol
sub-25,0.00015034406612960094,0.009302844897767422,3,awake_base1_vs_lor,confounds_motion_propofol
sub-26,0.0005209351208384541,0.02293326568097104,3,awake_base1_vs_lor,confounds_motion_propofol
sub-27,0.0016758854524913716,0.038117043719752386,3,awake_base1_vs_lor,confounds_motion_propofol
sub-28,0.0001999517950498402,0.011811034276482954,3,awake_base1_vs_lor,confounds_motion_propofol
sub-29,0.00018844596912926333,0.008022921577474862,3,awake_base1_vs_lor,confounds_motion_propofol
sub-30,0.00026890087687696614,0.014505447970114804,3,awake_base1_vs_lor,confounds_motion_propofol
sub-02,0.0010449463297857531,0.028266024378225906,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-03,0.0016878476932485527,0.032859396698241984,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-04,0.001819993058957606,0.034287359849858236,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-05,0.0005559325868840975,0.02253006974598476,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-06,0.004908468506893921,0.050965158332597314,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-07,0.0013275842950089217,0.030839686133425703,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-11,0.014067977867564044,0.11274807028760037,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-12,0.0007455459417838286,0.02705090000332906,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-13,0.0003639099940670564,0.018537540229584065,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-14,0.02325898841178704,0.1405845083910667,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-15,0.1195884984398096,0.3697241551527107,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-16,0.00012623134727897476,0.008253792560835553,2,awake_base1_vs_lor,standard_fc_plus_confounds
sub-17,0.017336745193538654,0.12054845118506308,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-18,6.053420647795187e-05,0.006908721445076507,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-19,0.11053774865733858,0.2978442484368335,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-20,0.0002501491092753907,0.009686638229680281,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-21,0.00018248857075844167,0.011402692764625104,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-22,7.905257819202493e-05,0.006959753725015516,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-23,4.5350486124607167e-05,0.005818329283932769,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-24,0.00528219549421697,0.05903706497161254,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-25,0.00026425854069609935,0.011614508214848903,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-26,0.0004733953980619477,0.021817632812647786,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-27,0.0017318472099610604,0.03770619547799502,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-28,0.00013298386296987566,0.00935458497201816,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-29,0.00012189235396948979,0.00643875484100873,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-30,0.0002276104774125993,0.013826848047622416,3,awake_base1_vs_lor,standard_fc_plus_confounds
sub-02,0.0007300298733557502,0.023565765476953836,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-03,0.0017201367393280974,0.03177624236616632,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-04,0.0018056968387663512,0.03450530879706309,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-05,0.0006107055024273154,0.023762945247437245,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-06,0.005817942213851398,0.05357276770727835,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-07,0.0007387914074074646,0.024507328249070242,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-11,0.009920745411275031,0.09408383656121537,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-12,0.0007529830748880988,0.027486402661131653,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-13,0.0002892152624718156,0.016307785660709517,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-14,0.02774648680340432,0.15411580891801777,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-15,0.08136049271798033,0.2889332812680803,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-16,7.957389069566573e-05,0.006652464068059046,2,awake_base1_vs_lor,gcc_core_plus_confounds
sub-17,0.02095255286923728,0.12749905618588464,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-18,6.0719862670383065e-05,0.007768849376083936,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-19,0.1127211000960932,0.30564828441614994,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-20,0.00039923619789316396,0.01267391084436778,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-21,0.00015363273919554314,0.010545745926726252,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-22,5.356729539925744e-05,0.006568941657767914,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-23,1.6331887259519443e-05,0.0037963663164550126,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-24,0.0064223684196419405,0.06028075496809953,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-25,0.00045530506245182743,0.014723194429712339,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-26,0.0005580015494125978,0.023302578019534986,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-27,0.002286808825538413,0.042021579419075215,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-28,7.412310644407687e-05,0.00696646719092401,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-29,6.366160035177831e-05,0.004643189542719129,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-30,0.00019545307283050297,0.013455032680488857,3,awake_base1_vs_lor,gcc_core_plus_confounds
sub-02,0.00039256567314929655,0.018647294747003433,3,awake_base1_vs_lor,gcc_regime_plus_confounds
sub-03,0.0008170398234108623,0.024463825599827665,3,awake_base1_vs_lor,gcc_regime_plus_confounds
sub-04,0.0019593609039174876,0.0348512255710084,3,awake_base1_vs_lor,gcc_regime_plus_confounds
sub-05,0.0005595082882607475,0.02169529434390723,3,awake_base1_vs_lor,gcc_regime_plus_confounds
sub-06,0.0028857850152696363,0.039034722858075806,3,awake_base1_vs_lor,gcc_regime_plus_confounds
sub-07,0.00044304273023459067,0.02072555833162312,3,awake_base1_vs_lor,gcc_regime_plus_confounds
