n_rows,n_subjects,positive_rate,roc_auc,average_precision,balanced_accuracy,accuracy,brier,log_loss,task_name,model,features,combo,gsr,atlas,n_permutations,auc_permutation_p,balanced_accuracy_permutation_p,log_loss_permutation_p
38,19,0.5,0.9778393351800554,0.9769061133225216,0.8947368421052632,0.8947368421052632,0.0664568728485686,0.208955332225533,lor_vs_ror_task3,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withGSR_4S156,with_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9856,0.9879833333333334,0.96,0.96,0.041991115116574,0.1616943201057276,prelor_vs_lor_task2,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc",withGSR_4S156,with_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9697712418300654,0.9487362042126508,0.8838848039215685,0.8843537414965986,0.0732550296277811,0.227295808296623,responsive_vs_lor_all_phases,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withGSR_4S156,with_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9861495844875346,0.986800334168755,0.8947368421052632,0.8947368421052632,0.0554567627722844,0.1784839959733287,lor_vs_ror_task3,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,0.0001999800019998,9.999000099990002e-05
50,25,0.5,0.9856,0.9879833333333334,0.96,0.96,0.0421469752719029,0.1603638272781667,prelor_vs_lor_task2,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9685457516339868,0.9458881035996534,0.8936887254901961,0.891156462585034,0.0744733497230135,0.2330809861172906,responsive_vs_lor_all_phases,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withGSR_4S256,with_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9806094182825486,0.983341028008618,0.9210526315789472,0.9210526315789472,0.0562108469553597,0.1928144094824688,lor_vs_ror_task3,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9888,0.9906580645161293,0.96,0.96,0.0493064776028799,0.1884160963288278,prelor_vs_lor_task2,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9826388888888888,0.9687872136998432,0.928921568627451,0.9251700680272108,0.0555350761152512,0.1803718294884091,responsive_vs_lor_all_phases,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9722991689750692,0.976925647451963,0.8947368421052632,0.8947368421052632,0.0732260760699781,0.2339701606567897,lor_vs_ror_task3,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9904,0.9922580645161292,0.96,0.96,0.0478324796715393,0.1833730143222227,prelor_vs_lor_task2,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.979983660130719,0.9658163178394238,0.9237132352941176,0.9183673469387756,0.0605830839371219,0.1932417898498757,responsive_vs_lor_all_phases,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
