n_rows,n_subjects,positive_rate,roc_auc,average_precision,balanced_accuracy,accuracy,brier,log_loss,task_name,model,features,combo,gsr,atlas,n_permutations,auc_permutation_p,balanced_accuracy_permutation_p,log_loss_permutation_p
147,26,0.3469387755102041,0.9675245098039216,0.945760822274165,0.889093137254902,0.891156462585034,0.0733100292577035,0.2344014244692642,responsive_vs_lor_all_phases,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9763071895424836,0.9564676222375124,0.9237132352941176,0.9183673469387756,0.0617506640098591,0.2000237407604448,responsive_vs_lor_all_phases,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9826388888888888,0.9687872136998432,0.928921568627451,0.9251700680272108,0.0555350761152512,0.1803718294884091,responsive_vs_lor_all_phases,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9797794117647058,0.965502891280179,0.928921568627451,0.9251700680272108,0.0584740897030625,0.1888387479372503,responsive_vs_lor_all_phases,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9789624183006536,0.9637655231322108,0.928921568627451,0.9251700680272108,0.0587186058208168,0.189538477634803,responsive_vs_lor_all_phases,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9808,0.9870270270270272,0.98,0.98,0.050116009133361,0.204285406101756,prelor_vs_lor_task2,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9872,0.9903030303030304,0.98,0.98,0.050182927406834,0.1968811842465211,prelor_vs_lor_task2,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9888,0.9906580645161293,0.96,0.96,0.0493064776028799,0.1884160963288278,prelor_vs_lor_task2,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9888,0.9906580645161293,0.94,0.94,0.0523961646567649,0.1957803582519372,prelor_vs_lor_task2,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9888,0.9906580645161293,0.94,0.94,0.0531216004284823,0.1970592182604081,prelor_vs_lor_task2,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9556786703601108,0.9674855554678798,0.9210526315789472,0.9210526315789472,0.0784233306543368,0.2625570451364868,lor_vs_ror_task3,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.969529085872576,0.9762605815237392,0.9210526315789472,0.9210526315789472,0.0694300154985358,0.2352021780648147,lor_vs_ror_task3,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9750692520775625,0.97984962406015,0.9210526315789472,0.9210526315789472,0.063779782642546,0.2139591019437711,lor_vs_ror_task3,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9778393351800554,0.9816743613419512,0.9210526315789472,0.9210526315789472,0.0571221729564112,0.1978576858127197,lor_vs_ror_task3,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9806094182825486,0.983341028008618,0.9210526315789472,0.9210526315789472,0.0562108469553597,0.1928144094824688,lor_vs_ror_task3,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S156,without_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9675245098039216,0.945760822274165,0.889093137254902,0.891156462585034,0.0733100292577035,0.2344014244692642,responsive_vs_lor_all_phases,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9752859477124184,0.9550729643007912,0.928921568627451,0.9251700680272108,0.063546141140286,0.2060870513061007,responsive_vs_lor_all_phases,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9785539215686274,0.9626955199394556,0.928921568627451,0.9251700680272108,0.0597920926443315,0.1934175480828619,responsive_vs_lor_all_phases,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9793709150326796,0.9655171692524184,0.91390931372549,0.91156462585034,0.0600360137981438,0.1919546480791643,responsive_vs_lor_all_phases,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.979983660130719,0.9658163178394238,0.9237132352941176,0.9183673469387756,0.0605830839371219,0.1932417898498757,responsive_vs_lor_all_phases,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9808,0.9870270270270272,0.98,0.98,0.050116009133361,0.204285406101756,prelor_vs_lor_task2,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9872,0.9903030303030304,0.98,0.98,0.0498445979276672,0.1954246840810363,prelor_vs_lor_task2,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9904,0.9922580645161292,0.96,0.96,0.0478324796715393,0.1833730143222227,prelor_vs_lor_task2,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9888,0.9906580645161293,0.96,0.96,0.0489256428209673,0.1862291240710797,prelor_vs_lor_task2,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
50,25,0.5,0.9888,0.9906580645161293,0.94,0.94,0.0493665216381079,0.1866574018850983,prelor_vs_lor_task2,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9556786703601108,0.9674855554678798,0.9210526315789472,0.9210526315789472,0.0784233306543368,0.2625570451364868,lor_vs_ror_task3,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9695290858725762,0.9759267734553774,0.8947368421052632,0.8947368421052632,0.0752898715936158,0.2438946463710293,lor_vs_ror_task3,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.96398891966759,0.971286549707602,0.8947368421052632,0.8947368421052632,0.0744579506982884,0.2442159320915166,lor_vs_ror_task3,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9667590027700832,0.973962684489,0.9210526315789472,0.9210526315789472,0.0698744275276885,0.2330937007099709,lor_vs_ror_task3,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
38,19,0.5,0.9722991689750692,0.976925647451963,0.8947368421052632,0.8947368421052632,0.0732260760699781,0.2339701606567897,lor_vs_ror_task3,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withoutGSR_4S256,without_GSR,4S256,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9675245098039216,0.945760822274165,0.889093137254902,0.891156462585034,0.0733100292577035,0.2344014244692642,responsive_vs_lor_all_phases,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max",withGSR_4S156,with_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9677287581699348,0.94650528614684,0.8740808823529411,0.8775510204081632,0.0743378619491934,0.2301741568289416,responsive_vs_lor_all_phases,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc",withGSR_4S156,with_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.9697712418300654,0.9487362042126508,0.8838848039215685,0.8843537414965986,0.0732550296277811,0.227295808296623,responsive_vs_lor_all_phases,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean",withGSR_4S156,with_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
147,26,0.3469387755102041,0.96875,0.9464796317873752,0.8884803921568627,0.8843537414965986,0.074366672401982,0.230074768203894,responsive_vs_lor_all_phases,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI",withGSR_4S156,with_GSR,4S156,10000.0,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05
