n_rows,n_subjects,positive_rate,roc_auc,average_precision,balanced_accuracy,accuracy,brier,log_loss,task_name,model,features
77,26,0.6623376623376623,1.0,1.0000000000000002,0.9803921568627452,0.974025974025974,0.012988387210928976,0.06063115933297442,awake_base1_vs_lor,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max"
77,26,0.6623376623376623,1.0,1.0000000000000002,0.9901960784313726,0.987012987012987,0.012580019640929543,0.0592308533694806,awake_base1_vs_lor,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc"
77,26,0.6623376623376623,1.0,1.0000000000000002,0.9901960784313726,0.987012987012987,0.011593955223575701,0.056977119461370164,awake_base1_vs_lor,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean"
77,26,0.6623376623376623,1.0,1.0000000000000002,1.0,1.0,0.007407413551382966,0.04666067772563575,awake_base1_vs_lor,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
77,26,0.6623376623376623,1.0,1.0000000000000002,1.0,1.0,0.007697187089371803,0.04697649565281584,awake_base1_vs_lor,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
147,26,0.3469387755102041,0.9675245098039216,0.945760822274165,0.889093137254902,0.891156462585034,0.07331002925770355,0.2344014244692642,responsive_vs_lor_all_phases,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max"
147,26,0.3469387755102041,0.9677287581699348,0.9465052861468399,0.8740808823529411,0.8775510204081632,0.07433786194919347,0.23017415682894163,responsive_vs_lor_all_phases,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc"
147,26,0.3469387755102041,0.9697712418300654,0.9487362042126508,0.8838848039215685,0.8843537414965986,0.07325502962778115,0.227295808296623,responsive_vs_lor_all_phases,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean"
147,26,0.3469387755102041,0.96875,0.9464796317873753,0.8884803921568627,0.8843537414965986,0.07436667240198201,0.230074768203894,responsive_vs_lor_all_phases,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
147,26,0.3469387755102041,0.9667075163398693,0.9428363611307051,0.8884803921568627,0.8843537414965986,0.07542392478983384,0.23284117795103168,responsive_vs_lor_all_phases,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
50,25,0.5,0.9808,0.9870270270270272,0.98,0.98,0.050116009133361006,0.204285406101756,prelor_vs_lor_task2,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max"
50,25,0.5,0.9856,0.9879833333333334,0.96,0.96,0.04199111511657409,0.16169432010572765,prelor_vs_lor_task2,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc"
50,25,0.5,0.9823999999999999,0.984426021080369,0.96,0.96,0.0442956381765761,0.1628628605616721,prelor_vs_lor_task2,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean"
50,25,0.5,0.9823999999999999,0.9852972332015811,0.96,0.96,0.04510432622508607,0.16674242799322428,prelor_vs_lor_task2,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
50,25,0.5,0.984,0.9862442028985509,0.96,0.96,0.04852001264572551,0.17085640088678997,prelor_vs_lor_task2,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
38,19,0.5,0.9556786703601108,0.9674855554678798,0.9210526315789473,0.9210526315789473,0.07842333065433685,0.26255704513648687,lor_vs_ror_task3,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max"
38,19,0.5,0.9667590027700831,0.9722588768572145,0.868421052631579,0.868421052631579,0.07923654887195483,0.24540362526198733,lor_vs_ror_task3,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc"
38,19,0.5,0.9667590027700831,0.9698891845104054,0.8947368421052632,0.8947368421052632,0.0748682728542454,0.22859459854764733,lor_vs_ror_task3,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean"
38,19,0.5,0.9778393351800554,0.9769061133225216,0.8947368421052632,0.8947368421052632,0.06645687284856869,0.20895533222553309,lor_vs_ror_task3,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
38,19,0.5,0.9695290858725761,0.9698697824634761,0.8947368421052632,0.8947368421052632,0.06963214526357514,0.2147197243203686,lor_vs_ror_task3,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
50,25,0.5,1.0,1.0,0.98,0.98,0.015192538353915836,0.07389784744442993,base1_vs_base2_control,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max"
50,25,0.5,1.0,1.0,0.96,0.96,0.01786612791491571,0.08006127761865017,base1_vs_base2_control,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc"
50,25,0.5,1.0,1.0,0.96,0.96,0.01897414311612954,0.08239137045128547,base1_vs_base2_control,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean"
50,25,0.5,1.0,1.0,0.98,0.98,0.014737250855765787,0.06899462752445855,base1_vs_base2_control,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
