n_rows,n_subjects,positive_rate,roc_auc,average_precision,balanced_accuracy,accuracy,brier,log_loss,task_name,model,features
77,26,0.6623376623376623,1.0,1.0000000000000002,0.9803921568627452,0.974025974025974,0.012988387210928976,0.06063115933297442,awake_base1_vs_lor,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max"
77,26,0.6623376623376623,1.0,1.0000000000000002,0.9803921568627452,0.974025974025974,0.011929094785570265,0.058163369687707626,awake_base1_vs_lor,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc"
77,26,0.6623376623376623,1.0,1.0000000000000002,0.9901960784313726,0.987012987012987,0.010751654715196334,0.05520570389347348,awake_base1_vs_lor,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean"
77,26,0.6623376623376623,1.0,1.0000000000000002,0.9803921568627452,0.974025974025974,0.016393899068257146,0.06694176265697771,awake_base1_vs_lor,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
77,26,0.6623376623376623,1.0,1.0000000000000002,0.9803921568627452,0.974025974025974,0.015571112111908751,0.06488652438182295,awake_base1_vs_lor,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
147,26,0.3469387755102041,0.9675245098039216,0.945760822274165,0.889093137254902,0.891156462585034,0.07331002925770355,0.2344014244692642,responsive_vs_lor_all_phases,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max"
147,26,0.3469387755102041,0.9763071895424836,0.9564676222375125,0.9237132352941176,0.9183673469387755,0.061750664009859145,0.2000237407604448,responsive_vs_lor_all_phases,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc"
147,26,0.3469387755102041,0.9826388888888888,0.9687872136998431,0.928921568627451,0.9251700680272109,0.05553507611525126,0.18037182948840916,responsive_vs_lor_all_phases,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean"
147,26,0.3469387755102041,0.9797794117647058,0.965502891280179,0.928921568627451,0.9251700680272109,0.058474089703062546,0.18883874793725033,responsive_vs_lor_all_phases,gcc_regime_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
147,26,0.3469387755102041,0.9789624183006536,0.9637655231322108,0.928921568627451,0.9251700680272109,0.058718605820816824,0.18953847763480303,responsive_vs_lor_all_phases,full_standard_plus_gcc,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc,R_phase_mean,D_eff_mean,M_tau_mean,Pi_fMRI"
50,25,0.5,0.9808,0.9870270270270272,0.98,0.98,0.050116009133361006,0.204285406101756,prelor_vs_lor_task2,confounds_motion_propofol,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max"
50,25,0.5,0.9871999999999999,0.9903030303030305,0.98,0.98,0.050182927406834034,0.19688118424652112,prelor_vs_lor_task2,standard_fc_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,mean_fc,mean_abs_fc"
50,25,0.5,0.9888,0.9906580645161291,0.96,0.96,0.04930647760287993,0.18841609632882786,prelor_vs_lor_task2,gcc_core_plus_confounds,"fd_mean,fd_max,esc_mean,esc_max,plas_mean,plas_max,R_phase_mean,D_eff_mean,M_tau_mean"
